case,source_dataset,source_column,target_dataset,target_column,score,notes,source_file
games,dbpedia,id,Videogames,id,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/dbpedia_mapping.csv
games,dbpedia,title,Videogames,name,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/dbpedia_mapping.csv
games,dbpedia,launch_yr,Videogames,releaseYear,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/dbpedia_mapping.csv
games,dbpedia,studio,Videogames,developer,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/dbpedia_mapping.csv
games,dbpedia,system,Videogames,platform,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/dbpedia_mapping.csv
games,dbpedia,genre,Videogames,genres,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/dbpedia_mapping.csv
games,dbpedia,franchise,Videogames,series,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/dbpedia_mapping.csv
games,metacritic,id,Videogames,id,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,metacritic,game_title,Videogames,name,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,metacritic,year_published,Videogames,releaseYear,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,metacritic,made_by,Videogames,developer,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,metacritic,console,Videogames,platform,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,metacritic,genres,Videogames,genres,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,metacritic,press_rating,Videogames,criticScore,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,metacritic,player_rating,Videogames,userScore,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,metacritic,age_rating,Videogames,ESRB,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/metacritic_mapping.csv
games,sales,id,Videogames,id,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,prod_title,Videogames,name,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,launch_dt,Videogames,releaseYear,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,studio,Videogames,developer,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,dist,Videogames,publisher,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,hw,Videogames,platform,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,genre,Videogames,genres,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,press_score,Videogames,criticScore,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,comm_rating,Videogames,userScore,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
games,sales,age_classification,Videogames,ESRB,0.95,llm_based_matching,DI-Bench/runs/games/schema_matching/mappings/sales_mapping.csv
