id1,id2,label,split
6557275,54971342,0,val
28997705,35818283,0,exclude
34392254,75097345,0,val
22424953,96666422,1,val
24318065,44178154,0,val
34032163,46100236,1,val
40849883,40849884,0,exclude
29807017,29014657,0,val
21683669,72955297,1,val
5311205,7512223,1,val
53732463,81078073,0,exclude
61937132,21773522,0,val
41221805,86724338,0,val
63475263,90906273,1,val
36622630,6540379,0,val
62156844,72517443,0,exclude
22424953,44288630,0,val
97905619,36131796,0,exclude
25370721,77233349,0,val
12049659,69277053,1,val
34870253,34412534,1,val
84278896,30120490,0,exclude
35008093,68759701,0,exclude
40657837,19014831,1,val
54649100,30501165,0,exclude
80703508,74296125,0,val
68277426,8794784,0,val
67183699,30498499,0,exclude
20439392,65401204,0,val
33662403,18197417,0,val
34014948,14582951,1,val
18247044,70357864,0,exclude
31257390,72908237,0,val
7648155,93712089,1,test
68383002,74409203,1,test
3992423,25190853,0,val
53732462,91828866,0,exclude
46891078,53182926,1,test
1585518,67850339,1,test
35033699,14505369,0,test
12424905,11565762,0,exclude
88855243,11732386,1,test
1367517,40673968,0,val
32646229,25115691,0,val
72125744,87012760,1,test
30526558,23561252,0,exclude
3957588,9479922,0,val
58208007,62811090,0,val
10678822,29453941,1,train
98845736,31112764,0,exclude
32159667,68780322,0,val
98839043,93748290,1,train
49241259,67969093,1,test
23418968,46441936,0,exclude
29326164,10226364,0,exclude
72318686,25046006,0,val
47203114,86393668,1,test
87430670,36257355,0,val
2468281,25933135,1,train
62202191,90334771,1,val
51982424,33450282,0,exclude
36863105,87235806,0,val
65026475,18325004,0,val
22331395,68306942,0,val
39822109,53892513,0,exclude
92821376,84221762,1,train
1297284,31088990,0,exclude
29326164,27072786,0,val
532468,55665741,0,val
7610550,75651957,0,exclude
69289226,83480659,1,train
16588524,74296125,0,val
3957588,96602405,0,val
19095351,19172447,0,val
3830836,14149159,1,train
1080849,59082251,1,train
10781098,7326400,0,exclude
26986926,51594744,1,train
48536171,63373198,1,train
41160430,14149159,0,val
10433444,79853164,0,val
51563635,63973332,0,val
49130224,42113643,0,val
17291157,14556438,0,exclude
80641070,46775597,1,test
50240914,94041803,0,exclude
30865647,49927895,0,exclude
9830450,65401204,1,train
34014948,30928122,0,val
12424905,9862128,0,exclude
26574474,47589506,1,train
705891,20771384,0,val
25277306,33563069,0,val
85971021,90222476,0,val
8167070,43926656,1,train
25469647,88687859,0,exclude
34645760,73685659,1,train
46891078,34998326,0,exclude
72125744,91194891,0,exclude
60558470,47587845,1,train
1546263,10226364,1,test
45702055,22682699,1,train
66579132,69504913,1,train
53732463,64298230,1,test
40229645,53892513,0,exclude
66270550,49367823,1,val
790322,90182741,1,train
43294436,69750969,0,exclude
3015274,23561252,0,exclude
24318065,41580587,0,val
78866970,34634031,1,train
33376118,81606120,0,exclude
66823247,74177614,0,val
45550541,8786685,0,exclude
51153927,54919577,1,train
94604558,6796249,0,exclude
98009535,24741463,0,val
48110334,43883075,0,exclude
12704821,16091824,0,exclude
67183699,3722813,1,val
33028152,68981088,1,train
87560329,90784571,0,val
71962852,48419588,0,val
74468891,9479923,0,exclude
79970974,56179024,0,val
752350,22439490,0,val
39826842,64633203,0,exclude
9752639,12511854,1,val
47930825,46570660,0,exclude
65837616,69985226,1,train
34645760,31233436,0,exclude
790322,72386549,0,val
78632390,68724654,0,exclude
86835292,46100236,0,exclude
74655572,33848192,0,val
60558470,68887278,0,val
936587,23177102,0,exclude
13966843,59218197,0,val
705891,569608,0,val
67844012,17380984,0,exclude
9487971,53423507,1,train
18327954,50007186,0,exclude
71663409,24224043,0,exclude
24318065,66038575,0,val
24391330,30022546,0,val
43481409,81274064,0,val
38109675,24897319,0,exclude
78378158,42841911,1,train
11701616,9735769,1,train
40657837,42841911,0,exclude
31257390,20024247,0,val
44210301,29507030,1,train
22124737,36941068,0,exclude
26441327,4660875,0,exclude
61937132,67969093,0,exclude
9545127,38300965,0,val
32159667,46701580,0,val
44455069,67588183,0,val
10328354,30501165,0,exclude
61786604,54049265,1,train
95727671,2129391,1,test
66183633,9885683,1,train
22091407,56179024,0,val
33615110,29200246,0,exclude
81897724,21773522,1,train
46937084,42453067,0,exclude
9479917,83709832,0,exclude
62362546,2406635,1,train
3308613,46441936,0,exclude
44210301,18325004,0,val
23466284,26203569,0,val
13291546,72386549,0,val
62268972,93674071,1,train
11181317,34814123,1,train
98332414,55419504,1,train
8488813,65401204,0,val
43837358,31028011,0,exclude
1473999,8019719,0,test
28606757,46332445,0,exclude
11774092,74177614,0,val
45666976,90724689,0,val
22091407,94041803,1,train
355856,85936005,0,exclude
4586576,31565713,0,val
77251182,87579134,1,test
49432673,57860587,1,val
23333093,89495889,1,train
47198697,67695486,1,train
18241261,27197488,1,train
21153036,66515850,1,test
23845125,82265631,1,train
25573702,74242060,1,train
9291809,57791150,1,train
60843173,18093967,1,test
61243981,76440714,0,exclude
58034111,44701727,0,exclude
13163468,36007449,0,exclude
62156844,80771543,0,val
85773146,7326400,1,val
13342237,58710753,0,exclude
49885696,21111016,1,train
25126368,62604633,0,exclude
60021335,78333976,1,train
24796473,22465275,0,exclude
3223487,55562405,0,val
92213757,63735890,1,train
60108205,67588183,0,val
37553677,18197417,0,val
8919966,50221367,0,test
33115869,54694203,1,train
98332414,24656762,0,exclude
55998431,51619328,0,exclude
50293915,78404862,1,train
71883742,75172014,1,train
9830579,51838508,0,val
32225458,78811789,1,train
32159667,55043002,0,exclude
92821376,79853164,0,val
39676059,68972507,1,train
1854084,79777030,0,exclude
4473153,52606639,0,val
35479899,49367823,0,val
9908573,16091764,0,exclude
13044456,18162965,0,val
4473153,18802876,0,val
1854084,19172447,1,train
10827123,11752341,1,train
3957588,31237395,1,train
34392254,28719555,1,train
46925007,21944667,0,val
84127875,68780322,1,train
10861890,3967869,0,val
17149042,40820934,0,exclude
32651602,81078073,0,exclude
7871781,13794201,0,val
10524439,63895377,0,val
53732463,91828866,0,exclude
3600312,24225119,0,val
15219566,23373474,0,exclude
64466140,60700886,1,test
84302318,36234112,1,test
44455069,61774550,1,train
24041154,33137302,0,val
45927229,61334954,0,val
79243485,26458543,0,exclude
73060691,7648163,0,test
92213757,92282447,0,exclude
60843173,75153586,0,exclude
552668,95560516,0,test
