id1,id2,label,split
45550541,71212847,1,test
20960713,91946031,1,val
13127008,66718913,0,val
5603029,23211539,0,val
936587,77996967,0,exclude
63201862,2140760,0,exclude
80911572,15658592,0,val
33809693,13417596,1,val
1088849,67636187,0,exclude
16971337,7825926,1,val
60294267,37315116,0,exclude
24673290,91655058,0,val
98845736,69004107,0,exclude
78866970,17652897,0,val
21120112,96606457,1,val
23127075,1707364,0,exclude
13163468,30304218,0,val
36537002,51422423,0,exclude
8904814,69586730,0,exclude
24781419,80346269,1,val
40657837,95654626,0,exclude
44023309,2109452,0,exclude
69289226,18944159,0,exclude
67266823,31726913,1,val
18241261,34888275,0,val
41744188,68229314,0,val
65522262,33892993,0,exclude
21445124,32141517,0,val
33650372,56719289,0,val
2475398,16116211,1,val
23127075,37417537,1,val
60558470,75611963,0,val
1161397,54807220,0,val
37364581,9938245,0,val
70342601,10085301,1,val
9931826,88986804,1,val
23816583,3623006,1,test
21683669,82180666,0,exclude
2967922,40122686,1,val
22415142,48184346,1,val
97046372,70423243,1,test
93115467,73253056,0,val
59458071,76825849,0,exclude
17112524,62776974,1,val
54014710,54607791,0,val
3323341,45883906,1,val
752350,40744627,0,exclude
51153927,9855667,1,val
6118785,48999667,1,test
80958325,3724392,1,test
20598122,75194235,0,exclude
27174300,82337278,0,exclude
62817036,71446077,0,val
15730411,96982489,0,val
34645760,76107122,1,test
68914865,62958901,0,val
75711589,49487074,1,test
9683052,11220932,1,test
78389108,50802898,0,val
19807424,39434551,0,exclude
16849538,23622594,0,exclude
45666976,49082586,0,val
33115869,70691121,1,test
58034111,8274427,1,test
27166335,81293471,1,test
35479899,93281278,0,exclude
28507224,2860056,1,test
78389108,31340299,1,test
77578535,91059944,1,test
84251263,42545052,0,val
53183421,94452187,0,exclude
617284,75600750,0,val
53732463,5389761,0,exclude
3655214,11104946,1,train
1036551,11389222,1,train
57873194,81714923,0,val
25573702,79718792,1,train
23622857,28601651,0,exclude
24483122,18274276,0,val
4547853,89757104,0,exclude
17093585,4648146,1,train
78378158,98500616,0,val
34235154,41528116,1,train
19095351,25170871,1,train
52437198,23211539,0,val
45927229,68169931,0,exclude
84278896,51601254,1,train
57280733,21062844,0,val
790322,47160280,0,val
25909923,25184819,0,val
4908909,28681672,0,val
74017051,49082586,1,train
91906043,90715071,0,val
1766554,57090881,0,val
1367517,62002871,0,exclude
2889359,33635709,1,train
20439392,48452637,0,val
77093147,22158552,1,train
32651602,93023962,0,exclude
68945769,40744627,0,exclude
50232345,74146632,1,val
80641070,74380362,0,test
29326164,23622594,0,exclude
8919966,52540206,1,test
20365450,82786105,0,exclude
2115771,17471458,0,exclude
10164790,75658571,1,train
23839561,22323468,0,exclude
54553525,52254379,0,exclude
25537521,20390207,1,val
2889359,71429791,0,val
69987057,67323222,0,exclude
16802649,13034518,1,train
840404,9490141,0,val
64499444,80826544,0,exclude
20960713,48230789,0,exclude
1022732,53085468,1,train
4586576,25170871,0,val
24391330,38836785,0,val
91472204,60571140,1,train
13806943,3323779,0,val
77342944,9938245,1,train
24494324,17952251,0,exclude
55998431,72591161,0,exclude
39676059,30401137,0,exclude
21663730,7825926,0,exclude
44698831,45694549,0,val
53732463,48230789,1,test
3323341,27123269,0,exclude
8706571,54630603,0,exclude
2237933,59032057,0,val
75436923,97997914,1,train
4908909,73043400,1,train
86482658,64998693,1,train
15730411,41306498,0,val
10524439,80753496,0,val
54859186,54051972,1,val
22091407,25975914,0,val
16677973,64360601,1,train
68383002,65966922,0,val
19558925,62002871,1,val
2967922,45567640,0,exclude
92865515,47385841,1,train
9210121,52751720,1,test
62156844,79912496,0,exclude
2889359,53983562,0,val
69962412,96130409,0,exclude
10966509,8808988,1,train
27302519,65104393,1,test
39826842,25273904,1,test
9545127,70240251,0,val
16677973,35054140,0,val
77093147,86735831,0,exclude
8904814,45917002,1,train
22882105,35481120,0,val
