column,consistency_score,n_evaluated,n_consistent,n_inconsistent,excluded_from_dataset_score,failure_counts,diagnostics,skipped,skip_reason
id,,0,0,0,True,{},{},True,identifier_column
brand,1.0,1517,1517,0,False,{},{},False,
title,1.0,1557,1557,0,False,{},{},False,
description,1.0,1556,1556,0,False,{},{},False,
price,0.8714099216710183,1532,1335,197,False,"{""type"": 197}",{},False,
priceCurrency,0.9819004524886877,1547,1519,28,False,"{""currency_code"": 25, ""pattern"": 23}",{},False,
url,1.0,1168,1168,0,False,{},{},False,
title_description,1.0,1557,1557,0,False,{},{},False,
model,1.0,1511,1511,0,False,{},{},False,
model_number,0.9975688816855753,1234,1231,3,False,"{""pattern"": 3}",{},False,
product_type,0.7634478289047311,1543,1178,365,False,"{""enum"": 365}",{},False,
chipset_name,0.358974358974359,468,168,300,False,"{""field_applicability"": 300}",{},False,
vram_gb,0.0,165,0,165,False,"{""field_applicability"": 5, ""type"": 165}",{},False,
storage_gb,0.0,798,0,798,False,"{""field_applicability"": 57, ""type"": 798}",{},False,
read_speed_mb_s,0.0,339,0,339,False,"{""type"": 339}",{},False,
write_speed_mb_s,0.0,279,0,279,False,"{""type"": 279}",{},False,
bus_type,1.0,1027,1027,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9990262901655307, ""membership_enforced"": false, ""n_expected_family_matches"": 1026, ""n_outside_expected_families"": 1, ""n_values_checked"": 1027}}",False,
interface_type,1.0,627,627,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9441786283891547, ""membership_enforced"": false, ""n_expected_family_matches"": 592, ""n_outside_expected_families"": 35, ""n_values_checked"": 627}}",False,
width_mm,0.9841269841269841,189,186,3,False,"{""type"": 3}",{},False,
length_mm,1.0,184,184,0,False,{},{},False,
height_mm,0.9953703703703703,216,215,1,False,"{""type"": 1}",{},False,
weight_g,0.9862068965517241,145,143,2,False,"{""type"": 2}",{},False,
storage_connection_type,1.0,565,565,0,False,{},{},False,
memory_type,1.0,202,202,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9851485148514851, ""membership_enforced"": false, ""n_expected_family_matches"": 199, ""n_outside_expected_families"": 3, ""n_values_checked"": 202}}",False,
color,1.0,267,267,0,False,{},{},False,
form_factor,1.0,556,556,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9496402877697842, ""membership_enforced"": false, ""n_expected_family_matches"": 528, ""n_outside_expected_families"": 28, ""n_values_checked"": 556}}",False,
