matcher,threshold,f1,precision,recall,true_positives,false_positives,false_negatives,string_similarity_function,string_tokenization,n_comparators,classifier,use_probabilities,n_features,hyperparams
RuleBasedMatcher,0.9,0.9693877551020408,0.9895833333333334,0.95,95,1,5,jaro_winkler,,6.0,,,,
MLBasedMatcher,0.5,0.9693877551020408,0.9895833333333334,0.95,95,1,5,,,,xgboost,True,66.0,"{'objective': 'binary:logistic', 'colsample_bytree': 0.8, 'enable_categorical': False, 'eval_metric': 'logloss', 'learning_rate': 0.05, 'max_depth': 3, 'missing': nan, 'n_estimators': 100, 'scale_pos_weight': 2.325, 'subsample': 0.8, 'use_label_encoder': False}"
MLBasedMatcher,0.5,0.9690721649484536,1.0,0.94,94,0,6,,,,rf,True,66.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'oob_score': False, 'warm_start': False}"
MLBasedMatcher,0.4,0.9644670050761421,0.979381443298969,0.95,95,2,5,,,,xgboost,True,66.0,"{'objective': 'binary:logistic', 'colsample_bytree': 0.8, 'enable_categorical': False, 'eval_metric': 'logloss', 'learning_rate': 0.05, 'max_depth': 3, 'missing': nan, 'n_estimators': 100, 'scale_pos_weight': 2.325, 'subsample': 0.8, 'use_label_encoder': False}"
RuleBasedMatcher,0.9,0.964102564102564,0.9894736842105263,0.94,94,1,6,sorensen_dice,char,6.0,,,,
RuleBasedMatcher,0.9,0.964102564102564,0.9894736842105263,0.94,94,1,6,cosine,char,6.0,,,,
MLBasedMatcher,0.4,0.964102564102564,0.9894736842105263,0.94,94,1,6,,,,rf,True,66.0,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'oob_score': False, 'warm_start': False}"
RuleBasedMatcher,0.7,0.9637305699481865,1.0,0.93,93,0,7,jaccard,word,6.0,,,,
RuleBasedMatcher,0.8,0.9637305699481865,1.0,0.93,93,0,7,jaccard,word,6.0,,,,
RuleBasedMatcher,0.9,0.9637305699481865,1.0,0.93,93,0,7,jaccard,char,6.0,,,,
RuleBasedMatcher,0.8,0.9637305699481865,1.0,0.93,93,0,7,sorensen_dice,word,6.0,,,,
RuleBasedMatcher,0.8,0.9637305699481865,1.0,0.93,93,0,7,cosine,word,6.0,,,,
RuleBasedMatcher,0.8,0.9637305699481865,1.0,0.93,93,0,7,overlap,word,6.0,,,,
