source_dataset,source_column,target_dataset,target_column,score,notes
crossref,id,Scholarly Paper,id,0.95,llm_based_matching
crossref,type,Scholarly Paper,type,0.95,llm_based_matching
crossref,title,Scholarly Paper,title,0.95,llm_based_matching
crossref,authors,Scholarly Paper,authors,0.95,llm_based_matching
crossref,publication_year,Scholarly Paper,publication_year,0.95,llm_based_matching
crossref,journal,Scholarly Paper,journal,0.95,llm_based_matching
crossref,volume,Scholarly Paper,volume,0.95,llm_based_matching
crossref,issue,Scholarly Paper,issue,0.95,llm_based_matching
crossref,first_page,Scholarly Paper,first_page,0.95,llm_based_matching
crossref,last_page,Scholarly Paper,last_page,0.95,llm_based_matching
crossref,referenced_works_count,Scholarly Paper,referenced_works_count,0.95,llm_based_matching
crossref,cited_by_count,Scholarly Paper,cited_by_count,0.95,llm_based_matching
