id,br,t,dsc,amt,ccy,cluster_id,link,tdsc,m,mno,ptyp,cn,vrm,stg,rs,ws,bt,it,wd,ln,ht,wt,sc,mt,col,ff
products_4_66956099,Gigabyte,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,791.99,USD,1002037,https://www.thekeykey.com/detail/GV-N3080GAMING-OC-10GD/?name=247479,Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail. Description: Gigabyte Video Card GV-N3080GAMING OC-10GD GeForce RTX 3080 GAMING OC 10GB GDDR6X Retail,GeForce RTX 3080 GAMING OC,OC-10GD GV-N3080GAMING,GPU,,,,,,,,,,,,,,,
products_4_77571226,Corsair,"CORSAIR - Force Series MP510 960GB M.2 SSD PCIe Gen3 x4, M.2 NVMe, up to 3480/3000MB/s read/write",Massive 960GB storage capacity with super fast 3480Mbps read speed and equally fast 3000Mbps write speed.,,,1007272,https://www.cclonline.com/product/287495/CSSD-F960GBMP510/Solid-State-Drives-SSDs-/Corsair-Force-MP510-960GB-M-2-Solid-State-Drive-Internal-/SSD1023,Corsair MP510 M.2-2280 960GB. Description: Huge 960GB storage capacity and super Rapid 3480Mbps read speed and amazingly Rapid 3000Mbps write speed.,MP510,,SSD,,,,"3,480,000 KB/s",3000000 KB/s,,,,,,,M.2,,,M.2 2280
products_4_12425146,Seagate Technology,"Seagate 3.5"" 4TB SATA 6Gb/s 7200 RPM 128MB Makara BP (512E)","Seagate 3.5\"" 4TB SATA 6Gb/s 7.2K RPM Hard Drive",,,1014052,https://www.bostonindia.in/products/ST4000NM0115.aspx?utm_source=rss&utm_medium=syndication&utm_campaign=rss,"Seagate 3.5"" hard drive with 4TB capacity, SATA 6Gb/s interface, 7.2K RPM speed, 128MB Makara BP, and 512E. Description: Seagate 3.5"" 4TB SATA 6Gb/s 7.2K RPM Hard Drive",Makara BP (512E),,HDD,,,,,,SATA I,SATA I,,,,,,,,3.5-inch
products_4_73093363,Asus,ASUS DUAL GeForce GTX1650 O4G,"NVIDIA GeForce GTX 1650 graphics card with TU107 Turing GPU, 4GB GDDR5 memory at 8002MHz, 1485MHz base clock, Boost clock **** MHz, PCIe x16 3.0 interface, 128-bit bus, 1 DisplayPort and 3 HDMI outputs",164.31,EUR,1021594,https://www.alzashop.com/asus-dual-geforce-gtx1650-o4g-d5589893.htm,"ASUS DUAL GeForce GTX1650 O4G. Dcscription: Graphics Card - 4GB GDDR5 (8002MHz) NVIDIA (TU1O7) Turing GeForce GTX1650 (1485MHz), Boost clock **** MHz, PCIe x16 3.0, 128bit, 1x DisplayPort, 3x HDMI",DUAL GeForce GTX1650 O4G,,GPU,,,,,,PCI Express x16,,,,,,,,,
products_4_37481679,Zotac,"Zotac , Geforce Rtx 2080 Ti, 11 Gb, Gddr6, 352 Bit, 4096 X 2160",", Geforce Rtx 2080 Ti, 11 Gb, Gddr6, 352 Bit, 4096 X 2160 Pixeles, Pci Express 3.0",988.79,EUR,1027288,https://powertechbcn.com/es/tarjetas-graficas/690-zotac-geforce-rtx-2080-ti-11-gb-gddr6-352-bit-4096-x-2160-4895173617614.html,"Zotac , Geforce Rtx 2080 Ti, 11 Gb, Gddr6, 352 Bit, 4096 X 2160. Description: , Geforce Rtx 2080 Ti, 11 Gb, Gddr6, 352 Bit, 4096 X 2160 Pixeles, Pci Express 3.0",Geforce Ti 2080 Rtx,,GPU,,,,,,PCI Express x16,,,,,,,,,
products_4_50792597,Gigabyte,Gigabyte GeForce Graphics 1660 SUPER OC 6GB GTX Card,"GTX 1660 SUPER, 6GB GDDR6, Boost Clock 1860MHz, Dual Fan Cooling",214.98,,1028734,https://www.ebuyer.com/915241-gigabyte-geforce-gtx-1660-super-oc-6gb-graphics-card-gv-n166soc-6gd,"GB GeForce GTX 1660 SUPER OC 6GB Graphics Card. Description: GTX 1660 SUPER, 6GB GDDR6, Boost Clock 1860MHz, Dual Fan Cooling",GeForce GTX 1660 SUPER OC,,GPU,GTX GeForce 1660 Super,6000 MB,,,,,,,,,,,,,
products_4_86949980,,MSI GeForce GTX 1660 Ti GAMING X 6G PCI Express x16 3.0 6GB GDDR6 192-bit | 912-V375-040,Twin Frozr 7 Thermal DesignRGB Mystic LightDragon Center,"1,785.64",Q4X,1029916,https://pcdubai.com/product/msi-geforce-gtx-1660-ti-gaming-x-6g-pci-express-x16-3-0-6gb-gddr6-192-bit-912-v375-040,MSI GeForce GTX 1660 Ti GAMING X 6G PCI Express x16 3.0 6GB GDDR6 192-bit | 912-V375-040. Description: Twin Frozr 7 Thermal DesignRGB Mystic LightDragon Center,GeForce GTX 1660 Ti GAMING X 6G,912-V375-040,,GeForce GTX 1660 Ti,,,,,PCI Express x16,,,,,,,GDDR6,,
products_4_66417148,Asus,"Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd","Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd",10819.98,EUR,1038355,https://sbsdomain.com/asus-strix-rtx-2060s-oc-evo-8gb-2xfan-2xhdmi-2xd,"Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd. Description: Asus Strix Rtx 2060S Oc Evo - 8GB, 2Xfan, 2Xhdmi, 2Xd",Strix Rtx 206OS 0c Evo,,GPU,,,,,,,,,,,,,,,
products_4_280012,ADATA,XPG GAMMIX S11 Pro M.2 1000 GB PCI Express 3.0 3D TLC NVMe,ADATA XPG GAMMIX S11 PRO,137.44,EUr,1045382,https://pcacierto.com/tienda/xpg-gammix-s11-pro-m-2-1000-gb-pci-express-3-0-3d-tlc-nvme,XPG GAMMIX S11 Pro M.2 1000 GB PCI Express 3.0 3D TLC NVMe. Description: ADATA XPG GAMMIX S11 PRO,,,SSD,,,"1,000.0 GB",,,PCI Exprwas x26,NVMe,,,,,,,,
products_4_59371044,Gigabyte,Gigabyte Radeon RX 5600 XT GAMING OC 6GB Graphics Card,"RX 5600 XT, 6GB GDDR6, 1620 Megahertz Boost Clock, Triple Fan Cooling",0.28,,1048970,https://www.ebuyer.com/957897-gigabyte-radeon-rx-5600-xt-gaming-oc-6gb-graphics-card-gv-r56xtgaming-oc-6gd,"Gigabyte Radeon RX 5600 XT GAMING OC 6GB Graphics Card. Description: RX 5600 XT, 6GB GDDR6, 1620 MHz Boost Clock, Triple Fan Cooling",,,GPU,,,,,,,,,,,,,,,
