id,br,t,dsc,amt,ccy,cluster_id,productUrl,tdsc,m,mno,ptyp,cn,vrm,stg,rs,ws,bt,it,wd,ln,ht,wt,sc,mt,col,ff
products_2_19126355,Gigabyte,Gigabyte NVIDIA GeForce RTX 3080 10GB GAMING OC Ampere Graphics Card,"Gigabyte NVIDIA GeForce RTX 3080 GAMING OC 10GB GDDR6X Ray-Tracing Graphics Card, 8704 Core, 1440MHz Core, 1800MHz Boost",99999.99,GBP,1002037,https://www.scan.co.uk/products/gigabyte-nvidia-geforce-rtx-3080-gaming-oc-10gb-gddr6x-ray-tracing-graphics-card,"Gigabyte NVIDIA GeForce RTX 3080 10GB GAMING OC Ampere Graphics Card. Description: Gigabyte NVIDIA GeForce RTX 3080 GAMING OC 10GB GDDR6X Ray-Tracing Graphics Card, 8704 Core, 1440MHz Core, 1800MHz Boost",GeForce RTX 3080 10GB GAMING OC,,GPU,GeForce RTX 3080,10.0 GB,,,,,,,,,,,,,
products_2_42841911,Western Digital,WD Blue 6TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD60EZAZ,WD Blue 6TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD60EZAZ,151.57,USD,1004942,https://www.newegg.com/blue-wd60ezaz-6tb/p/1Z4-0002-00MY8,WD Blue 6TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD60EZAZ. Description: WD Blue 6TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 256MB Cache 3.5 Inch - WD60EZAZ,WDBlue,WD60EZAZ,HDD,,,"5,587.94 GiB",,,SATA,,,,,,3.5 Inch,,,
products_2_46775597,Ckrszjr,Corsair MP510 M.2-2280 960GB,"CORSAIR Force Series MP510 960GB M.2 SSD PCIe Gen3 x4, M.2 NVMe, up to 3480/ 3000MB/ s read/ write (CSSD-F960GBMP510) - Läshastighet: 3.48GB/s - Skrivhastighet: 3GB/s - Gränssnitt: PCI Express 3.0 - Formfaktor: M.2 - Kapacitet: 960GB",,,1007272,https://www.dindator.se/corsair-force-series-mp510-960gb/cat-p/c0/p10417578,"CORSAIR - Force Series MP510 960GB M.2 SSD PCIe Gen3 x4, M.2 NVMe, up to 3480/3000MB/s read/write. Description: CORSAIR Force Series MP510 960GB M.2 SSD PCIe Gen3 x4, M.2 NVMe, up to 3480/ 3000MB/ s read/ write (CSSD-F960GBMP510) - Läshastighet: 3.48GB/s - Skrivhastighet: 3GB/s - Gränssnitt: PCI Express 3.0 - Formfaktor: M.2 - Kapacitet: 960GB",Forcc 5eries MP510,CSSD-F960GBMP510,SSD,,,960000,3480000,3,PCI Express x4,,,,,,,,,M.2 2280
products_2_33563069,,"4TB Exos 7E8 ST4000NM0115, 7200 RPM, SATA 6Gb/s, 512e, 128MB cache, 3.5-Inch HDD","4TB Exos 7E8 ST4000Nm0115, 7200 RPM, SATA 6Gb/s, 512e, 128MB cache, 3.5-Inch HDD",169.18,USD,1014052,https://www.avadirect.com/4TB-Exos-7E8-ST4000NM0115-7200-RPM-SATA-6Gb-s-512e-128MB-cache-3-5-Inch-HDD/Product/10598246,"4TB Sxos 7E8 ST4000NM0115, 7200 RPM, SATA 6Gb/s, 512e, 12uMB cache, 3.5-Inch HDD. Description: 5TB Exos 7E8 ST4000NM0115, 7200 RPM, SATA 6Gb/s, 512e, 128MB cache, 3.5-Inch HDD",Exos 7E8,ST4000NM0115,HDD,,,"4,000.0 GB",,,SATA,,,,,,3.5-inch SATA,,,3.5-inch
products_2_84470461,Asus,Asus Dual GeForce GTX 1650 OC 4GB 128-Bit Edition Graphics Card | 90YV0CV2-M0NA00,896 CUDA CoresTuring Architecture4GB of GDDR5 VRAM8 Gb/s Memory Speed128-Bit Memory InterfaceDisplayPort 1.4 | HDMI 2.0b | DVI-D DLDual Wing-Blade Fans,731.5,AED,1021594,https://pcdubai.com/product/asus-dual-geforce-gtx-1650-oc-4gb-128-bit-edition-graphics-card-90yv0cv2-m0na00,Asus Dual GeForce GTX 1650 OC 4GB 128-Bit Edition Graphics Card | 90YV0CV2-M0NA00. Description: 896 CUDA CoresTuring Architecture4GB of GDDR5 VRAM8 Gb/s Memory Speed128-Bit Memory InterfaceDisplayPort 1.4 | HDMI 2.0b | DVI-D DLDual Wing-Blade Fans,Dual GeForce GTX 1650 OC 4GB 128-Bit Edition,90YV0CV2-M0NA00,GPU,GeForce GTX 1650,4.0 GB,,,,,,,,,,,,,
products_2_12318405,Kingston,Kingston Data Traveler Vault Privacy 3.016 Gb,Kingston DataTraveler Vault Privacy 3.0Kingston’s DataTraveler® Vault Privacy 3.0 (DTVP 3.0) USB ...,,AUD,1023407,https://zeppgear.com.au/products/kingston-data-traveler-vault-privacy-3-0-16-gb,Kingston Data Traveler Vault Privacy 3.016 Gb. Description: Kingston DataTraveler Vault Privacy 3.0Kingston’s DataTraveler® Vault Privacy 3.0 (DTVP 3.0) USB ...,Data Traveler Vault Privacy 3.0,,USB_STICK,,,,,,USB 3.0,,,,,,,,,
products_2_87012760,Zotac,"Zotac Gaming Geforce RTX 2080 TI Blower 11GB GDDR6 352-bit Gaming Graphics Card, metal backplate, ZT-T20810A-10P","FEATURESThe all-new generation of ZOTAC GAMING GeForce graphics cards are here. Based on the new NVIDIA Turing architecture, it’s packed with more",121.78,INR,1027288,https://mdcomputers.in/zotac-geforce-rtx-2080-ti-blower-11gb-gddr6-zt-t20810a-10p.html,"Zotac Gaming Geforce RTX 2080 TI Blower 11GB GDDR6 352-bit Gaming Graphics Card, metal backplate, ZT-T20810A-10P. Description: FEATURESThe all-new generation of ZOTAC GAMING GeForce graphics cards are here. Based on the new NVIDIA Turing architecture, it’s packed with more",Gaming GeForce RTX 2080 Ti Blower-style graphics card,ZT-T20810A-10P,GPU,GeForce RTX 2080 Ti,11.0 GB,,,,,,,,,,,,,
products_2_8794784,Gigabyte,GIGABYTE GEFORCE GTX 1660 SUPER OC 6GB GDDR6 192-BIT GAMING GRAPHICS CARD,Powered by GeForce® GTX 1660 SUPER Integrated with 6GB GDDR6 192-bit memory interface WINDFORCE 2X Cooling System with alternate spinning fans 90 mm unique blade fans Protection Back Plate,22599.0,INR,1028734,https://www.kartmy.com/product/gigabyte-gv-n166soc-6gd-graphics-card-nvidia-geforce-gtx-1660-super-6-gb-gddr6,GIGABYTE GEFORCE GTX 1660 SUPER OC 6GB GDDR6 192-BIT GAMING GRAPHICS CARD. Description: Powered by GeForce® GTX 1660 SUPER™ Integrated with 6GB GDDR6 192-bit memory interface WINDFORCE 2X Cooling System with alternate spinning fans 90 mm unique blade fans Protection Back Plate,6EF0RCE GTX 1660 SUPER OC,,,GeForce GTX 1660 Sup,,,,,,,,,,,,,,
products_2_59982711,,GeForce GTX 1660 Ti GAMING X 6G,SpecificationsModel NameGeForce® GTX 1660 Ti GAMING X 6GGraphics Processing UnitNVIDIA® GeForce® GTX 1660 TiInterfacePCI Express x16 3.0Cores1536 UnitsCore ClocksBoost: 1875 MHzMemory Speed12 GbpsMemory6GB GDDR6Memory Bus192-bitOutputDisplayPort x 3 (v1.4) / HDMI 2.0b x 1HDCP Support2.2Power consumption130 WPower connectors8-pin x 1Recommended PSU450 WCard Dimension(mm247 x 127 x 46 mmWeight (Card / Package)869 g / 1511 gAfterburner OCYDirectX Version Support12 APIOpenGL Version Support4.5Maximum Displays4VR ReadyYG-SYNC® technologyYDigital Maximum Resolution7680 x 4320,1350.0,AED,1029916,https://samspc.com/products/gtx-1660-ti-gaming-x-6g,GeForce GTX 1660 Ti GAMING X 6G. Description: SpecificationsModel NameGeForce® GTX 1660 Ti GAMING X 6GGraphics Processing UnitNVIDIA® GeForce® GTX 1660 TiInterfacePCI Express x16 3.0Cores1536 UnitsCore ClocksBoost: 1875 MHzMemory Speed12 GbpsMemory6GB GDDR6Memory Bus192-bitOutputDisplayPort x 3 (v1.4) / HDMI 2.0b x 1HDCP Support2.2Power consumption130 WPower connectors8-pin x 1Recommended PSU450 WCard Dimension(mm247 x 127 x 46 mmWeight (Card / Package)869 g / 1511 gAfterburner OCYDirectX Version Support12 APIOpenGL Version Support4.5Maximum Displays4VR ReadyYG-SYNC® technologyYDigital Maximum Resolution7680 x 4320,GeForce GTX 1660 Ti GAMING X 6G,,GPU,,6.0,,,,PCI Express x16,,,,,,,GDDR6,,
products_2_46019781,Asus,ASUS ROG NVIDIA GeForce RTX 2080 SUPER 8GB STRIX ADVANCED GAMING Turing Graphics Card,"ASUS GeForce RTX 2080 SUPER ROG STRIX ADVANCED GAMING 8GB GDDr6 Ray-Tracing Graphics Card, 3072 Core, 1650MHz - 1830MHz",127.52,GBP,1036963,https://www.scan.co.uk/products/asus-geforce-rtx-2080-super-rog-strix-advanced-gaming-8gb-gddr6-ray-tracing-graphics-card-3072-core,"ASUS ROG NVIDIA GeForce RTX 2080 SUPER 8GB STRIX ADVANCED GAMING Turing Graphics Card. Description: ASUS GeForce RTX 2080 SUPER ROG STRIX ADVANCED GAMING 8GB GDDR6 Ray-Tracing Graphics Card, 3072 Core, 1650MHz - 1830MHz",ROG STRIX ADVANCED GAMING,,,GeForce RTX 2080 Super,8.0,,,,,,,,,,,GDDR6,,
products_2_34412534,ADATA,XPG GAMMIX 1TB S11 Pro 3D NAND PCIe NVMe Gen3x4 M.2 2280 SSD (AGAMMIXS11P-1TT-C),"Employing the extra-fast PCIe Gen3x4 interface and supporting NVMe 1.3, the GAMMIX S11 Pro delivers blazing fast read/write speeds of up to 3500/3000MB per second. What’s more, the S11 Pro is encased in a heatsink that reduces the SSD's temperatures by up to 10°C. Equipped with 3D NAND Flash along with SLC Caching, a DRAM Cache Buffer, End-to-End Data Protection, and LDPC ECC technology, it maintains high speeds and data integrity even during intense gaming, rendering, overclocking, and other",0.14,USD,1045382,https://www.orion-web.net/rnwp/1269/xpg-gammix-1tb-s11-pro-3d-nand-pcie-nvme-gen3x4-m-2-2280-ssd-agammixs11p-1tt-c,"XPG GAMMIX 1TB S11 Pro 3D NAND PCIe NVMe Gen3x4 M.2 2280 SSD (AGAMMIXS11P-1TT-C). Description: Employing the extra-fast PCIe Gen3x4 interface and supporting NVMe 1.3, the GAMMIX S11 Pro delivers blazing fast read/write speeds of up to 3500/3000MB per second. What’s more, the S11 Pro is encased in a heatsink that reduces the SSD's temperatures by up to 10°C. Equipped with 3D NAND Flash along with SLC Caching, a DRaM Cache Buffer, End-to-End Data Protection, and LDPC ECC technology, it maintains high speeds and data integrity even during intense gaming, rendering, overclocking, and other",GAMMIX S11 Pro,,SSD,,,"1,000,000 MB",3500.0,,PCI Express x4,NVMe,,,,,M.2,,,M.2 2280
products_2_27197488,,Gigabyte AMD Radeon RX 5600 XT GAMING OC Video Card GV-R56XTGAMING OC-6GD | PCByte,"Graphies Processing : AMD Radeon RX 5600 XTMemory : 6GB GDDR6Memory Bus : 192-BitCorc Clock : 1620 MHz (Boost)Interface : PCI-E 4.0 x 16Output : 3x DisplayPort 1.4, 1x HDMI 2.0b",419.0,AUD,1048970,https://www.pcbyte.com.au/store/product/gigabyte-amd-radeon-rx-5600-xt-gaming-oc-video-card-gv-r56xtgaming-oc-6gd-19567,"Gigabyte AMD Radeon RX 5600 XT GAMING OC Video Card GV-R56XTGAMING OC-6GD | PCByte. Description: Graphics Processing : AMD Radeon RX 5600 XTMemory : 6GB GDDR6Memory Bus : 192-BitCore Clock : 1620 MHz (Boost)Interface : PCI-E 4.0 x 16Output : 3x DisplayPort 1.4, 1x HDMI 2.0b",AMD Radeon RX 5600 XT GAMING OC,GV-R56XTGAMING OC-6GD,GPU,,,,,,PCI Express x16,,,,,,,,,
products_2_87689104,Palit,"PALIT VGA GeForce GTX 1660 Super NE6166SS18J9-161F, GDDR6 6GB, StormX OC","PALIT VGA GeForce GTX 1660 Super NE6166SS18J9-161F, GDDR6 6GB, StormX OC",436.07,EUR,1051451,https://doulfis.gr/product/palit-vga-geforce-gtx-1660-super-ne6166ss18j9-161f-gddr6-6gb-stormx-oc,"PALIT VGA GeForce GTX 1660 Super NE6166SS18J9-161F, GDDR6 6GB, StormX OC. Description: PALIT VGA GeForce GTX 1660 Super NE6166SS18J9-161F, GDDR6 6GB, StormX OC",VGA GeForce GTX 1660 Super StormX ,BE6166SD18J9-q61F,GPU,GeForce GTX 1660 Super,6.0 GB,,,,,,,,,,,GDDR,,
products_2_40217101,Samsung,Samsung 860 EVO Series SSD 4TB,"4TB Samsung 860 EVO, 2.5\"" SSD, SATA III 6Gb/s, MJX, MLC 3D V-NAND, 4GB Cache, Read 550MB/s, Write 520MB/s, 98k/90k",2569.0,EUR,1057972,https://www.scan.co.uk/products/4tb-samsung-860-evo-25-ssd-sata-iii-6gb-s-mjx-mlc-v-nand-4gb-cache-read-550mb-s-write-520mb-s-98k-90,"Samsung 860 EVO 4TB 2.5\"" SATA 3D V-NAND SSD/Solid State Drive. Desdription: 4TB Samsung 860 EVO, 2.5\"" SSD, SATA III 6Gb/s, MJX, MLC 3D V-NAND, 4GB Cache, Read 559MB/s, Qrite 520MB/s, 98k/90k",860 EVO Series,,SSD,,,4000.0,550.0,520000,SATA,,,,,,q.5-ibdh SATA,,,2.5-inch
products_2_75097345,Asus,Asus ROG Strix GeForce RTX 2080 Ti OC edition 11GB Graphics Card,"Cuda Cores: 4352, Boost Clock: 1650MHz, GDDR6, 352-bit Memory, Memory Clock: 14000Mhz, Ray Tracing, 2 x DisplayPort, 2 x HDMI, 1 x USB Type-C, 3 Year",,,1063063,https://www.novatech.co.uk/products/asus-rog-strix-geforce-rtx-2080-ti-oc-edition-11gb-graphics-card/90yv0cc0-m0nm00.html,"Asus ROG Strix GeForce RTX™ 2080 Ti OC edition 11GB Graphics Card. Description: Cuda Cores: 4352, Boost Clock: 1650MHz, GDDR6, 352-bit Memory, Memory Clock: 14000Mhz, Ray Tracing, 2 x DisplayPort, 2 x HDMI, 1 x USB Type-C, 3 Year",ROG Strix GeForce RTX™ 2080 Ti OC edition,,GPU,,,,,,,,,,,,,GDDR6,,
products_2_57920498,Transcend,Transcend 220S 120GB 2.5 SATA III TLC SSD,"(Solid, 120GB, 2.5, 2.5\"", 220S, Drive), III, SATA, Transcend State, TLC, SSD,",26.95,EUR,1066948,https://www.megekko.nl/product/2018/142896/SSD-2-5-SATA/Transcend-220S-120GB-2-5-SATA-III-TLC-SSD,"Transcend 220S 120GB 2.5 SATA III TLC SSD. Description: (Solid, 120GB, 2.5, 2.5\"", 220S, Drive), III, SATA, SSD, State, TLC, Transcend",220S,,SSD,,,,,,,,,,,,,,,2.5-inch
products_2_35384524,,SSD 240GB 2.5'' PATRIOT Burst SATA3 R/W:555/500 MB/s 3D NAND,"Patriot Burst 2.5-inch SATA3 SSD with 240GB capacity, 3D NAND, and read/write speeds of 555/500 MB/s",5999.0,LEI,1068495,https://www.it-fashion.ro/shop/ssd-240gb-2.5-patriot-burst-sata3-r-w-555-500-mb-s-3d-nand.html,SSD 240GB 2.5'' PATRIOT Burst SATA3 R/W:555/500 MB/s 3D NAND. Description: SSD 240GB 2.5'' Patriot Burst SATA3 R/W:555/500 MB/s 3D NAND,SSD,,SSD,,,240.0 GB,555.0 MB/s,500.0,,SATA III,,,,,2.5-inch SATA,,,
products_2_58788413,Kingston,"Kingston UV500 240GB 2.5\"" 3D NAND SATA Internal Solid State Drive","Kingston UV500 240GB 2.5\"" 3D NAND SATA Internal Solid State Drive",,,106878,https://www.newegg.com/kingston-uv500-240gb/p/1Z4-000C-00054?Description=240gb%20kingston&cm_re=240gb_kingston-_-1Z4-000C-00054-_-Product,"Kingston UV500 240GB 2.5\"" 3D NAND SATA Internal Solid State Drive. Description: Kingston UV500 240GB 2.5\"" 3D NAND SATA Internal Solid State Drive",UV500,,SSD,,,,,,SATA,SATA III,,,,,2.5-inch SATA,,,2.5-inch
products_2_29058570,Sandisk,SanDisk Cruzer Blade USB Flash Drive 128GB,"Shipped in 3 to 5 working daysCondition : New SanDisk USB Flash Drives offer a fast, convenient USB to back up, share, carry and transfer your files. These flash drives provide enough space to store your photos, videos, music, and other personal files. With their pocket-sized designs and expansive capacities, SanDisk way drives let you take your files wherever you go.Features:- Made to fit in your pocketWhat's in the box1 x SanDisk Cruzer 128GB FlashModel : SDCZ50-128G-B35",369.80,ZAR,1068990,https://www.egadgets.co.za/product/sandisk-cruzer-blade-usb-flash-drive-128gb,"SanDisk Cruzer Blade USB Flash Drive 128GB. Description: Shipped in 3 to 5 working daysCondition : New SanDisk USB Flash Drives offer a fast, convenient way to back up, share, carry ond transfer your files. These flash drives provide enough space to store your photos, videos, music, and other personal files. With their pocket-sized designs and expansive capacities, SanDisk USB drives let you take your files wherever you go.Features:- Made to fit in your pocketWhat's in the box1 x SanDisk Cruzer l28GB FlashModel : SDCZ50-128G-B35",Cruzer Blade,SDCZ50-128G-B35,,,,128.0 GB,,,,,,,,,,,,
products_2_29014657,Zotac,Zotac GeForce RTX 2070 SUPER 8GB Mini Boost Graphics Card,"Available  CCL, this Zotac GeForce RTX 2070 SUPER Mini 8GB Graphics Card supports Raytracing, is VR Ready and has HDMI and DisplayPort outputs",457.88,GBP,1075342,https://www.cclonline.com/product/300391/ZT-T20710E-10M/Graphics-Cards/Zotac-GeForce-RTX-2070-SUPER-Mini-8GB-Graphics-Card/VGA5709,"Zotac GeForce RTX 2070 SUPER 8GB Mini Boost Graphics Card. Description: Available @ CCL, this Zotac GeForce RTX 2070 SUPER Mini 8GB Graphics Card supports Raytracing, is VR Ready and has HDMI and DisplayPort outputs",GcForee RTX 2070 SUPER 8GB Mini Boost,,GPU,,7.45 GiB,,,,,,,,,,,,,
products_2_63373198,Western Digital,Western Digital 480GB SSD M.2 2280 SATA III 6Gb/s,Western Digital 480GB SSD M.2 2280 SATA III 6Gb/s,52.8,EUR,107546,https://www.xstra.eu/product/2040/western-digital-480gb-ssd-m2-2280-sata-iii-6gb-s.html,Western Digital 480GB M.2 2280 SSD with SATA III 6Gb/s interface. Description: Western Digital 480GB M.2 2280 SSD with SATA III 6Gb/s interface,,,SSD,,,480.0,,,SATA,SATA III,,,,,M.2,,,
products_2_9482772,Western Digital,Western Digital WD Elements Desktop external hard drive 4000 GB Black,"4 TB, USB 3.0 Micro-B, 5Gbps, 950g",170.68,EUR,1077512,https://repairtech.ie/product/western-digital-wd-elements-desktop-external-hard-drive-4000-gb-black,"Western Digital WD Elements Desktop external hard drive 4000 GB Black. Description: 4 TB, USB 3.0 Micro-B, 5Gbps, 950g",WD Elements Desktop,,HDD,,,"3,725.29 GiB",,,USB 3.0,Micro-B,,,,,,,,
products_2_45490011,Asrock,ASRock Radeon RX 550 2GB Phantom Edition Graphics Card,"Available  CCL: ASRock Radeon RX 550 Phantom Edition 2GB Graphics Card. HDMI, DVI and DisplayPort inputs. Direct X 12 Supp",103.99,GBP,1080185,https://www.cclonline.com/product/256318/90-GA0500-00UANF/Graphics-Cards/ASRock-Phantom-Gaming-Radeon-RX-550-2GB-Graphics-Card/VGA4151,"ASRock Radeon RX 550 2GB Phantom Edition Graphics Card. Description: Available @ CCL: ASRock Radeon RX 550 Phantom Edition 2GB Graphics Card. HDMI, DVI and DisplayPort inputs. Direct X 12 Support",Radeon RX 550 2GB Phantom Edition,,GPU,,,,,,,,,,,,,,,
products_2_41106684,Western Digital,WD My Passport Go 500GB External Portable Solid State Drive/SSD - Cobalt Trim,"500GB WD My Passport Go WDBMCG5000ABT-WESN portable external SSD with USB 3.0, bus-powered operation, and cobalt trim",76.99,GBP,1090368,https://www.scan.co.uk/products/500gb-wd-my-passport-go-wdbmcg5000abt-wesn-portable-external-ssd-usb-30-bus-powered-cobalt-trim,"WD My Passport Go 500GB External Portable Solid State Drive/SSD - Cobalt Trim. Description: 500GB WD My Passport Go WDBMCG5000ABT-WESN, Portable External SSD, USB 3.0, Bus Powered, Cobalt Trim",My Passport Go,,SSD,,,500000 MB,,,USB 3.0,,,,,,,,Cobalt Trim,
products_2_93767928,Kingston,Kingston Technology DataTraveler 100 G3 USB flash drive 256 GB USB Type-A 3.2 Gen 1 (3.1 Gen 1) Zwart,DataTraveler 100 G3 256GB,46.55,,1090670,https://computersvandaag.nl/product/kingston-technology-datatraveler-100-g3-usb-flash-drive-256-gb-usb-type-a-3-2-gen-1-3-1-gen-1-zwart,Kingston Technology DataTraveler 100 G3 USB flash drive 256 USB Type-A 3.2 Gen 1 (3.1 Gen 1) Zwart. Description: DataTraveler 100 G3 256GB,,,USB_STICK,,,256.0 GB,,,,USB Type-A,,,,,USB Type-,,Zsa4f,
