source,attribute,baseline_alignment_rate,n_cells,n_aligned
dbpedia,series,0.0,0,0
dbpedia,genres,0.0,0,0
dbpedia,releaseYear,0.0,62,0
dbpedia,developer,0.725806,62,45
dbpedia,platform,0.709677,62,44
dbpedia,name,0.806452,62,50
metacritic,ESRB,0.92,75,69
metacritic,platform,0.893333,75,67
metacritic,name,0.945946,74,70
metacritic,genres,0.0,0,0
metacritic,developer,0.72973,74,54
metacritic,userScore,0.109589,73,8
metacritic,criticScore,0.12,75,9
metacritic,releaseYear,0.0,75,0
sales,ESRB,0.0,0,0
sales,userScore,0.0,0,0
sales,publisher,0.0,0,0
sales,genres,0.0,0,0
sales,platform,0.0,0,0
sales,releaseYear,0.0,0,0
sales,criticScore,0.0,0,0
sales,name,0.0,0,0
sales,developer,0.0,0,0
sales,globalSales,0.0,0,0
