source,attribute,null_rate
dbpedia,annual_income,0.7956370847793753
dbpedia,established,0.0
dbpedia,headquarters,0.06941001487357462
dbpedia,keypeople_name,0.907982151710461
dbpedia,nation,0.0
dbpedia,org_name,0.0
dbpedia,sector,0.31799702528507684
dbpedia,total_assets_val,0.9345562716906296
forbes,asset_value,0.0
forbes,business_segment,0.0215
forbes,company,0.0
forbes,region,0.0355
forbes,sales_figure,0.0
fullcontact,Attribute_2,0.0
fullcontact,Attribute_3,0.26307612635939925
fullcontact,Attribute_4,0.2879337131020197
fullcontact,Attribute_5,0.9005696530295184
fullcontact,Attribute_6,0.4531330916623511
