source,attribute,baseline_alignment_rate,n_cells,n_aligned
dbpedia,revenue,0.052632,76,4
dbpedia,founded,0.740741,108,80
dbpedia,city,0.386792,106,41
dbpedia,country,0.537037,108,58
dbpedia,name,0.601852,108,65
dbpedia,industry,0.0,0,0
dbpedia,assets,0.057692,52,3
forbes,assets,0.037267,161,6
forbes,industry,0.0,0,0
forbes,name,0.90566,159,144
forbes,country,0.765517,145,111
forbes,revenue,0.080745,161,13
fullcontact,name,0.28125,128,36
fullcontact,country,0.351064,94,33
fullcontact,city,0.37037,108,40
fullcontact,industry,0.0,0,0
fullcontact,founded,0.536232,69,37
