source_dataset,source_column,target_dataset,target_column,score
crossref,id,papers,id,1.0
crossref,doi,papers,doi,1.0
crossref,type,papers,type,1.0
crossref,title,papers,title,1.0
crossref,authors,papers,authors,1.0
crossref,publication_year,papers,publication_year,1.0
crossref,journal,papers,journal,1.0
crossref,publisher,papers,publisher,1.0
crossref,keywords,papers,keywords,1.0
crossref,volume,papers,volume,1.0
crossref,issue,papers,issue,1.0
crossref,first_page,papers,first_page,1.0
crossref,last_page,papers,last_page,1.0
crossref,referenced_works_count,papers,referenced_works_count,1.0
crossref,cited_by_count,papers,cited_by_count,1.0
dblp,id,papers,id,1.0
dblp,doi,papers,doi,1.0
dblp,type,papers,type,1.0
dblp,title,papers,title,1.0
dblp,authors,papers,authors,1.0
dblp,publication_year,papers,publication_year,1.0
dblp,journal,papers,journal,1.0
dblp,publisher,papers,publisher,1.0
dblp,keywords,papers,keywords,1.0
dblp,volume,papers,volume,1.0
dblp,issue,papers,issue,1.0
dblp,first_page,papers,first_page,1.0
dblp,last_page,papers,last_page,1.0
dblp,referenced_works_count,papers,referenced_works_count,1.0
dblp,cited_by_count,papers,cited_by_count,1.0
open_alex,id,papers,id,1.0
open_alex,doi,papers,doi,1.0
open_alex,type,papers,type,1.0
open_alex,title,papers,title,1.0
open_alex,authors,papers,authors,1.0
open_alex,publication_year,papers,publication_year,1.0
open_alex,journal,papers,journal,1.0
open_alex,publisher,papers,publisher,1.0
open_alex,keywords,papers,keywords,1.0
open_alex,volume,papers,volume,1.0
open_alex,issue,papers,issue,1.0
open_alex,first_page,papers,first_page,1.0
open_alex,last_page,papers,last_page,1.0
open_alex,referenced_works_count,papers,referenced_works_count,1.0
open_alex,cited_by_count,papers,cited_by_count,1.0
