cluster_size,frequency,percentage
2,6,13.953488372093023
3,2,4.651162790697675
4,4,9.30232558139535
5,1,2.3255813953488373
6,2,4.651162790697675
7,3,6.976744186046512
8,2,4.651162790697675
12,2,4.651162790697675
13,1,2.3255813953488373
14,1,2.3255813953488373
18,1,2.3255813953488373
20,1,2.3255813953488373
24,1,2.3255813953488373
27,1,2.3255813953488373
30,1,2.3255813953488373
33,1,2.3255813953488373
35,1,2.3255813953488373
36,1,2.3255813953488373
43,1,2.3255813953488373
44,2,4.651162790697675
59,1,2.3255813953488373
62,1,2.3255813953488373
83,1,2.3255813953488373
108,1,2.3255813953488373
113,1,2.3255813953488373
114,1,2.3255813953488373
124,1,2.3255813953488373
176,1,2.3255813953488373
