cluster_size,frequency,percentage
2,20748,41.047758477426505
3,28219,55.82835437027658
4,547,1.082182566375183
5,453,0.8962133502156451
6,298,0.5895619831440667
7,74,0.1464012978277213
8,68,0.13453092232817632
9,40,0.07913583666363312
10,25,0.0494598979147707
11,11,0.02176235508249911
12,10,0.01978395916590828
13,11,0.02176235508249911
14,3,0.005935187749772485
15,6,0.01187037549954497
16,6,0.01187037549954497
17,6,0.01187037549954497
18,3,0.005935187749772485
19,2,0.003956791833181657
20,3,0.005935187749772485
21,1,0.0019783959165908284
22,1,0.0019783959165908284
25,3,0.005935187749772485
26,1,0.0019783959165908284
28,1,0.0019783959165908284
29,2,0.003956791833181657
30,1,0.0019783959165908284
33,1,0.0019783959165908284
38,1,0.0019783959165908284
152,1,0.0019783959165908284
