cluster_size,frequency,percentage
2,50,11.013215859030836
3,25,5.506607929515418
4,344,75.77092511013215
5,8,1.762114537444934
6,2,0.4405286343612335
7,1,0.22026431718061676
8,10,2.2026431718061676
9,1,0.22026431718061676
12,2,0.4405286343612335
14,1,0.22026431718061676
16,1,0.22026431718061676
18,1,0.22026431718061676
20,1,0.22026431718061676
25,1,0.22026431718061676
27,1,0.22026431718061676
32,1,0.22026431718061676
33,1,0.22026431718061676
48,1,0.22026431718061676
128,1,0.22026431718061676
146,1,0.22026431718061676
