source_dataset,source_column,target_dataset,target_column,score
dbpedia,id,games,id,1.0
dbpedia,nm,games,name,1.0
dbpedia,ly,games,releaseYear,1.0
dbpedia,stu,games,developer,1.0
dbpedia,sys,games,platform,1.0
dbpedia,g,games,genres,1.0
dbpedia,fran,games,series,1.0
metacritic,id,games,id,1.0
metacritic,game_title,games,name,1.0
metacritic,year_published,games,releaseYear,1.0
metacritic,made_by,games,developer,1.0
metacritic,console,games,platform,1.0
metacritic,gnrs,games,genres,1.0
metacritic,press_rating,games,criticScore,1.0
metacritic,player_rating,games,userScore,1.0
metacritic,age_rating,games,ESRB,1.0
sales,id,games,id,1.0
sales,Attribute_2,games,name,1.0
sales,Attribute_3,games,releaseYear,1.0
sales,Attribute_4,games,developer,1.0
sales,Attribute_5,games,publisher,1.0
sales,Attribute_6,games,platform,1.0
sales,Attribute_7,games,genres,1.0
sales,Attribute_8,games,criticScore,1.0
sales,Attribute_9,games,userScore,1.0
sales,Attribute_10,games,ESRB,1.0
sales,Attribute_11,games,globalSales,1.0
