_id,_fusion_sources,title_description,price,brand,form_factor,height_mm,weight_g,interface_type,length_mm,priceCurrency,url,width_mm,description,id,chipset_name,memory_type,read_speed_mb_s,write_speed_mb_s,storage_connection_type,product_type,storage_gb,title,model,color,bus_type,vram_gb,model_number,cluster_id
products_1_8217265,"['products_1_8217265', 'products_3_36838708']","WD Blue SN550 250GB M.2 PCIe NVMe SSD/Solid State Drive. Description: 250GB WD Blue SN550, M.2 (2280) PCIe 3.0 (x4) NVMe SSD, 2400MB/s Read, 950MB/s Write, 170k/135k IOPS",75.65,Western Digital,M.2 2280,,,NVMe,,GBP,"['https://www.noorderwind.computer/wd-blue-sn550-nvme-m2-500-gb-pci-express-30-3d-nan.html', 'https://www.scan.co.uk/products/250gb-wd-blue-sn550-m2-2280-pcie-30-x4-nvme-ssd-2400mb-s-read-950mb-s-write-170k-135k-iops']",,SSD 250 Go M.2 PCIe NVMe 3.0 x4 NAND 3D TLCSSD 250 Go M.2 PCIe NVMe 3.0 x4 NAND 3D TLC,products_1_8217265,,,,950.0,M.2,SSD,,Western Digital Blue SN550 SSD 250GB M.2 NVMe 2400/1750 MB/s,SN550 Blue WD,,PCI Express x4,,,1929165.0
k02_noncorner_products_00122__products_4,"['k02_noncorner_products_00122__products_4', 'k02_noncorner_products_00122__products_3', 'k02_noncorner_products_00122__products_2', 'k02_noncorner_products_00122__products_1']",27-inch QHD creative monitor,387.19,Lunora,,,,,,USD,,,"A fictional 27-inch creative monitor designed for illustration, photo editing, and casual streaming. It features a wide-color IPS panel, 2560x1440 resolution, 100 Hz refresh rate, and USB-C input for laptop connectivity. The stand supports tilt and height adjustment, and the display includes built-in dual speakers and low-blue-light modes.",k02_noncorner_products_00122__products_4,LunaView QW-IPS,,,,,Monitor,,Lunora Prism 27QW Creative Display,Prism 27QW,,,,LPR-27QW-01,
products_3_79517683,"['products_3_79517683', 'products_1_31663634']","Intel 660P Series 512GB M.2 2280 PCIE QLC SSD. Description: PCIe Performance at an Affordable Price, 512GB, PCIe 3.0 x4, M.2 2280 M.2 Internal Solid State Drive, QLC 3D NAND, Up to 1500MB/s Read, Up to 1000MB/s Write, Random performance of up to 90K/220K R/W IOPS, 5 year warranty",180.7,Intel,M.2 2280,,,NVMe,,NZD,"['https://www.laurensontechnology.com/product-page/intel-660p-series-512gb-m-2-2280-pcie-qlc-ssd', 'https://www.pbtech.co.nz/product/HDDINT4283498/Intel-SSD-660P-3D2-QLC-512GB-M2-2280-NVMe-PCIe-Gen']",,"PCIe Performance at an Affordable Price, 512GB, PCIe 3.0 x4, M.2 2280 M.2 Internal Solid State Drive, QLC 3D NAND, Up to 1500MB/s Read, Up to 1000MB/s Write, Random performance of up to 90K/220K R/W IOPS, 5 year warranty",products_3_79517683,,,,,M.2,SSD,,Intel 660P Series 512GB M.2 2280 PCIE QLC SSD,SSD 660P 3D2 QLC,,PCI Express x4,,,874131.0
k02_noncorner_products_00370__products_2,"['k02_noncorner_products_00370__products_2', 'k02_noncorner_products_00370__products_4', 'k02_noncorner_products_00370__products_3', 'k02_noncorner_products_00370__products_1']",27-inch QHD IPS monitor for productivity and creative use,328.44,Northwind,,,,,,USD,,,"A fictional 27-inch desktop monitor designed for color-accurate office and creative work. It features a QHD IPS panel, 75Hz refresh rate, 350 nits brightness, and support for HDMI and DisplayPort inputs. The slim bezel design and adjustable stand make it suitable for multi-monitor productivity setups.",k02_noncorner_products_00370__products_2,N /A,,,,,Monitor,,Northwind Halo 27Q IPS Monitor,27Q Halo,,,,NW-HALO27Q-75,
k02_noncorner_products_00142__products_3,"['k02_noncorner_products_00142__products_3', 'k02_noncorner_products_00142__products_1', 'k02_noncorner_products_00142__products_4', 'k02_noncorner_products_00142__products_2']",27-inch 4K creative monitor with USB-C connectivity and factory calibration,504.7,Nebula,,,,,,USD,,,"A fictional studio display built for illustration, photo editing, and color-sensitive layout work. The Nebula Quill combines a 27-inch 4K IPS panel, factory-calibrated wide-gamut color, USB-C display input, and a slim aluminum stand with tilt, swivel, and height adjustment. Designed as a desktop monitor rather than storage or graphics hardware, it emphasizes visual fidelity, ergonomic flexibility, and a clean single-cable workspace.",k02_noncorner_products_00142__products_3,AuroraView QX1,,,,,MONITOR,,Nebula Quill 27-inch 4K Creative Monitor,Quill,,,,NQ27U-01,
products_1_10678822,"['products_1_10678822', 'products_3_82180666']","Sandisk Cruzer Ultra 32GB USB 3.0. Description: The 32GB Ultra USB 3.0 Flash DrivefromSanDiskmakes it simple to take all of your files with flash on the go. This flash drive features a large storage capacity capable of holding a variety of files including movies, videos, photos, music, documents and more. With USB 2.0 and 3.0 compatibility you can plug this flash drive into nearly any PC or Mac and transfer your data to and from the drive at data speeds up to 100MB/s. This you drive also comes equipped with 128-bit encryption ensuring the saved data remains secure.",175.785,Sandisk,,,,,,SGD,"['https://cameratek.co.za/products/sandisk-cruzer-ultra-32gb-usb-3-0', 'https://one-click.co.za/products/sandisk-cruzer-glide-flash-drive']",,"The 32GB Ultra USB 3.0 Flash DrivefromSanDiskmakes it simple to take all of your files with you on the go. This flash drive features a large storage capacity capable of holding a variety of files including movies, videos, photos, music, documents and more. With USB 2.0 and 3.0 compatibility you can plug this flash drive into nearly any PC or Mac and transfer your data to and from the drive at data speeds up to 100MB/s. This flash drive also comes equipped with 128-bit encryption ensuring the saved data remains secure.",products_1_10678822,,,,,,USB_STICK,32.0,SanDisk Cruzer Glide USB 2.0 Flash Drive 32GB,Cruzer Glide,,USB 3.0,,,133436.0
products_1_9830450,"['products_1_9830450', 'products_3_82431267']","Toshiba 16GB TransMemory U202 USB Flash Drive - White. Description: 16 GB Capacity, USB 2.0, Read: 18 MB/s | Write: 5 MB/s, W: 2.1cm, D: 5.1cm, H: 1.1cm, 5 years warranty",7.97,Toshiba,,,,,,EUR,"['https://www.cclonline.com/product/192163/THN-U202W0160E4/USB-Memory-Sticks/Toshiba-TransMemory-16GB-USB2-0-Flash-Drive-White-/BAK6758', 'https://www.quickhard.com/Pen-Drive-Toshiba-Blanco-U202-16Gb-USB-2.0.asp']",,"The Toshiba TransMemory U202 USB flash drive makes it simple to store media securely - with a design that's small in size, but big on storage.",products_1_9830450,,,,,,HSB_STICK,,Toshiba TransMemory U202 16GB USB 2.0 Flash Stick Pen Memory Drive,TransMemory U202,Blanco,USB 2.0,,,2507823.0
k02_noncorner_products_00020__products_1,"['k02_noncorner_products_00020__products_1', 'k02_noncorner_products_00020__products_2', 'k02_noncorner_products_00020__products_4', 'k02_noncorner_products_00020__products_3']",27-inch QHD IPS monitor for office and creative productivity,328.44,Neriva,,,,,,USD,,,"27-inch desktop display designed for writing, editing, and soft-color adjustable work. Uses an IPS panel with QHD resolution, anti-glare coating, and illustration stand for a quiet office setup. Built for general productivity rather than gaming or storage workloads.",k02_noncorner_products_00020__products_1,,,,,,Monitor,,Neriva Lyric Desk Monitor 27Q-IPS,Lyric Desk Monitor 27Q,,,,NDM27Q-IPS-01,
products_3_23646540,"['products_3_23646540', 'products_1_24041154', 'products_4_41065056']","Sabrent Rocket Q 1TB NVMe SSD M.2 review. Description: We review the Sabrent Rocket Q 1TB, a fast M.2 SSD that you can purchase for 129 USD these days. Labeled withReads and Writes in the 3200/2000 MB/s ranges there however is an oddity to be found with... Introduction",135.245,Sabrent,M.2 2180,,,NVMe,,USD,"['https://www.dealnews.com/c473/Computers/Storage/Hard-Drives/Internal-Hard-Drives/?pf=1&sort=hotness', 'https://www.guru3d.com/articles-pages/sabrent-rocket-q-1tb-nvme-ssd-m-2-review,1.html', 'https://www.newegg.com/sabrent-rocket-q-1tb/p/0D9-001Y-00024?Item=9SIAME8ARP9899&IsFeedbackTab=true']",,"We review the Sabrent Rocket Q 1TB, a fast M.2 SSD that you can purchase for 129 USD these days. Labeled withReads and Writes in the 3200/2000 MB/s ranges there however is an oddity to be found with... Introduction",products_3_23646540,,,,,M.2,SSD,1000.0,Sabrent Rocket Q 1TB NVMe PCIe M.2 2280 Internal SSD High Performance Solid State Drive R/W 3200/2000 MB/s (SB-RKTQ-1TB),Rocket Q,,PCIe,,,2313670.0
k02_noncorner_products_00174__products_2,"['k02_noncorner_products_00174__products_2', 'k02_noncorner_products_00174__products_3', 'k02_noncorner_products_00174__products_1', 'k02_noncorner_products_00174__products_4']",A fictional 14-port USB hub with per-port switching and USB-C host connection.,58.7,NebulaForge,,,,,,USD,,,"Compact desktop accessory for organizing multiple peripherals through a single USB-C uplink. Includes 14 downstream USB-A ports, individual power switches, and status LEDs for each channel. Intended for creative studios, lab benches, and temporary workstation setups.",k02_noncorner_products_00174__products_2,VL817,,,,,USB_HUB,,Lunar Quill 14-Port USB Hub,Quill 14,,,,NF-Q14C-USB,
k02_noncorner_products_00347__products_3,"['k02_noncorner_products_00347__products_3', 'k02_noncorner_products_00347__products_4', 'k02_noncorner_products_00347__products_1', 'k02_noncorner_products_00347__products_2']",PCIe capture accelerator with 12GB b uffer,222.68,Nimbus,,,,,,USD,,,"A fictional add-in expansion card designed for creative workstations that need lightweight media capture acceleration, featuring a compact PCIe interface, 12GB onboard buffer, and low-profile cooling for silent desktop rigs. Optimized for ingesting camera feeds and offloading preview tasks rather than general-purpose graphics or mass storage.",k02_noncorner_products_00347__products_3,NXC-240,,,,,CAPTURE_CARD,,Nimbus Quill 12GB PCIe Capture Accelerator,Quill,,,12.0,NQ-12C8,
k02_noncorner_products_00119__products_1,"['k02_noncorner_products_00119__products_1', 'k02_noncorner_products_00119__products_3', 'k02_noncorner_products_00119__products_4', 'k02_noncorner_products_00119__products_2']",A fictional studio control surface for cue management and live production,175.67,Nebula Forge,,,,,,USD,,,"Compact desktop controller for live lighting and motion cue sequencing, featuring twelve assignable  tactile keys, dual rotary encoders, USB-C connectivity, and onboard macro storage for stage, broadcast, and small venue workflows.",k02_noncorner_products_00119__products_1,NF CueCore,,,,,Controller,0.5,Nebula Forge CM-12 studio controller,CM-12,,,,NF-CM12-USB,
k02_noncorner_products_00093__products_4,"['k02_noncorner_products_00093__products_4', 'k02_noncorner_products_00093__products_3', 'k02_noncorner_products_00093__products_1', 'k02_noncorner_products_00093__products_2']",27 inch QHD color monitor,257.81,AuroraView,,,,,,USD,,,"A fictional 27-inch desktop color monitor designed for illustration, signage, and studio preview work. It features a 2560 x 1440 QHD panel, 100% sRGB coverage, HDMI and DisplayPort inputs, and a fully adjustable stand for portrait or landscape use. The display is tuned for general-purpose visual clarity rather than gaming or workstation graphics.",k02_noncorner_products_00093__products_4,NovaPanel Q7,,,,,Monitor,,AuroraView LQ27QH color monitor 27 inch QHD,LQ27QH,,,,AV-LQ27QH-27,
products_1_58685745,"['products_1_58685745', 'products_3_88986045']",ASUS NVIDIA GEFORCE RTX 3080 10GB TUF GAMING OC AMPERE GRAPHICS CARD. Description: FEATURES:Memory 10GB TBCMHz GDDR6XCuda Cores: 8704VR ReadyPhysX/CUDA EnabledNVIDIA Ampere8nm ProcessReal-Time Ray Tracing3 Years Warranty.,973.7149999999999,Asus,,,,,,ZAR,"['https://www.novatech.co.uk/products/asus-nvidia-geforce-rtx-3080-tuf-gaming-10gb-ampere-graphics-card/tuf-rtx3080-10g-gaming.html', 'https://www.thekeykey.com/detail/TUF-RTX3080-O10G-GAMING/?name=247611']",,"Cuda Cores: 8704, Boost Clock: TBDMHz, GDDR6X, 320-bit Memory, Memory Clock: TBD MHz, Ray Tracing, 3x Display Port, 2x HDMI, 3 Yr Warranty.",products_1_58685745,GeForce ETX 3080,GDDR6X,,,,GPU,,ASUS Video Card TUF-RTX3080-O10G-GAMING GeForce RTX 3080 GAMING 10GB GDDR6X 320Bit Retail,Video Card TUF-RTX3080-O10G-GAMING GeForcc RTX 3080 GAMING,,,10.0,TUF-RTX3080-O10G-GAMING,2082644.0
products_1_1854084,"['products_1_1854084', 'products_2_19172447']","iStorage diskAshur2 HDD Black 2TB IS-DA2-256-2000-B. Description: This ultra secure iStorage diskAshur2 portable hard disk drive features real-time AES-XTS 256-bit hardware encryption with your own unique 7-15 digit PIN. The super fast USB 3.1 features transfer speeds of up to 148MB/s (read) and 140MB/s (write), and is also compatible with USB 2.0. Water and dust resistant (IP56 certified), the drive also features an epoxy coated, wear resistant keybord.",431.07,Istorage,,,,,,GBP,"['http://www.pittstopbusinesssupplies.co.uk/istorage-diskashur2-hdd-black-2tb-is-da2-256-2000-b/pi/IST25124-2934735-1.html', 'https://www.a2boffice.co.uk/hard-disks/istorage-diskashur2-hdd-black-2tb-is-da2-256-2000-b--3']",,"This ultra secure iStorage diskAshur2 portable hard disk drive features real-time AES-XTS 256-bit hardware encryption with your own unique 7-15 digit PIN. The super fast USB 3.1 features transfer speeds of up to 148MB/s (read) and 140MB/s (write), and is also compatible with USB 2.0. Water and dust resistant (IP56 certified), the drive also features an epoxy coated, wear resistant keybord.",products_1_1854084,,,148.0,140.0,,HDD,,iStorage diskAshur2 HDD Black 2TB IS-DA2-256-2000-B,diskAshur2,Black,USB 3.0,,IS-DA2-256-2000-B,1945634.0
