_id,_fusion_sources,label,release-date,tracks,name,id,duration,genre,artist,release-country
mbrainz_31451,"['mbrainz_31451', 'discogs_35031']",Mango,1992-01-01 00:00:00,"["" 'Absent From The Heart'"", "" 'Absent From the Heart'"", "" 'Book Worm'"", "" 'Bookworm'"", "" 'Come Tomorrow'"", "" 'De Under Fire'"", "" 'Dem Under Fire'"", "" 'I Wanna Dance With You'"", "" 'Ku Deh'"", "" 'Lost Without Your Magic'"", "" 'No Pay Day Love'"", "" 'What A Crazy Life']"", "" 'What a Crazy Life']"", ""['Natural Thing'""]",The Moment Of Truth,mbrainz_31451,2306.0,,"Mighty Diamonds, The",UK
discogs_28807,"['discogs_28807', 'mbrainz_6562', 'lastFM_13861']",,2004-01-01 00:00:00,"["" 'Let Them Eat War']"", "" 'The Surface Of Me'"", ""['Los Angeles Is Burning'""]",Los Angeles Is Burning,discogs_28807,171.0,Rock,Bad Religion,Europe
lastFM_7844,"['lastFM_7844', 'k04__fab__discogs__lastFM_7844', 'mbrainz_3773']",,1997-02-11 00:00:00,"[' ""Can\'t Explain""', "" 'A House Is Not A Motel'"", "" 'A House Is Not a Motel'"", "" 'A Message to Pretty'"", "" 'Alone Again'"", "" 'And More Again'"", "" 'And More'"", "" 'Andmoreagain'"", "" 'Arthur Lee Interview-Love Origins']"", "" 'August'"", "" 'August']"", "" 'Hey Joe'"", "" 'Laughing Stock'"", "" 'Live and Let Live'"", "" 'No. 14'"", "" 'Old Man'"", "" 'Orange Skies'"", "" 'Que Vida'"", "" 'Seven And Seven'"", "" 'She Comes In Colours'"", "" 'Signed D. C.'"", "" 'Signed D.C.'"", "" 'Softly to Me'"", "" 'Stephanie Knows Who'"", "" 'The Castle'"", "" 'The Daily Planet'"", "" 'Your Mind And We Belong Together'"", "" 'Â¡Que Vida!'"", '[""Can\'t Explain""', ""['My Little Red Book'""]",Comes in Colours,lastFM_7844,1064.0,,Love,United States of America
mbrainz_22222,"['mbrainz_22222', 'k04__fab__lastfm__discogs_21701', 'discogs_21701']",Nuclear Blast,2002-04-22 00:00:00,"["" 'Kill With Power (live)'"", "" 'Kill With Power'"", "" 'Nessun Dorma (live)']"", "" 'Nessun Dorma']"", ""['Warriors Of The World United'"", ""['Warriors of the World United'""]",Warriors Of The World United (Pt. 2),mbrainz_22222,280.0,Rock,Manowar,Germany
lastFM_57781,"['lastFM_57781', 'discogs_72469', 'mbrainz_15331']",Verve Records,1990-01-01 00:00:00,"[' ""(You\'re My) Soul And Inspiration""', ' ""(You\'re My) Soul and Inspiration""', ' ""Hold On I\'m Comin\'""', ' ""What\'d I Say""]', "" 'Drown In My Own Tears'"", "" 'Ebb Tide'"", "" 'Go Ahead And Cry'"", "" 'Go Ahead and Cry'"", "" 'Go Ahead and Dry'"", "" 'Harlem Shuffle'"", "" 'He'"", "" 'Hung On You'"", "" 'Hung on You'"", "" 'I Just Want To Make Love To You'"", "" 'In The Midnight Hour'"", "" 'Just Once In My Life'"", "" 'Just Once in My Life'"", "" 'Little Latin Lupe Lu'"", "" 'Mine All Mine'"", "" 'On This Side Of Goodbye']"", "" 'On This Side of Goodbye']"", "" 'See That Girl'"", "" 'So Many Lonely Nights Ahead'"", "" 'Soul And Inspiration'"", "" 'The Angels Listen In'"", "" 'The White Cliffs Of Dover'"", "" 'The White Cliffs of Dover'"", "" 'Unchained Melody'"", '[""You\'ve Lost That Lovin\' Feelin\'""']",The Very Best Of The Righteous Brothers: Unchained Melody,lastFM_57781,1748.0,Pop,"Righteous Brothers, The",Canada
k04__fab__discogs__lastFM_50826,"['k04__fab__discogs__lastFM_50826', 'mbrainz_20177', 'lastFM_50826']",,2009-10-26 00:00:00,"["" 'All the Colors (Picture Perfect)'"", "" 'Brand New Day'"", "" 'Come So Far'"", "" 'Maybe'"", "" 'Millionaires'"", "" 'New Guitar'"", "" 'Raining Again'"", "" 'Tell Me'"", "" 'The Trouble With Flying'"", "" 'Tomorrow'"", "" 'Too'"", "" 'Very Very (Snow In June)']"", "" 'Very Very (Snow in June)']"", ""['Treasure Map'""]",The Trouble With Flying,k04__fab__discogs__lastFM_50826,494.0,,Orba Squara,United States of America
lastFM_13219,"['lastFM_13219', 'discogs_576', 'mbrainz_196']",ZYX Music,1992-01-01 00:00:00,"["" 'Contrast'"", "" 'Delight (instrumental)'"", "" 'Delight'"", "" 'Delight']"", "" 'Desire'"", "" 'Eternally Yours'"", "" 'Eternally Yours']"", "" 'Get Ready for This (Rio & Le Jean remix) (instrumental)'"", "" 'Get Ready for This (vocal version)'"", "" 'Pacific Walk'"", "" 'Rougher Than The Average'"", "" 'Rougher Than the Average (instrumental)'"", "" 'Rougher Than the Average'"", "" 'The Magic Friend (instrumental)'"", "" 'The Magic Friend'"", "" 'Twilight Zone (7â€³ vocal)'"", "" 'Twilight Zone (Rave Version edit)'"", "" 'Twilight Zone (instrumental)'"", "" 'Twilight Zone'"", "" 'Workaholic (instrumental)'"", "" 'Workaholic (instrumental)']"", "" 'Workaholic'"", ""['Get Ready For This'"", ""['Get Ready for This'"", ""['Twilight Zone (club mix)'""]",Get Ready!,lastFM_13219,1985.5,Electronic / Dance,2 Unlimited,Germany
lastFM_29353,"['lastFM_29353', 'mbrainz_13558']",,2010-09-15 00:00:00,"[' ""I Just Can\'t Breathe... MAKING MOVIE""]', ' ""I Just Can\'t Breathe... MUSIC VIDEO""', ' ""I Just Can\'t Breathe...""', "" 'BLACK DARK NIGHT'"", "" 'BLUE SUNRISE'"", "" 'Blue Daisy MAKING MOVIE'"", "" 'Blue Daisy MUSIC VIDEO'"", "" 'Blue Daisy'"", "" 'Break Free'"", "" 'Going Underground'"", "" 'I Just Canâ€™t Breatheâ€¦ MAKING MOVIE']"", "" 'I Just Canâ€™t Breatheâ€¦ MUSIC VIDEO'"", "" 'I Just Canâ€™t Breatheâ€¦'"", "" 'IÃ¢â‚¬â„¢m Sick Of This Place'"", "" 'Iâ€™m sick of this place'"", "" 'LIKE YESTERDAY MAKING MOVIE'"", "" 'LIKE YESTERDAY MUSIC VIDEO'"", "" 'LIKE YESTERDAY'"", "" 'Song 2'"", "" 'Spring Gate'"", "" 'Talk to me'"", "" 'WHIRLWIND'"", ""['BLACKOUT'""]",BLACKOUT,lastFM_29353,3182.5,,"brilliant green, the",Japan
mbrainz_19853,"['mbrainz_19853', 'discogs_110986', 'lastFM_49910']",Malignant Records,2013-09-06 00:00:00,"["" 'Angels Upon Iron Horses'"", "" 'Blood Eagle Zealot'"", "" 'Controlled Atmosphere Killing'"", "" 'Decrepitude Approaching'"", "" 'Mancuerda'"", "" 'The Confessional'"", "" 'This Is Paradise']"", "" 'Understand The Extent Of Our Disintegration'"", "" 'Understand the Extent of Our Disintegration'"", ""['Paroxysm'""]",Mancuerda Confessions,mbrainz_19853,72.0,Electronic / Dance,Shock Frontier,United States of America
mbrainz_7144,"['mbrainz_7144', 'discogs_31879', 'lastFM_15206']",Abstract Sounds,1991-01-01 00:00:00,"[' ""(So) What For The 80\'s""', ' ""(So) What for the 80\'s""', ' ""Tomorrow\'s Soldier""', "" '(So) What For The Eighties'"", "" 'Darkest Hour'"", "" 'Faceless Men']"", "" 'Humane'"", "" 'Latex Love'"", "" 'Living On Dreams'"", "" 'Living on Dreams'"", "" 'Out Of Reach'"", "" 'Out of Reach'"", "" 'Resurrection'"", "" 'Rock And Roll Massacre'"", "" 'Rock n Roll Massacre'"", "" 'Scarred For Life'"", "" 'Scarred for Life'"", "" 'Stand Strong"", "" 'Stand Strong Stand Proud'"", "" 'Sterile'"", "" 'Upright Citizen'"", "" 'Young Blood'"", "" Stand Proud'"", ""['Last Rockers'""]",Last Rockers: The Singles,mbrainz_7144,2516.0,Rock,Vice Squad,United Kingdom of Great Britain and Northern Ireland
