case,source_dataset,source_column,target_dataset,target_column,score,notes,source_file
papers-augmented-medium,crossref,id,Scholarly Paper,id,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,type,Scholarly Paper,type,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,title,Scholarly Paper,title,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,authors,Scholarly Paper,authors,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,publication_year,Scholarly Paper,publication_year,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,journal,Scholarly Paper,journal,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,volume,Scholarly Paper,volume,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,issue,Scholarly Paper,issue,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,first_page,Scholarly Paper,first_page,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,last_page,Scholarly Paper,last_page,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,referenced_works_count,Scholarly Paper,referenced_works_count,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,crossref,cited_by_count,Scholarly Paper,cited_by_count,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/crossref_mapping.csv
papers-augmented-medium,dblp,id,Scholarly Paper,id,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/dblp_mapping.csv
papers-augmented-medium,dblp,typ,Scholarly Paper,type,0.95,llm_based_matching,DI-Bench/runs/augmented/papers/medium/schema_matching/mappings/dblp_mapping.csv
