id_dblp,id_crossref,label
dblp-54140,crossref-59793,0
dblp-51219,crossref-04805,1
dblp-30139,crossref-10649,0
dblp-30159,crossref-36921,0
dblp-53141,crossref-00196,0
dblp-33033,crossref-20556,0
dblp-55967,crossref-35872,0
dblp-39173,crossref-34991,0
dblp-58253,crossref-60357,0
dblp-53140,crossref-41239,0
dblp-18576,crossref-48108,0
dblp-58798,crossref-06346,0
dblp-39787,crossref-46020,0
dblp-21315,crossref-21557,0
dblp-07499,crossref-37799,1
dblp-01259,crossref-11583,0
dblp-36567,crossref-51499,0
dblp-60387,crossref-42611,0
dblp-01945,crossref-06424,0
dblp-31014,crossref-46299,0
dblp-08322,crossref-07356,0
dblp-46563,crossref-52106,0
dblp-47007,crossref-45788,1
dblp-05982,crossref-00194,1
dblp-46544,crossref-37779,1
dblp-09580,crossref-52211,0
dblp-32915,crossref-51770,0
dblp-22103,crossref-20979,0
dblp-31619,crossref-43771,0
dblp-39639,crossref-45805,0
dblp-54463,crossref-44607,0
dblp-44487,crossref-25977,1
dblp-01672,crossref-04401,0
dblp-58324,crossref-10311,1
dblp-18779,crossref-25073,1
dblp-07080,crossref-49876,1
dblp-28796,crossref-47699,0
dblp-26808,crossref-53631,0
dblp-24269,crossref-47008,0
dblp-39007,crossref-49287,0
dblp-29773,crossref-45044,1
dblp-50543,crossref-00310,0
dblp-06537,crossref-00657,0
dblp-42824,crossref-46594,0
dblp-01494,crossref-04466,0
dblp-24696,crossref-19020,0
dblp-15243,crossref-36605,1
dblp-46869,crossref-56756,0
dblp-52653,crossref-59667,0
dblp-57933,crossref-18368,0
dblp-37254,crossref-38527,0
dblp-01290,crossref-47501,1
dblp-33960,crossref-37852,0
dblp-30947,crossref-47247,0
dblp-14883,crossref-43816,0
dblp-36889,crossref-43098,0
dblp-29350,crossref-24526,0
dblp-18832,crossref-25187,1
dblp-40608,crossref-41527,0
dblp-48696,crossref-02406,1
dblp-40946,crossref-36563,0
dblp-30245,crossref-50788,0
dblp-55828,crossref-00333,0
dblp-16807,crossref-45288,0
dblp-16993,crossref-09933,0
dblp-36119,crossref-33483,1
dblp-06255,crossref-60699,0
dblp-01918,crossref-00475,0
dblp-42027,crossref-14052,1
dblp-52988,crossref-42852,0
dblp-42209,crossref-15170,0
dblp-06120,crossref-53379,0
dblp-41390,crossref-48917,1
dblp-17811,crossref-20020,0
dblp-56213,crossref-57845,0
dblp-22877,crossref-29501,0
dblp-15473,crossref-04937,0
dblp-40259,crossref-28448,1
dblp-44749,crossref-35359,1
dblp-21572,crossref-57665,0
dblp-31584,crossref-16074,0
dblp-24075,crossref-54911,0
dblp-58362,crossref-25332,0
dblp-11299,crossref-46381,0
dblp-08810,crossref-36785,1
dblp-31563,crossref-24319,0
dblp-52963,crossref-42735,0
dblp-05778,crossref-38618,0
dblp-08755,crossref-31847,0
dblp-19117,crossref-27010,0
dblp-60198,crossref-55853,0
dblp-24505,crossref-46758,0
dblp-30941,crossref-33090,1
dblp-43048,crossref-37673,0
dblp-31937,crossref-49327,1
dblp-42479,crossref-43134,0
dblp-49232,crossref-26610,1
dblp-54452,crossref-34662,0
dblp-60322,crossref-08189,0
dblp-57064,crossref-31903,1
dblp-30922,crossref-42419,0
dblp-31915,crossref-32702,0
dblp-28168,crossref-22154,0
dblp-17972,crossref-57888,0
dblp-26981,crossref-54149,0
dblp-55982,crossref-34859,0
dblp-29160,crossref-31974,0
dblp-45387,crossref-59158,0
dblp-46640,crossref-15269,0
dblp-00204,crossref-23133,0
dblp-32996,crossref-56030,1
dblp-23137,crossref-26948,0
dblp-18775,crossref-44040,0
dblp-40098,crossref-04724,0
dblp-14264,crossref-25281,0
dblp-02640,crossref-05336,1
dblp-18151,crossref-17872,1
dblp-27682,crossref-18106,1
dblp-09266,crossref-33379,0
dblp-37966,crossref-47765,0
dblp-55544,crossref-14600,0
dblp-25445,crossref-13504,0
dblp-57579,crossref-26115,1
dblp-20366,crossref-43458,1
dblp-57190,crossref-00233,0
dblp-40912,crossref-32206,1
dblp-26826,crossref-10178,0
dblp-15575,crossref-28642,1
dblp-31529,crossref-57989,1
dblp-58632,crossref-59478,0
dblp-09087,crossref-18153,0
dblp-00811,crossref-13094,0
dblp-03244,crossref-43276,0
dblp-30196,crossref-18772,0
dblp-09412,crossref-12939,0
dblp-56231,crossref-18536,0
dblp-26931,crossref-30493,0
dblp-55870,crossref-36817,0
dblp-47750,crossref-00239,0
dblp-15081,crossref-04335,0
dblp-40791,crossref-23587,0
dblp-16902,crossref-38645,0
dblp-30606,crossref-02357,0
dblp-14757,crossref-00480,0
dblp-00380,crossref-00915,1
dblp-10368,crossref-33051,1
dblp-04869,crossref-45576,0
dblp-35792,crossref-53717,0
dblp-29871,crossref-56839,0
dblp-43749,crossref-34067,0
dblp-23837,crossref-16483,0
dblp-07365,crossref-42118,0
dblp-05634,crossref-36590,1
dblp-00677,crossref-18444,0
dblp-41681,crossref-45132,1
dblp-28237,crossref-59433,0
dblp-13420,crossref-45277,0
dblp-17018,crossref-45413,0
dblp-02166,crossref-18468,0
dblp-44489,crossref-54548,0
dblp-47601,crossref-16313,0
dblp-06223,crossref-50570,0
dblp-13459,crossref-42286,1
dblp-11813,crossref-14729,0
dblp-51042,crossref-36815,0
dblp-10155,crossref-16169,1
dblp-02829,crossref-51475,0
dblp-03730,crossref-06129,0
dblp-18749,crossref-09902,1
dblp-33643,crossref-32155,0
dblp-18633,crossref-56324,0
dblp-23425,crossref-25779,0
dblp-28049,crossref-12167,1
dblp-14546,crossref-05274,0
dblp-48472,crossref-34277,0
dblp-54203,crossref-27238,0
dblp-22425,crossref-52163,0
dblp-18173,crossref-41159,0
dblp-47509,crossref-11057,1
dblp-04051,crossref-45357,0
dblp-42827,crossref-58653,1
dblp-43873,crossref-17329,0
dblp-54927,crossref-30359,0
dblp-56773,crossref-35314,0
dblp-54440,crossref-47209,0
dblp-53563,crossref-46447,0
dblp-01097,crossref-52443,0
dblp-41451,crossref-28280,0
dblp-12024,crossref-30167,0
dblp-20391,crossref-55416,1
dblp-29659,crossref-36716,0
dblp-04336,crossref-53607,0
dblp-50933,crossref-56968,1
dblp-01904,crossref-30647,0
dblp-57330,crossref-12592,0
dblp-36589,crossref-01028,0
dblp-22600,crossref-12705,0
dblp-51697,crossref-45309,0
dblp-11293,crossref-00098,0
dblp-56157,crossref-48652,1
dblp-19944,crossref-44441,0
dblp-04717,crossref-01514,0
dblp-57798,crossref-41067,0
dblp-34519,crossref-41165,0
dblp-41593,crossref-16233,0
dblp-16543,crossref-13868,0
dblp-19286,crossref-17763,1
dblp-49765,crossref-37352,1
dblp-51617,crossref-55798,0
dblp-13475,crossref-22417,0
dblp-41414,crossref-21613,1
dblp-32660,crossref-15027,0
dblp-07337,crossref-48579,0
dblp-02761,crossref-05223,1
dblp-00871,crossref-49952,0
dblp-59737,crossref-19939,1
dblp-04128,crossref-05231,0
dblp-12235,crossref-36278,1
dblp-36612,crossref-50259,0
dblp-21227,crossref-34236,0
dblp-19148,crossref-36781,0
dblp-40946,crossref-43953,1
dblp-46533,crossref-07795,0
dblp-55300,crossref-42434,0
dblp-34843,crossref-32338,0
dblp-21877,crossref-50922,1
dblp-55287,crossref-33945,0
dblp-51914,crossref-54053,1
dblp-57532,crossref-50056,0
dblp-37764,crossref-21654,0
dblp-10342,crossref-26689,0
dblp-19397,crossref-20494,0
dblp-05613,crossref-02764,0
dblp-06809,crossref-18652,1
dblp-56095,crossref-14966,1
dblp-29618,crossref-01446,0
dblp-23654,crossref-46791,0
dblp-15054,crossref-41725,1
dblp-32738,crossref-40568,0
dblp-01330,crossref-14703,0
