silver_cluster_id,pipe_cluster_id,title,brand,description,price,priceCurrency,product_type,model,model_number,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,width_mm,length_mm,height_mm,weight_g,storage_connection_type,memory_type,color,form_factor,title_description,n_attributes_correct,fully_correct
products_1_10070749,products_1_10070749,False,True,False,False,False,True,False,False,True,True,,,,True,,,,,,,True,,,False,6,False
products_1_10126197,products_1_24025819,False,True,False,False,False,True,False,False,False,True,,,,False,,,,,,,False,True,,False,4,False
products_1_10164790,products_1_93115467,False,True,False,False,True,True,False,,False,False,,,,True,,,,,,,True,,,False,5,False
products_1_1022732,products_1_6850120,False,True,False,False,False,True,False,False,,,True,True,True,True,True,,,True,,True,,,True,False,10,False
products_1_10313129,products_1_10313129,False,True,True,False,False,True,False,True,,,False,False,,True,False,,,,,False,,True,False,True,7,False
products_1_10328354,products_1_10328354,False,True,True,True,True,True,False,True,True,True,,,,True,,,,,,,True,,,True,11,False
products_1_10433444,products_1_3980193,False,True,False,False,False,True,True,False,,,False,,,True,True,,,,,True,,,True,False,7,False
products_1_1051429,products_1_1051429,False,True,False,True,True,True,False,False,,,False,True,False,True,True,,,,,True,False,,True,False,9,False
products_1_10524439,products_2_21120495,False,True,False,False,False,True,True,False,,,True,True,True,True,True,,,,,True,,True,True,False,11,False
products_1_10549314,products_1_10524439,False,True,False,False,True,True,False,True,,,True,True,True,False,False,True,True,True,True,True,,False,True,False,13,False
products_1_10565065,products_1_12612826,False,True,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False,False,False,,False,False,False,2,False
products_1_10638808,products_1_25573702,False,True,False,False,False,True,False,True,,,True,False,False,False,False,,,,,False,False,False,False,False,4,False
products_1_10678822,products_1_10678822,False,True,True,True,True,True,True,False,,,False,True,,True,False,,,,,,,False,,True,9,False
products_1_10781098,products_1_10781098,True,True,False,True,True,True,False,True,True,False,,,,True,,,,,,,True,True,,False,10,False
products_1_1080849,products_1_70026799,False,True,False,False,True,True,False,False,,,True,False,False,True,True,,,,,True,,False,,False,7,False
products_1_10827123,products_1_10827123,False,True,True,True,True,True,False,True,,,True,True,False,True,False,,,,,False,,True,,True,11,False
products_1_10861890,products_1_10861890,False,True,True,True,True,True,True,,,,False,,,True,False,,,,,,,False,,True,8,False
products_1_1088849,products_1_1088849,True,True,False,True,True,True,True,True,,,False,False,False,True,True,True,True,True,True,True,,,True,False,15,False
products_1_10892042,products_3_86362376,False,True,False,False,False,True,False,True,,,False,False,False,False,False,,,,,False,,,False,False,3,False
products_1_10958685,products_1_10958685,False,True,True,True,True,True,False,True,,,False,,,True,True,,,,,True,,,True,True,11,False
products_1_10966509,products_1_10966509,True,True,True,True,True,True,False,False,,,True,True,True,True,True,,,,False,True,,,True,True,14,False
products_1_111371,products_1_15715443,False,True,False,False,False,True,False,False,False,False,,,,False,,,,,,,True,,,False,3,False
products_1_11181317,products_1_13600999,False,True,False,False,False,True,False,False,,,False,False,,True,True,False,False,False,False,,,True,,False,5,False
products_1_11232418,products_1_8167070,False,False,False,False,False,True,True,False,,,False,,,True,True,,,,,False,,,True,False,5,False
products_1_1161397,products_1_22682562,False,True,False,False,False,True,False,True,,,True,True,True,True,True,,,,,True,False,,True,False,10,False
products_1_11701616,products_1_35966001,False,True,False,False,False,True,False,False,,,True,True,True,False,True,,,True,,True,,False,True,False,9,False
products_1_11746366,products_3_2140760,False,True,False,False,False,True,True,,,,False,,,True,True,False,,False,,False,,,True,False,6,False
products_1_11774092,products_1_11774092,False,True,False,True,True,True,False,False,,,False,False,False,True,True,,,,,True,,,True,False,8,False
products_1_12049659,products_1_12049659,False,True,True,True,True,True,False,,,,True,,,True,True,,,,,False,,,,True,9,False
products_1_12081605,products_1_12081605,True,True,False,True,True,True,True,,,,True,True,True,True,,,,,,,,True,,False,11,False
products_1_12120697,products_1_12120697,False,True,False,True,True,True,False,False,,,True,,,True,True,,,,,True,,,True,False,9,False
products_1_1213105,products_1_1213105,True,True,False,True,True,True,False,False,,,False,False,False,True,,,,,,,,False,,False,6,False
products_1_12198483,products_1_27830267,False,True,False,False,False,True,False,False,False,False,,,,True,,,,,,,False,,,False,3,False
products_1_12416419,products_1_12416419,False,True,False,True,True,True,True,False,,,True,,,True,True,False,,False,True,False,,True,True,False,11,False
products_1_12422845,products_1_12422845,False,True,True,True,True,True,False,True,,,False,,,True,True,,,,,True,,True,True,True,12,False
products_1_12423049,products_1_12423049,False,True,True,True,True,True,True,,,,False,False,True,True,True,,,True,,True,True,,True,False,13,False
products_1_12424905,products_1_21683669,False,True,False,False,False,True,False,False,,,False,,,,,,,,,,,False,,False,2,False
products_1_12462933,products_1_12462933,False,True,True,True,True,True,False,True,,,False,,,True,True,True,True,True,,False,,,True,True,13,False
products_1_1252810,products_1_1252810,False,True,True,True,True,True,False,,,,True,,,True,True,,,,,True,,True,,False,10,False
products_1_12549119,products_1_12549119,False,True,False,True,True,True,False,False,,,True,,,True,True,,,False,,True,,,True,False,9,False
products_1_12612826,products_1_12612826,False,True,False,True,True,True,False,True,,,True,,,True,True,,,,,False,,True,False,False,9,False
products_1_12663602,products_1_12663602,True,True,True,True,True,True,True,False,True,True,,,,False,,,,,,,True,,,True,11,False
products_1_12704821,products_1_12704821,True,True,True,True,True,True,True,True,True,True,,,,False,,,,,,,True,True,,True,13,False
products_1_1297085,products_1_50240914,False,True,False,False,True,True,False,,False,True,,,,,,,,,,,True,,,False,5,False
products_1_1297284,products_1_1297284,False,True,True,True,True,True,False,True,True,False,,,,True,,,,,,,True,False,,True,10,False
products_1_13044456,products_1_13044456,True,True,False,True,True,True,True,False,,,False,True,True,True,True,True,True,True,True,True,,,True,False,16,False
products_1_13127008,products_1_13127008,False,True,False,False,False,True,False,True,,,False,False,False,True,True,,,,,True,,,True,False,7,False
products_1_13163468,products_1_13163468,False,True,True,True,True,True,True,False,,,False,,,True,True,,,,,,,,,True,9,False
products_1_1318007,products_1_1318007,True,True,False,True,True,True,True,True,True,True,,,,True,,,True,,,,True,,,False,12,False
products_1_13291546,products_1_51886539,False,True,False,False,True,True,False,False,,,True,True,,True,True,,,,,True,,,True,False,9,False
products_1_13342237,products_1_13342237,False,True,False,True,True,True,False,True,,,True,,,True,True,,,,,False,,,True,False,9,False
products_1_13413666,products_1_10006478,False,True,False,False,False,True,False,False,,,False,True,False,True,True,,,,,True,,,True,False,7,False
products_1_1352033,products_1_2115771,False,True,False,False,False,True,False,True,False,False,,,,,,,,,,,False,,,False,3,False
products_1_13600999,products_1_10678822,False,True,False,False,False,True,False,False,,,True,False,,True,False,,,,,False,,False,,False,4,False
products_1_13661943,products_1_13661943,False,True,False,True,True,True,False,True,,,False,,,True,True,,,False,,False,,,False,False,7,False
