column,type,metric,value,silver_value,pipe_value
brand,categorical,column_drift,0.013211831820703963,,
brand,categorical,js_divergence,0.013211831820703963,,
brand,categorical,nan_rate_delta,0.010732927607585704,0.0013020833333333333,0.012035010940919038
brand,categorical,cardinality_delta,7.0,39.0,46.0
bus_type,categorical,column_drift,0.002106767037626435,,
bus_type,categorical,js_divergence,0.002106767037626435,,
bus_type,categorical,nan_rate_delta,0.023409008023340623,0.052083333333333336,0.07549234135667396
bus_type,categorical,cardinality_delta,0.0,17.0,17.0
chipset_name,text,column_drift,0.014766691696677221,,
chipset_name,text,length_wasserstein_1,0.06315419740077287,,
chipset_name,text,token_js_divergence,0.004812391147942812,,
chipset_name,text,nan_rate_delta,0.0006923550328227224,0.71484375,0.7155361050328227
chipset_name,text,cardinality_delta,5.0,35.0,40.0
color,categorical,column_drift,0.11815480398754094,,
color,categorical,js_divergence,0.11815480398754094,,
color,categorical,nan_rate_delta,0.06201563639679075,0.7213541666666666,0.7833698030634574
color,categorical,cardinality_delta,1.0,73.0,74.0
description,text,column_drift,0.7019391189589204,,
description,text,length_wasserstein_1,298.2078418003018,,
description,text,token_js_divergence,0.07543295363248297,,
description,text,nan_rate_delta,-0.0013020833333333333,0.0013020833333333333,0.0
description,text,cardinality_delta,151.0,745.0,896.0
form_factor,categorical,column_drift,0.00590029095080721,,
form_factor,categorical,js_divergence,0.00590029095080721,,
form_factor,categorical,nan_rate_delta,0.05654232768052514,0.37890625,0.43544857768052514
form_factor,categorical,cardinality_delta,4.0,14.0,18.0
height_mm,numerical,column_drift,0.006488501979232893,,
height_mm,numerical,wasserstein_1,2.373799462159047,,
height_mm,numerical,ks_statistic,0.02713215520553208,,
height_mm,numerical,nan_rate_delta,0.012083447301239891,0.8216145833333334,0.8336980306345733
height_mm,numerical,cardinality_delta,1.0,61.0,62.0
interface_type,categorical,column_drift,0.012511586419216184,,
interface_type,categorical,js_divergence,0.012511586419216184,,
interface_type,categorical,nan_rate_delta,0.06195010485047414,0.3450520833333333,0.40700218818380746
interface_type,categorical,cardinality_delta,5.0,31.0,36.0
length_mm,numerical,column_drift,0.010734899045147687,,
length_mm,numerical,wasserstein_1,1.9077862068965505,,
length_mm,numerical,ks_statistic,0.018344827586206897,,
length_mm,numerical,nan_rate_delta,0.014280178701677526,0.8489583333333334,0.8632385120350109
length_mm,numerical,cardinality_delta,4.0,65.0,69.0
memory_type,categorical,column_drift,0.033035823105951975,,
memory_type,categorical,js_divergence,0.033035823105951975,,
