Blocking Key Value,Frequency
monster,29812
warriors,19434
madden,13910
clancy's,13780
fantasy,10881
ultimate,10250
dragon,9660
championship,9576
football,9231
evolution,8601
adventures,8056
wrestling,7500
baseball,7398
fighter,6825
revolution,6413
chronicles,5920
adventure,5848
collection,5671
assassin's,5611
world,5162
live,4440
fighters,4125
challenge,3604
tiger,3542
spider,3277
nhl,3276
legend,2880
dance,2737
soccer,2520
legends,2418
fifa,2366
batman,2322
experience,2268
super,2130
nascar,2112
racing,2025
disney's,2016
heroes,1872
sims,1752
castlevania,1660
marvel,1640
thunder,1560
simcity,1540
street,1508
origins,1404
samurai,1395
skylanders,1392
resident,1368
unleashed,1280
donkey,1253
infinity,1242
mega,1197
wolfenstein,1197
squarepants,1095
fishing,1060
tournament,1050
metal,999
grand,994
warhammer,975
worms,972
carbon,963
transformers,957
international,954
pinball,931
anniversary,924
destruction,918
assault,885
potter,882
battlefield,858
underground,851
mortal,840
destiny,804
guitar,792
attorney,768
monsters,767
bomberman,747
mario,720
sports,700
terraria,686
tropico,658
shrek,616
commander,612
bejeweled,594
simulator,588
tennis,585
blitz,580
ghostbusters,576
shadows,552
kingdoms,550
darkness,539
stranger's,537
terminator,530
advance,528
speed,525
operation,510
warrior,506
civilization,469
rally,468
rabbids,462
teenage,460
caribbean,456
black,450
madness,448
blob,438
show,437
digimon,435
dungeon,432
dragon's,425
angry,424
dimensions,423
armageddon,407
shippuden,406
driver,405
project,405
online,402
virtua,396
kingdom,396
space,396
tetris,392
final,392
memories,392
conflict,392
trilogy,390
brunswick,381
silent,378
fight,375
motogp,375
zombies,374
armored,351
videogame,350
borderlands,348
power,344
alone,344
medieval,336
baldur's,336
syberia,335
sniper,333
battle,330
shadow,329
earthworm,324
complete,324
madagascar,320
princess,318
colin,315
resurrection,315
harvest,310
doom,308
ninja,306
return,306
gauntlet,305
persona,300
smackdown,299
basketball,297
champions,290
nightfire,288
nightmare,280
twilight,280
agarest,279
nba,279
francisco,276
rayman,275
raider,275
dangerous,273
forgotten,270
warfare,270
academy,270
fallout,261
pursuit,261
simpsons,260
wanted,260
darksiders,259
extreme,259
eternal,256
scribblenauts,246
jurassic,245
midnight,242
thrones,240
blood,240
devil,240
hawk's,240
prince,234
warfighter,234
battlefront,230
freestyle,230
gaiden,230
sonic,228
airbender,228
quake,226
machines,225
mobile,225
tycoon,225
guilty,224
combat,224
rising,224
lemmings,221
rumble,220
autosport,219
undercover,217
warcraft,216
paradise,216
bioshock,216
unlimited,216
brotherhood,210
far,210
empire,210
dimension,208
forever,204
mission,203
metroid,200
hedgehog,200
soulcalibur,198
anthology,198
quantum,198
universe,198
expedition,196
professor,196
saints,192
shining,190
escape,187
story,184
defense,184
superstars,184
secret,184
classic,180
official,180
frogger,180
effect,180
fantastic,180
rugby,180
gradius,176
hero,175
deathly,171
showdown,168
hatsune,168
chaos,166
sandiego,165
rings,162
cabela's,162
monkey,161
nicktoons,160
command,160
snowboarding,160
brothers,156
scrolls,155
second,154
spin,154
overlord,153
2002,150
planet,150
incredible,150
bandicoot,147
crisis,144
episode,140
control,140
mania,140
bard's,138
skate,136
matrix,135
fighting,135
bloodrayne,135
summoner,135
wonderful,135
chamber,135
slugfest,135
rock,132
maker,132
soldier,132
defender,132
league,130
carnival,128
phoenix,128
continuum,126
island,126
stars,126
fever,126
phantasy,126
diablo,125
special,124
invaders,124
isolation,123
burnout,121
onimusha,120
journey,120
advanced,120
serious,120
american,120
lost,120
guardians,120
crossing,120
robocop,119
alive,119
beyond,117
commando,117
alliance,117
mafia,117
portal,116
dragoon,116
wasteland,115
yakuza,115
sherlock,115
creatures,114
asphalt,114
odyssey,114
mutant,114
theme,113
awakening,111
cobra,110
encounter,110
rangers,110
underworld,110
conspiracy,110
revelations,110
shattered,110
blazblue,108
nukem,105
call,104
revenge,104
edition,104
master,102
supercross,102
victory,100
college,100
racers,100
series,100
flatout,100
republic,100
death,99
bigs,99
treasures,99
legendary,98
tekken,98
saiyuki,96
trine,96
commandos,96
frontier,96
dirt,96
goldeneye,96
phantom,96
attack,96
tour,96
golden,95
mighty,93
house,93
arcana,93
oddworld,92
worlds,92
strange,92
knights,92
amazing,91
vampire,90
puzzle,90
truckers,90
peggle,90
apocalypse,90
wolverine,90
panda,90
treasure,88
original,88
chicken,88
wizardry,87
bubble,87
ninjas,85
outlaw,84
digital,84
blades,84
littlebigplanet,84
brain,84
rights,84
clone,84
faction,84
prisoner,84
trials,81
mysims,81
retribution,80
generation,80
titans,80
hitman,80
meltdown,80
ground,80
party,80
dreams,80
generations,80
neverwinter,78
monopoly,78
crimson,78
impossible,78
untamed,78
conquest,78
naruto,78
disney,77
bionicle,77
myst,76
unfortunate,75
pixeljunk,75
valkyrie,75
track,72
drive,72
watch,72
emergency,72
classics,72
barnyard,70
sturmovik,70
star,70
ridge,70
payne,70
fitness,70
deception,70
shinobi,68
survival,68
raiden,67
microsoft,66
returns,66
payday,66
bounty,66
cars,66
hobbit,66
vengeance,64
castaway,64
season,64
xtreme,64
friends,63
guardian,63
dark,63
looney,63
eternity,63
cause,63
legacy,62
strider,61
robots,60
surf's,60
fantasia,60
risen,60
infinite,60
wolverine's,60
godfather,60
stuntman,60
detective,60
excitebike,59
puyo,59
hamtaro,58
settlers,57
captain,57
heavy,56
prototype,56
pacific,56
channel,56
remastered,56
fable,56
starcraft,56
slater's,56
empires,56
astro,55
riders,55
delta,54
wakeboarding,54
wrestlemania,54
turismo,54
stronghold,52
don't,52
suikoden,52
movie,52
lightning,51
enders,51
danganronpa,51
dying,51
pac,50
gameday,50
toshinden,50
country,50
outcast,49
wipeout,49
flashpoint,49
ssx,49
hoffman's,48
driller,48
unwritten,48
contra,48
child,48
singstar,48
mystery,48
fallen,48
incredibles,48
factory,48
capcom,48
inside,48
sacred,48
champion,46
serpent's,46
shikigami,46
grandia,45
rocket,45
sengoku,45
grid,45
triple,45
superchargers,45
game,45
trackmania,45
gears,45
alchemists,45
starfighter,44
mickey,44
leisure,44
alan,44
horizon,44
chocolate,44
yoshi's,42
labyrinth,42
viewtiful,42
nobunaga's,42
devil's,42
2k14,42
hominid,42
hedge,42
undisputed,42
director's,42
mirror's,42
alien,41
2k10,40
hitz,40
magic,40
judgment,40
superslam,40
future,40
tactics,40
uprising,40
africa,40
dishonored,40
cooking,40
bully,40
rivals,40
strikers,40
killer,40
marvel's,40
shark,40
squadrons,40
galaxy,39
force,39
south,39
pikmin,39
supremacy,39
bustin',39
total,38
little,38
quarterback,38
alchemist,38
ghouls,37
electronic,37
pirate's,36
2k13,36
forsaken,36
godzilla,36
predator,36
battlestations,36
nightmares,36
explorer,36
trigger,36
dinosaurs,36
skateboarding,36
seasons,36
battlezone,36
2k16,36
liberty,36
streets,36
volleyball,36
beginning,36
motorstorm,36
urbz,36
offroad,35
crash,35
knockout,35
james,35
portable,35
hunter,35
uncharted,35
shootout,35
timesplitters,35
mansion,34
fortress,34
hollywood,34
trip,33
hours,33
squadron,33
injustice,33
deathsmiles,33
brandish,33
disgaea,33
toukiden,33
metro,33
within,33
architect,32
half,32
playstation,32
reflex,32
juarez,32
without,32
everything,32
gravity,32
band,32
budokai,30
manhunt,30
destroy,30
vietcong,30
assassins,30
mankind,30
ghosts,30
pirates,30
kangaroo,30
crazy,30
airborne,30
awakens,30
wheels,30
spartan,30
2k17,30
reckoning,30
vanguard,30
army,30
titanfall,30
luxor,29
divinity,28
left,28
magical,28
thrillville,28
velocity,28
witcher,28
counter,28
twisted,28
reign,28
manhunters,28
defenders,28
rollercoaster,28
steins,28
conflicts,28
katamari,28
wwe,28
bloody,27
tenchu,27
cities,27
justice,27
nintendo,27
wonders,27
shenmue,27
inquisition,27
vendetta,27
territory,27
dungeons,27
principle,26
wario,26
express,26
syndicate,26
reloaded,26
warioware,26
jungle,26
homeworld,26
boxing,25
megami,24
hoodlum,24
strike,24
skylines,24
airforce,24
blade,24
vanquish,24
ghost,24
hockey,24
blackgate,24
parallel,24
espn,24
carmageddon,24
suffering,24
lego,24
eragon,24
motorsport,24
battles,24
crime,24
bladestorm,24
masters,24
primal,24
company,24
demolition,23
vikings,23
temple,22
outrun,22
millennium,22
redemption,22
darkstalkers,22
advent,22
aggressive,21
america's,21
things,21
dokapon,21
history,21
arkanoid,21
rush,21
invasion,21
ballers,21
assassin,21
action,21
crusade,21
xcom,21
gladiator,21
judge,20
killing,20
2k11,20
stories,20
4x4,20
imperfects,20
trooper,20
coaster,20
ragnarok,20
brutal,20
remnant,20
striker,20
bowling,20
syphon,20
north,20
family,20
painkiller,20
green,20
aerosmith,20
create,20
sleeping,20
sarge's,20
2001,20
kinect,20
mercenaries,20
wild,20
putty,19
beatmania,19
among,19
kiwi,18
