_id,_fusion_sources,userScore,releaseYear,platform,developer,id,name,ESRB,series,criticScore,genres,globalSales,publisher
dbpedia_16653,"['dbpedia_16653', 'metacritic_9627']",7.5,2004-01-01 00:00:00,Arcade Cabinet,Arc System Works,dbpedia_16653,Guilty Gear Isuka,T,Guilty Gear,73.0,"Action,Fighting,2D",,
metacritic_19417,"['metacritic_19417', 'dbpedia_29651']",5.8,2004-01-01 00:00:00,Nintendo DS,Longtail Studios,metacritic_19417,Sprung,T,,48.0,"Simulation,Adventure,First-Person,Virtual,Modern,Modern,Virtual Life",,
dbpedia_29345,"['dbpedia_29345', 'sales_2991', 'metacritic_9400']",8.05,2004-01-01 00:00:00,Nintendo GameCube,Kuju Entertainment,dbpedia_29345,Call of Duty: Finest Hour,T,,74.0,"Action,Shooter,First-Person,Historic",0.0,Activision
metacritic_880,"['metacritic_880', 'dbpedia_36906']",8.4,2006-01-01 00:00:00,PlayStation Portable (PSP),Namco Bandai Games,metacritic_880,Tekken 5: Dark Resurrection,T,Tekken,88.0,"Action,Fighting,Fighting,3D,3D",,
metacritic_1278,"['metacritic_1278', 'dbpedia_33675']",8.4,2012-01-01 00:00:00,Linux / SteamOS,Creative Assembly,metacritic_1278,Total War: Shogun 2 - Fall of the Samurai,T,Total War (video game series),86.0,"Strategy,Turn-Based,Historic,General,Historic",,
dbpedia_27767,"['dbpedia_27767', 'metacritic_11743']",6.5,2011-01-01 00:00:00,PlayStation 3,Overkill Software,dbpedia_27767,Payday: The Heist,M,,70.0,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade",,
metacritic_1414,"['metacritic_1414', 'dbpedia_48613']",8.2,2012-01-01 00:00:00,Nintendo 3DS,Intelligent Systems,metacritic_1414,Crashmo,E,,86.0,"Miscellaneous,Puzzle,Action,Puzzle,Action",,
metacritic_3555,"['metacritic_3555', 'k04__fab__sales__dbpedia_63019', 'dbpedia_19061']",7.4,2018-01-01 00:00:00,PlayStation 4,"Fatshark AB,Fatshark",metacritic_3555,Warhammer: Vermintide 2,,,82.0,"Action,Shooter,First-Person,Arcade",,
metacritic_17514,"['metacritic_17514', 'dbpedia_8893']",6.2,2008-01-01 00:00:00,Nintendo DS,Gameloft,metacritic_17514,Assassin's Creed: Altair's Chronicles,T,,58.0,"Action Adventure,Historic,General,Historic",,
dbpedia_26861,"['dbpedia_26861', 'metacritic_921']",7.8,2001-01-01 00:00:00,Windows PC,Mythic Entertainment,dbpedia_26861,Dark Age of Camelot,T,,88.0,Massively multiplayer online role-playing game,,
metacritic_5310,"['metacritic_5310', 'dbpedia_34476']",8.6,2014-01-01 00:00:00,Windows PC,Ubisoft Montpellier,metacritic_5310,Valiant Hearts: The Great War,T,,79.0,"Platformer,2D,Action,Platformer,2D",,
sales_6172,"['sales_6172', 'dbpedia_13907', 'metacritic_11903']",6.15,2014-01-01 00:00:00,PlayStation 4,HB Studios Multimedia,sales_6172,The Golf Club,E,PGA Tour 2K,68.0,"Traditional,Sports,Individual,Golf,Sim",0.0,Unknown
metacritic_9050,"['metacritic_9050', 'dbpedia_18317']",7.9,2000-01-01 00:00:00,Windows PC,14 Degrees East,metacritic_9050,Star Trek: Klingon Academy,T,,74.0,"Simulation,Sci-Fi,Space,Large Spaceship,Large Spaceship,Civilian",,
metacritic_13083,"['metacritic_13083', 'dbpedia_13466']",7.0,2001-01-01 00:00:00,Windows PC,Canal+ Multimedia,metacritic_13083,Dracula 2: The Last Sanctuary,M,,68.0,"Adventure,First-Person,Point-and-Click,Modern,Fantasy,Modern",,
dbpedia_38434,"['dbpedia_38434', 'sales_5892']",,2009-01-01 00:00:00,PlayStation Portable (PSP),Blue Castle Games,dbpedia_38434,The BIGS 2,E10+,The Bigs,67.0,Sports game,0.0,Take-Two Interactive
dbpedia_505,"['dbpedia_505', 'k04__fab__sales__dbpedia_31739']",,2014-01-01 00:00:00,iOS (iPhone),VectorCell,dbpedia_505,Drawn to Life,,,,game video Platform,,
sales_6413,"['sales_6413', 'dbpedia_14803', 'metacritic_9238']",8.600000000000001,2004-01-01 00:00:00,PlayStation 2,Koei,sales_6413,Romance of the Three Kingdoms IX,E,Romance of the Three Kingdoms (video game series),74.0,"Strategy,Turn-Based,Historic",0.0,Tecmo Koei
k04__fab__sales__dbpedia_19657,"['k04__fab__sales__dbpedia_19657', 'metacritic_18442', 'dbpedia_1411']",6.4,2012-01-01 00:00:00,Nintendo 3DS,Tecmo Koei Games,k04__fab__sales__dbpedia_19657,Spirit Camera: The Cursed Memoir,T,,54.0,"Action Adventure,Horror,Horror,Survival",,
metacritic_18976,"['metacritic_18976', 'dbpedia_52737', 'sales_4796']",5.95,2009-01-01 00:00:00,Xbox 360,"Playlogic, The Game Factory",metacritic_18976,Fairytale Fights,M,,51.0,"Action,General,General,Platformer,3D",0.0,Playlogic Game Factory
