source_dataset,source_column,target_dataset,target_column,score
discogs,id,music,id,1.0
discogs,name,music,name,1.0
discogs,artist,music,artist,1.0
discogs,release-date,music,release-date,1.0
discogs,release-country,music,release-country,1.0
discogs,duration,music,duration,1.0
discogs,label,music,label,1.0
discogs,genre,music,genre,1.0
discogs,tracks,music,tracks,1.0
lastfm,id,music,id,1.0
lastfm,name,music,name,1.0
lastfm,artist,music,artist,1.0
lastfm,release-date,music,release-date,1.0
lastfm,release-country,music,release-country,1.0
lastfm,duration,music,duration,1.0
lastfm,label,music,label,1.0
lastfm,genre,music,genre,1.0
lastfm,tracks,music,tracks,1.0
musicbrainz,id,music,id,1.0
musicbrainz,name,music,name,1.0
musicbrainz,artist,music,artist,1.0
musicbrainz,release-date,music,release-date,1.0
musicbrainz,release-country,music,release-country,1.0
musicbrainz,duration,music,duration,1.0
musicbrainz,label,music,label,1.0
musicbrainz,genre,music,genre,1.0
musicbrainz,tracks,music,tracks,1.0
