id1,id2,source_1,source_2,score,in_gold,in_human,in_ditto,decision_path
fullcontact_1,http://dbpedia.org/resource/BBMG,dbpedia,fullcontact,0.9998698234558105,False,True,True,agreement
fullcontact_1009,http://dbpedia.org/resource/First_Calgary_Financial,dbpedia,fullcontact,0.9997826218605042,False,False,True,plm_check_llm_yes
fullcontact_102,http://dbpedia.org/resource/Apple_Inc.,dbpedia,fullcontact,0.9997742772102356,False,True,True,agreement
fullcontact_1033,http://dbpedia.org/resource/DCI_Group,dbpedia,fullcontact,0.9997574687004089,False,False,True,plm_check_llm_yes
fullcontact_106,http://dbpedia.org/resource/Areva,dbpedia,fullcontact,0.999871015548706,False,True,True,agreement
fullcontact_1078,http://dbpedia.org/resource/Hong_Kong_Exchanges_and_Clearing,dbpedia,fullcontact,0.9998123049736023,False,True,True,agreement
fullcontact_1089,http://dbpedia.org/resource/Integrated_Computer_Solutions,dbpedia,fullcontact,0.6373620629310608,False,True,True,agreement
fullcontact_1117,http://dbpedia.org/resource/Quest_Diagnostics,dbpedia,fullcontact,0.837047815322876,False,True,True,agreement
fullcontact_113,http://dbpedia.org/resource/Assurant,dbpedia,fullcontact,0.9997665286064148,False,True,True,agreement
fullcontact_113,http://dbpedia.org/resource/Assurant_Employee_Benefits,dbpedia,fullcontact,0.9909447431564331,False,False,True,plm_check_llm_yes
fullcontact_1148,http://dbpedia.org/resource/Tata_Elxsi,dbpedia,fullcontact,0.9998038411140442,False,True,True,agreement
fullcontact_119,http://dbpedia.org/resource/Aurubis,dbpedia,fullcontact,0.9997987151145935,False,True,True,agreement
fullcontact_1195,http://dbpedia.org/resource/Ameriprise_Financial,dbpedia,fullcontact,0.9997871518135071,False,True,True,agreement
fullcontact_1196,http://dbpedia.org/resource/Beam_Inc.,dbpedia,fullcontact,0.9997807145118713,False,True,True,agreement
fullcontact_1207,http://dbpedia.org/resource/CGI_Group,dbpedia,fullcontact,0.9997754693031311,False,False,True,plm_check_llm_yes
fullcontact_1215,http://dbpedia.org/resource/Marathon_Oil,dbpedia,fullcontact,0.9998409748077393,False,True,True,agreement
fullcontact_1238,http://dbpedia.org/resource/R._J._Reynolds_Tobacco_Company,dbpedia,fullcontact,0.9940184354782104,False,False,True,plm_check_llm_yes
fullcontact_1242,http://dbpedia.org/resource/Storage_Made_Easy,dbpedia,fullcontact,0.9998650550842285,False,False,True,plm_check_llm_yes
fullcontact_1247,http://dbpedia.org/resource/Visa_Europe,dbpedia,fullcontact,0.9997643828392029,False,False,True,plm_check_llm_yes
fullcontact_1247,http://dbpedia.org/resource/Visa_Inc.,dbpedia,fullcontact,0.9996861219406128,False,True,True,agreement
fullcontact_1251,http://dbpedia.org/resource/Yamaha_Corporation,dbpedia,fullcontact,0.9995506405830383,False,True,True,agreement
fullcontact_1256,http://dbpedia.org/resource/Walt_Disney_Animation_Studios,dbpedia,fullcontact,0.9997597336769104,False,True,True,agreement
fullcontact_1261,http://dbpedia.org/resource/21st_Century_Fox,dbpedia,fullcontact,0.9998486042022705,False,True,True,agreement
fullcontact_127,http://dbpedia.org/resource/RAE_Systems,dbpedia,fullcontact,0.9997033476829529,False,True,True,agreement
fullcontact_1275,http://dbpedia.org/resource/Macy's,dbpedia,fullcontact,0.9998249411582947,False,True,True,agreement
fullcontact_1286,http://dbpedia.org/resource/Imperial_College_Press,dbpedia,fullcontact,0.9997338652610779,False,False,True,plm_check_llm_yes
fullcontact_1291,http://dbpedia.org/resource/Action_Target,dbpedia,fullcontact,0.9996750354766846,False,True,True,agreement
fullcontact_1291,http://dbpedia.org/resource/Target_Corporation,dbpedia,fullcontact,0.9998568296432495,False,False,True,plm_check_llm_yes
fullcontact_1292,http://dbpedia.org/resource/Waste_Management_Inc,dbpedia,fullcontact,0.9985383749008179,False,True,True,agreement
fullcontact_1294,http://dbpedia.org/resource/The_Mosaic_Company,dbpedia,fullcontact,0.9997208714485168,False,False,True,plm_check_llm_yes
fullcontact_1295,http://dbpedia.org/resource/Viacom_(original),dbpedia,fullcontact,0.9998384714126587,False,True,True,agreement
fullcontact_1295,http://dbpedia.org/resource/Viacom_International_Media_Networks_The_Americas,dbpedia,fullcontact,0.8444081544876099,False,False,True,plm_check_llm_yes
fullcontact_1297,http://dbpedia.org/resource/Standard_Chartered,dbpedia,fullcontact,0.9998143315315247,False,True,True,agreement
fullcontact_130,http://dbpedia.org/resource/B%C3%A2loise,dbpedia,fullcontact,0.9997345805168152,False,False,True,plm_check_llm_yes
fullcontact_1301,http://dbpedia.org/resource/Sunland_Group,dbpedia,fullcontact,0.0004486525140237063,False,True,False,plm_check_llm_yes
fullcontact_1307,http://dbpedia.org/resource/STI_International,dbpedia,fullcontact,0.9997525811195374,False,False,True,plm_check_llm_yes
fullcontact_1316,http://dbpedia.org/resource/Chesapeake_Bay_Foundation,dbpedia,fullcontact,0.9997255206108093,False,True,True,agreement
fullcontact_1322,http://dbpedia.org/resource/Prudential_Financial,dbpedia,fullcontact,0.9998538494110107,False,False,True,plm_check_llm_yes
fullcontact_1322,http://dbpedia.org/resource/Prudential_plc,dbpedia,fullcontact,0.999835729598999,False,True,True,agreement
fullcontact_1327,http://dbpedia.org/resource/Jacobs_Engineering_Group,dbpedia,fullcontact,0.9997513890266418,False,True,True,agreement
fullcontact_1334,http://dbpedia.org/resource/MFA_Oil,dbpedia,fullcontact,0.9997698664665222,False,True,True,agreement
fullcontact_1336,http://dbpedia.org/resource/GPT_Group,dbpedia,fullcontact,0.99979168176651,False,True,True,agreement
fullcontact_1342,http://dbpedia.org/resource/Lukoil,dbpedia,fullcontact,0.9998631477355957,False,True,True,agreement
fullcontact_1345,http://dbpedia.org/resource/Zenith_Bank,dbpedia,fullcontact,0.9997925162315369,False,True,True,agreement
fullcontact_1364,http://dbpedia.org/resource/Zenith_(watchmaker),dbpedia,fullcontact,0.9997065663337708,False,False,True,plm_check_llm_yes
fullcontact_1386,http://dbpedia.org/resource/Macquarie_Infrastructure_Company,dbpedia,fullcontact,0.9998424053192139,False,False,True,plm_check_llm_yes
