cluster_size,frequency,percentage
2,1091,25.103543488265075
3,2649,60.95260009203866
4,316,7.271053842613898
5,124,2.8531983433041876
6,69,1.5876668200644273
7,34,0.7823285780027611
8,13,0.2991256327657616
9,17,0.39116428900138056
10,8,0.18407731247123793
11,3,0.06902899217671422
12,6,0.13805798435342845
13,2,0.04601932811780948
14,2,0.04601932811780948
15,1,0.02300966405890474
16,1,0.02300966405890474
17,1,0.02300966405890474
18,1,0.02300966405890474
21,1,0.02300966405890474
24,2,0.04601932811780948
26,1,0.02300966405890474
31,1,0.02300966405890474
33,1,0.02300966405890474
40,2,0.04601932811780948
