source_dataset,source_column,target_dataset,target_column,score
dbpedia,id,companies,id,1.0
dbpedia,org_nm,companies,name,1.0
dbpedia,est_yr,companies,founded,1.0
dbpedia,ctry,companies,country,1.0
dbpedia,hq_city,companies,city,1.0
dbpedia,sect,companies,industry,1.0
dbpedia,kp_nm,companies,keypeople,1.0
dbpedia,tot_ast,companies,assets,1.0
dbpedia,ann_inc,companies,revenue,1.0
forbes,id,companies,id,1.0
forbes,name,companies,name,1.0
forbes,country,companies,country,1.0
forbes,industry,companies,industry,1.0
forbes,assets,companies,assets,1.0
forbes,revenue,companies,revenue,1.0
fullcontact,id,companies,id,1.0
fullcontact,nm,companies,name,1.0
fullcontact,cn,companies,country,1.0
fullcontact,cy,companies,city,1.0
fullcontact,kp,companies,keypeople,1.0
fullcontact,fy,companies,founded,1.0
