silver_cluster_id,best_pipe_cluster_id,overlap_count,silver_size,pipe_size,jaccard
10.3390/s18020394,crossref-02130,3,3,3,1.0
10.1177/1461444818761876,crossref-03986,3,3,3,1.0
10.1145/3154385,crossref-04049,3,3,3,1.0
10.1177/0961000618764258,crossref-04094,3,3,3,1.0
10.1145/3191760,crossref-04100,3,3,3,1.0
10.1007/s00146-018-0844-6,crossref-05982,3,3,3,1.0
10.1515/jib-2018-0003,crossref-08079,3,3,3,1.0
10.1186/s12918-018-0593-7,crossref-08959,3,3,3,1.0
10.1002/isd2.12037,crossref-10303,3,3,3,1.0
10.1007/s10766-018-0585-7,crossref-10489,3,3,3,1.0
10.1145/3214303,crossref-11045,3,3,3,1.0
10.1111/exsy.12328,crossref-12294,3,3,3,1.0
10.1049/iet-com.2017.0982,crossref-13373,3,3,3,1.0
10.1093/nar/gky868,crossref-13803,3,3,3,1.0
10.1002/cpe.4881,crossref-14656,3,3,3,1.0
10.1002/int.22052,crossref-14915,3,3,3,1.0
10.1145/3242587.3242607,crossref-14919,3,3,3,1.0
10.1145/3269206.3272007,crossref-15488,3,3,3,1.0
10.1145/3267339,crossref-15643,3,3,3,1.0
10.1093/nar/gky987,crossref-15750,3,3,3,1.0
10.1145/3274306,crossref-16273,3,3,3,1.0
10.1145/3276322,crossref-17048,3,3,3,1.0
10.1002/asi.24079,crossref-17182,3,3,3,1.0
10.1186/s13173-018-0079-x,crossref-17704,3,3,3,1.0
10.1162/coli_a_00330,crossref-18007,3,3,3,1.0
10.1145/3230665,crossref-18371,3,3,3,1.0
10.1145/3231936,crossref-18477,3,3,3,1.0
10.12688/f1000research.16866.1,crossref-18780,3,3,3,1.0
10.1145/3278721.3278745,crossref-18953,3,3,3,1.0
10.1016/j.chb.2018.08.009,crossref-19416,3,3,3,1.0
10.1155/2019/8030374,crossref-19516,3,3,3,1.0
10.3934/amc.2019006,crossref-19648,3,3,3,1.0
10.1016/j.jcp.2018.10.028,crossref-19749,3,3,3,1.0
10.1016/j.jfranklin.2018.09.035,crossref-19759,3,3,3,1.0
10.5381/jot.2019.18.2.a3,crossref-19964,3,3,3,1.0
10.1111/lnc3.12308,crossref-20011,3,3,3,1.0
10.1145/3308897.3308961,crossref-21316,3,3,3,1.0
10.1016/j.amc.2018.06.048,crossref-21876,3,3,3,1.0
10.1145/3301286,crossref-22505,3,3,3,1.0
10.3390/rs11040460,crossref-22934,3,3,3,1.0
10.1007/s12064-019-00276-4,crossref-22951,3,3,3,1.0
10.1162/artl_a_00267,crossref-23167,3,3,3,1.0
10.55056/cte.389,crossref-24315,3,3,3,1.0
10.1287/mnsc.2017.3002,crossref-25145,3,3,3,1.0
10.1145/3317550.3321438,crossref-27562,3,3,3,1.0
10.1145/3317550.3321436,crossref-27609,3,3,3,1.0
10.1016/j.ejor.2018.12.007,crossref-28332,3,3,3,1.0
10.1016/j.fss.2018.05.019,crossref-28511,3,3,3,1.0
10.1145/3316781.3317924,crossref-28830,3,3,3,1.0
10.1080/10447318.2019.1619259,crossref-30488,3,3,3,1.0
10.1002/cta.2664,crossref-31008,3,3,3,1.0
10.1177/0165551519860982,crossref-31039,3,3,3,1.0
10.1145/3306346.3322987,crossref-31136,3,3,3,1.0
10.1145/3341302.3342093,crossref-33377,3,3,3,1.0
10.1093/bioinformatics/btz653,crossref-33399,3,3,3,1.0
10.1177/1461444819870306,crossref-33750,3,3,3,1.0
10.1111/isj.12266,crossref-34461,3,3,3,1.0
10.1145/3345627,crossref-35011,3,3,3,1.0
10.1111/tops.12456,crossref-35074,3,3,3,1.0
10.1177/1461444819876944,crossref-35167,3,3,3,1.0
10.1093/nar/gkz853,crossref-36075,3,3,3,1.0
10.1093/nar/gkz888,crossref-36219,3,3,3,1.0
10.1145/3319535.3363219,crossref-37985,3,3,3,1.0
10.1145/3359139,crossref-38208,3,3,3,1.0
10.1002/int.22205,crossref-38389,3,3,3,1.0
10.1093/nar/gkz1062,crossref-38455,3,3,3,1.0
10.1007/s10676-019-09522-1,crossref-38746,3,3,3,1.0
10.1002/cpe.5567,crossref-38774,3,3,3,1.0
10.1093/nar/gkz972,crossref-39031,3,3,3,1.0
10.1145/3344684,crossref-39120,3,3,3,1.0
10.1016/j.ejor.2019.06.007,crossref-39636,3,3,3,1.0
10.1145/3369808,crossref-40126,3,3,3,1.0
10.1364/jocn.12.000002,crossref-40168,3,3,3,1.0
10.1111/jcal.12413,crossref-40176,3,3,3,1.0
10.1177/0142331219890171,crossref-40282,3,3,3,1.0
10.1145/3371077,crossref-40389,3,3,3,1.0
10.1287/ijoc.2018.0845,crossref-40846,3,3,3,1.0
10.1162/dint_a_00040,crossref-41080,3,3,3,1.0
10.1287/moor.2019.0990,crossref-43625,3,3,3,1.0
10.1016/j.automatica.2019.108659,crossref-43830,3,3,3,1.0
10.1162/jocn_a_01502,crossref-43850,3,3,3,1.0
10.1093/bioinformatics/btaa072,crossref-44215,3,3,3,1.0
10.1049/iet-ipr.2018.5868,crossref-44405,3,3,3,1.0
10.1145/3368856,crossref-44570,3,3,3,1.0
10.1162/jocn_a_01495,crossref-44980,3,3,3,1.0
10.1155/2020/7985010,crossref-45768,3,3,3,1.0
10.1002/rob.21949,crossref-45868,3,3,3,1.0
10.1016/j.tcs.2018.10.032,crossref-46613,3,3,3,1.0
10.1016/j.gpb.2018.12.011,crossref-46687,3,3,3,1.0
10.1126/scirobotics.aaz6262,crossref-47884,3,3,3,1.0
10.1016/j.jctb.2019.08.006,crossref-48955,3,3,3,1.0
10.3390/rs12101544,crossref-49524,3,3,3,1.0
10.1287/mnsc.2019.3314,crossref-50167,3,3,3,1.0
10.1145/3386901.3388912,crossref-51085,3,3,3,1.0
10.1093/bioinformatics/btaa464,crossref-51761,3,3,3,1.0
10.1111/cgf.14065,crossref-53778,3,3,3,1.0
10.3390/jsan9030037,crossref-54172,3,3,3,1.0
10.1016/j.future.2020.06.028,crossref-58835,3,3,3,1.0
10.1016/j.jcss.2020.05.005,crossref-59667,3,3,3,1.0
10.1162/tacl_a_00327,crossref-60021,3,3,3,1.0
