column,type,metric,value,silver_value,pipe_value
first_page,numerical,column_drift,1.5903079011069856e-05,,
first_page,numerical,wasserstein_1,34907136749.70277,,
first_page,numerical,ks_statistic,0.024612607226869948,,
first_page,numerical,nan_rate_delta,0.05917995589560912,0.07458003560663481,0.13375999150224394
first_page,numerical,cardinality_delta,2658.0,10934.0,13592.0
issue,categorical,column_drift,0.0010477707738025949,,
issue,categorical,js_divergence,0.0010477707738025949,,
issue,categorical,nan_rate_delta,0.00669306981445672,0.5033050713014049,0.5099981411158616
issue,categorical,cardinality_delta,1.0,191.0,192.0
journal,text,column_drift,0.08104817557978379,,
journal,text,length_wasserstein_1,1.409308496448269,,
journal,text,token_js_divergence,0.029043837327604925,,
journal,text,nan_rate_delta,-0.013951857739810392,0.2043679822319367,0.1904161244921263
journal,text,cardinality_delta,102.0,1580.0,1682.0
last_page,numerical,column_drift,1.5903111821525956e-05,,
last_page,numerical,wasserstein_1,34906469445.59738,,
last_page,numerical,ks_statistic,0.022335171528683306,,
last_page,numerical,nan_rate_delta,0.05914905110482252,0.07459766265357565,0.13374671375839817
last_page,numerical,cardinality_delta,2713.0,11021.0,13734.0
referenced_works_count,numerical,column_drift,0.0008041874123958981,,
referenced_works_count,numerical,wasserstein_1,2.7581373883048426,,
referenced_works_count,numerical,ks_statistic,0.06986671189698794,,
referenced_works_count,numerical,nan_rate_delta,0.05017768886695155,0.010435211788968994,0.060612900655920544
referenced_works_count,numerical,cardinality_delta,12.0,339.0,351.0
title,text,column_drift,0.363395369273111,,
title,text,length_wasserstein_1,8.672183998047187,,
title,text,token_js_divergence,0.012039320371815312,,
title,text,nan_rate_delta,0.001168441458427384,0.0,0.001168441458427384
title,text,cardinality_delta,18379.0,56451.0,74830.0
type,categorical,column_drift,0.0023073512358236445,,
type,categorical,js_divergence,0.0023073512358236445,,
type,categorical,nan_rate_delta,0.0,0.0,0.0
type,categorical,cardinality_delta,7.0,2.0,9.0
volume,categorical,column_drift,0.001990473232037104,,
volume,categorical,js_divergence,0.001990473232037104,,
volume,categorical,nan_rate_delta,-0.01790546365933232,0.2285170365408683,0.21061157288153598
volume,categorical,cardinality_delta,17.0,619.0,636.0
