silver_cluster_id,pipe_cluster_id,type,title,publication_year,journal,volume,issue,first_page,last_page,referenced_works_count,n_attributes_correct,fully_correct
10.3390/s18020394,crossref-02130,True,True,True,True,False,True,,,True,6,False
10.1177/1461444818761876,crossref-03986,True,True,True,True,False,True,True,True,True,8,False
10.1145/3154385,crossref-04049,True,False,True,True,False,True,True,True,False,6,False
10.1177/0961000618764258,crossref-04094,True,True,True,True,False,True,True,True,False,7,False
10.1145/3191760,crossref-04100,True,False,True,False,False,True,True,True,False,5,False
10.1007/s00146-018-0844-6,crossref-05982,False,True,True,False,False,True,True,True,True,6,False
10.1515/jib-2018-0003,crossref-08079,False,False,True,True,False,True,False,,False,3,False
10.1186/s12918-018-0593-7,crossref-08959,True,True,True,True,False,True,,,True,6,False
10.1002/isd2.12037,crossref-10303,True,True,True,True,False,True,False,False,False,5,False
10.1007/s10766-018-0585-7,crossref-10489,False,True,True,True,False,True,True,True,True,7,False
10.1145/3214303,crossref-11045,True,False,True,True,False,True,True,True,False,6,False
10.1111/exsy.12328,crossref-12294,True,False,True,True,False,True,False,False,False,4,False
10.1049/iet-com.2017.0982,crossref-13373,False,False,True,True,False,True,True,True,,5,False
10.1093/nar/gky868,crossref-13803,False,True,True,True,False,True,True,True,True,7,False
10.1002/cpe.4881,crossref-14656,True,False,True,False,False,True,,,True,4,False
10.1002/int.22052,crossref-14915,True,True,True,True,False,True,True,True,True,8,False
10.1145/3242587.3242607,crossref-14919,True,False,True,False,,,True,True,True,5,False
10.1145/3269206.3272007,crossref-15488,True,False,True,False,,,True,True,True,5,False
10.1145/3267339,crossref-15643,True,False,True,True,False,True,True,True,False,6,False
10.1093/nar/gky987,crossref-15750,False,True,True,True,False,True,True,True,True,7,False
10.1145/3274306,crossref-16273,True,False,True,True,False,True,True,True,False,6,False
10.1145/3276322,crossref-17048,True,False,True,True,False,True,True,True,,6,False
10.1002/asi.24079,crossref-17182,True,True,True,True,False,True,True,True,True,8,False
10.1186/s13173-018-0079-x,crossref-17704,True,True,True,True,False,True,False,False,True,6,False
10.1162/coli_a_00330,crossref-18007,True,True,True,True,False,True,True,True,True,8,False
10.1145/3230665,crossref-18371,True,False,False,True,False,True,True,True,False,5,False
10.1145/3231936,crossref-18477,False,True,True,True,False,True,True,True,False,6,False
10.12688/f1000research.16866.1,crossref-18780,False,True,True,True,False,,True,True,True,6,False
10.1145/3278721.3278745,crossref-18953,True,False,True,False,,,True,True,True,5,False
10.1016/j.chb.2018.08.009,crossref-19416,True,True,True,True,False,,True,True,True,7,False
10.1155/2019/8030374,crossref-19516,True,False,True,True,False,True,False,False,True,5,False
10.3934/amc.2019006,crossref-19648,True,True,True,True,False,True,True,True,False,7,False
10.1016/j.jcp.2018.10.028,crossref-19749,False,True,True,True,False,,True,True,True,6,False
10.1016/j.jfranklin.2018.09.035,crossref-19759,True,True,True,True,False,True,True,True,True,8,False
10.5381/jot.2019.18.2.a3,crossref-19964,True,False,True,False,False,True,False,False,False,3,False
10.1111/lnc3.12308,crossref-20011,False,False,True,True,False,True,False,False,True,4,False
10.1145/3308897.3308961,crossref-21316,True,False,True,True,False,True,True,True,True,7,False
10.1016/j.amc.2018.06.048,crossref-21876,True,False,True,True,False,,True,True,True,6,False
10.1145/3301286,crossref-22505,False,False,True,True,False,True,True,True,True,6,False
10.3390/rs11040460,crossref-22934,True,True,True,True,False,True,True,True,False,7,False
10.1007/s12064-019-00276-4,crossref-22951,False,True,True,True,False,True,True,True,True,7,False
10.1162/artl_a_00267,crossref-23167,True,False,True,True,False,True,True,True,True,7,False
10.55056/cte.389,crossref-24315,True,True,True,True,False,,True,True,True,7,False
10.1287/mnsc.2017.3002,crossref-25145,True,True,True,True,False,True,True,True,False,7,False
10.1145/3317550.3321438,crossref-27562,True,True,True,False,,,True,True,True,6,False
10.1145/3317550.3321436,crossref-27609,True,False,True,False,,,True,True,False,4,False
10.1016/j.ejor.2018.12.007,crossref-28332,True,True,True,True,False,True,True,True,True,8,False
10.1016/j.fss.2018.05.019,crossref-28511,True,True,True,True,False,,True,True,True,7,False
10.1145/3316781.3317924,crossref-28830,True,False,True,False,,,True,True,True,5,False
10.1080/10447318.2019.1619259,crossref-30488,True,False,True,,False,True,True,True,False,5,False
10.1002/cta.2664,crossref-31008,True,False,True,True,False,True,True,True,,6,False
10.1177/0165551519860982,crossref-31039,True,True,True,True,False,True,True,True,True,8,False
10.1145/3306346.3322987,crossref-31136,True,False,True,True,False,True,True,True,False,6,False
10.1145/3341302.3342093,crossref-33377,True,False,True,False,,,True,True,True,5,False
10.1093/bioinformatics/btz653,crossref-33399,False,False,True,True,False,True,True,True,True,6,False
10.1177/1461444819870306,crossref-33750,True,True,True,True,False,True,True,True,True,8,False
10.1111/isj.12266,crossref-34461,True,True,True,True,False,True,True,True,True,8,False
10.1145/3345627,crossref-35011,True,False,True,True,False,True,True,True,True,7,False
10.1111/tops.12456,crossref-35074,True,False,True,True,False,True,True,True,False,6,False
10.1177/1461444819876944,crossref-35167,True,True,True,True,False,True,True,True,False,7,False
10.1093/nar/gkz853,crossref-36075,False,True,True,True,False,True,True,True,True,7,False
10.1093/nar/gkz888,crossref-36219,True,True,False,True,False,True,True,True,True,7,False
10.1145/3319535.3363219,crossref-37985,True,False,True,False,,,True,True,True,5,False
10.1145/3359139,crossref-38208,True,False,True,True,False,True,True,True,True,7,False
10.1002/int.22205,crossref-38389,False,False,False,False,False,True,True,True,True,4,False
10.1093/nar/gkz1062,crossref-38455,True,True,True,True,False,True,True,True,True,8,False
10.1007/s10676-019-09522-1,crossref-38746,True,True,True,True,False,True,True,True,True,8,False
10.1002/cpe.5567,crossref-38774,True,True,True,False,False,True,False,False,False,4,False
10.1093/nar/gkz972,crossref-39031,False,True,True,True,False,True,True,True,True,7,False
