silver_cluster_id,pipe_cluster_id,name,founded,country,city,industry,assets,revenue,n_attributes_correct,fully_correct
fullcontact_1,fullcontact_1,True,True,True,False,False,True,True,5,False
fullcontact_100,fullcontact_100,True,True,True,True,True,True,True,7,True
fullcontact_1005,fullcontact_1005,False,False,False,False,False,False,False,0,False
fullcontact_1006,http://dbpedia.org/resource/DDR_Corp.,False,True,False,True,False,False,False,2,False
fullcontact_1007,fullcontact_1007,True,False,True,True,False,False,False,3,False
fullcontact_1009,fullcontact_1043,True,False,True,,True,True,True,5,False
fullcontact_101,fullcontact_101,True,True,False,True,True,True,True,6,False
fullcontact_102,fullcontact_102,False,True,False,True,False,False,False,2,False
fullcontact_1022,fullcontact_1022,False,False,True,True,False,False,False,2,False
fullcontact_1028,fullcontact_1028,False,False,True,False,False,False,False,1,False
fullcontact_1029,http://dbpedia.org/resource/I_Capital,True,True,True,False,True,True,True,6,False
fullcontact_103,fullcontact_103,True,False,False,False,False,True,True,3,False
fullcontact_1030,fullcontact_1030,True,False,False,True,False,True,True,4,False
fullcontact_1033,fullcontact_1033,False,False,True,False,False,False,False,1,False
fullcontact_104,fullcontact_104,True,True,False,True,,True,True,5,False
fullcontact_1043,http://dbpedia.org/resource/Pinnacle_Entertainment,False,True,True,True,False,True,True,5,False
fullcontact_1044,fullcontact_1044,False,False,False,True,False,False,False,1,False
fullcontact_1046,fullcontact_1046,False,False,False,False,False,False,False,0,False
fullcontact_105,fullcontact_105,True,,True,True,True,True,True,6,True
fullcontact_1055,fullcontact_1055,False,False,True,False,False,False,False,1,False
fullcontact_1059,fullcontact_1059,False,False,True,True,False,False,False,2,False
fullcontact_106,fullcontact_106,True,True,True,True,False,True,False,5,False
fullcontact_1061,fullcontact_1061,False,False,False,True,False,False,False,1,False
fullcontact_107,fullcontact_107,True,True,True,True,True,True,True,7,True
fullcontact_1073,http://dbpedia.org/resource/Maritime_Electric,False,True,False,True,False,False,False,2,False
fullcontact_1075,fullcontact_1075,False,False,True,True,False,False,False,2,False
fullcontact_1077,fullcontact_1077,False,False,False,True,False,False,False,1,False
fullcontact_1078,fullcontact_1078,True,True,True,True,False,True,True,6,False
fullcontact_1079,http://dbpedia.org/resource/Combined_Insurance,False,True,False,True,False,True,True,4,False
fullcontact_108,fullcontact_108,True,False,False,False,False,True,True,3,False
fullcontact_1084,fullcontact_1084,False,False,False,True,False,False,False,1,False
fullcontact_1086,fullcontact_1086,False,False,True,True,False,False,False,2,False
fullcontact_1089,fullcontact_1089,True,False,False,True,False,True,True,4,False
fullcontact_109,fullcontact_109,True,,True,True,True,True,True,6,True
fullcontact_1093,fullcontact_264,True,True,False,False,False,False,True,3,False
fullcontact_110,fullcontact_110,True,False,True,True,False,True,True,5,False
fullcontact_1101,fullcontact_1101,False,False,False,True,False,False,False,1,False
fullcontact_1108,fullcontact_1108,False,False,False,False,False,False,False,0,False
fullcontact_1109,http://dbpedia.org/resource/Public_Power_Corporation_of_Greece,True,True,True,True,False,False,False,4,False
fullcontact_111,fullcontact_111,True,True,False,True,True,True,True,6,False
fullcontact_1117,fullcontact_1117,True,True,False,True,False,True,False,4,False
fullcontact_1118,http://dbpedia.org/resource/%C4%8CEZ_Group,True,True,False,True,False,True,False,4,False
fullcontact_112,fullcontact_112,True,True,True,True,True,True,True,7,True
fullcontact_1122,fullcontact_1122,False,False,False,True,False,False,False,1,False
fullcontact_1125,http://dbpedia.org/resource/Stockland,True,True,True,True,False,False,True,5,False
fullcontact_1129,fullcontact_1129,False,False,True,True,False,False,False,2,False
fullcontact_113,fullcontact_113,True,True,False,True,False,False,False,3,False
fullcontact_1139,fullcontact_1139,False,False,False,True,False,False,False,1,False
fullcontact_114,fullcontact_114,True,,False,True,True,True,True,5,False
fullcontact_1140,fullcontact_1630,True,True,True,False,True,True,False,5,False
fullcontact_1148,http://dbpedia.org/resource/Tata_Elxsi,True,True,True,False,False,False,True,4,False
fullcontact_1149,fullcontact_1149,False,False,False,False,False,False,False,0,False
fullcontact_115,fullcontact_115,True,True,True,True,True,True,True,7,True
fullcontact_1150,http://dbpedia.org/resource/Franshion_Properties,True,True,True,True,False,True,True,6,False
fullcontact_1156,fullcontact_1156,False,False,True,True,False,False,False,2,False
fullcontact_1157,fullcontact_1157,False,False,True,True,False,False,False,2,False
fullcontact_116,fullcontact_116,True,False,True,False,True,True,True,5,False
fullcontact_1160,http://dbpedia.org/resource/China_Mobile,True,True,True,False,False,False,False,3,False
fullcontact_1169,fullcontact_1169,False,False,False,False,False,False,False,0,False
fullcontact_117,fullcontact_117,True,False,False,True,True,True,True,5,False
fullcontact_1170,http://dbpedia.org/resource/Bank_Pekao,False,True,True,True,False,False,False,3,False
fullcontact_1171,fullcontact_1171,True,True,False,True,True,True,True,6,False
fullcontact_1172,fullcontact_1172,False,False,False,False,False,False,False,0,False
fullcontact_1175,fullcontact_1175,True,False,False,True,False,True,True,4,False
