silver_cluster_id,pipe_cluster_id,title,brand,description,price,priceCurrency,product_type,model,model_number,chipset_name,vram_gb,storage_gb,read_speed_mb_s,write_speed_mb_s,bus_type,interface_type,storage_connection_type,memory_type,form_factor,title_description,n_attributes_correct,fully_correct
products_1_1022732,products_1_1022732,True,True,True,False,False,True,False,False,,,True,True,False,True,True,True,,True,False,10,False
products_1_10524439,products_1_10524439,False,False,False,False,False,True,False,True,,,True,True,False,False,False,True,,False,False,5,False
products_1_10678822,products_1_10678822,False,True,True,False,True,True,False,False,,,False,False,,True,False,False,,,False,5,False
products_1_1080849,products_1_1080849,False,True,False,False,False,True,True,True,,,False,False,True,True,False,False,False,,False,6,False
products_1_10827123,products_1_10827123,False,True,False,True,True,True,False,False,,,True,False,False,True,False,False,False,False,False,6,False
products_1_10861890,products_1_10861890,False,True,False,True,True,True,False,False,,,True,False,False,False,False,False,,False,False,5,False
products_1_14715948,products_1_14715948,True,True,True,False,True,True,True,True,,,True,True,False,True,False,True,,False,True,12,False
products_1_15104574,products_1_15104574,False,True,True,False,False,True,False,False,,,True,False,False,True,False,True,,True,True,8,False
products_1_15814761,products_1_15814761,True,True,True,True,False,False,True,True,True,True,,,,False,False,,True,False,True,10,False
products_1_16121684,products_1_16121684,False,True,True,False,True,True,False,False,,,True,False,True,True,True,False,,True,True,10,False
products_1_17229793,products_1_17229793,True,True,True,False,False,True,True,True,,,False,True,False,True,False,False,False,,True,9,False
products_1_17432451,products_1_17432451,True,True,True,False,True,True,False,True,True,True,,,,True,False,,True,False,True,11,False
products_1_20598122,products_1_20598122,False,True,False,False,True,True,True,False,,,False,False,False,True,False,False,,,False,5,False
products_1_20847143,products_1_20847143,False,True,False,False,True,True,False,False,,,True,False,False,False,False,False,,False,False,4,False
products_1_20960713,products_1_20960713,True,True,False,True,True,True,True,True,,,False,False,False,True,False,True,,True,False,10,False
products_1_23622857,products_1_23622857,False,False,False,False,True,True,False,True,,,False,False,True,True,True,True,,False,True,8,False
products_1_23766798,products_1_23766798,True,True,False,True,False,True,True,True,,,True,False,True,False,False,False,,False,True,9,False
products_1_27166335,products_1_27166335,True,False,True,False,False,True,True,True,False,True,,,,True,False,,True,False,False,8,False
products_1_27333099,products_1_27333099,False,True,True,False,True,True,True,True,,,True,False,False,False,False,True,,True,True,10,False
products_1_27373947,products_1_27373947,True,True,True,False,True,True,True,True,,,True,False,False,True,False,False,,,True,10,False
products_1_27830267,products_1_27830267,False,True,False,False,True,True,False,True,True,True,,,,True,False,,False,False,False,7,False
products_1_27969946,products_1_27969946,True,True,False,True,True,True,True,True,,,True,False,False,True,True,False,,False,False,10,False
