id,name,releaseYear,developer,platform,genres,series
dbpedia_1,San Francisco Rush 2049,,Hamdbeld Gqmes,Game Boy Color,Racing video game,
dbpedia_2,RoboCop (1988 video game),1989-01-01 00:00:00,Ocean Software,Arcade Cabinet,Beat 'em up,
dbpedia_3,,2016-01-01 00:00:00,Key (company),PlayStation Vita,,
dbpedia_4,Fallout 2,1998-01-01 00:00:00,Black Isle Studios,macOS,Role-playing video game,Fallout (series)
dbpedia_5,SpongeBob SquarePants: Creature from the Krusty Krab,2006-01-01 00:00:00,Blitz Games Studio,Wii,Platform game,5ponge8ob SquarePants video games
dbpedia_6,Transformers: Fall of Cybertron,,High Moon Studios,PlayStation 4,Third-person shooter,
dbpedia_7,List of Monster Jam video games,2003-01-01 00:00:00,Ubi Soft Barcelona,,Racing game,
dbpedia_8,Onimusha: Warlords,2002-01-01 00:00:00,,Xbox One,Hack and slash,
dbpedia_9,Nicktoons: Battle for Volcano Island,,,PlayStation 2,Action Adventure,
dbpedia_10,Grid Autosport,2019-01-01 00:00:00,,Xbox 360,Racing video game,Gtud (sefies)
dbpedia_11,Mario Kart Arcade GP,2005-01-01 00:00:00,Namco,Arcade Cabinet,Racing video game,
dbpedia_12,,2006-01-01 00:00:00,Exient Entertainment,macOS,,
dbpedia_13,Delta Force: Black Hawk Down,2003-01-01 00:00:00,NovaLogic,,FPS,
dbpedia_14,Wizorb,2011-01-01 00:00:00,Tribute Games,PlayStation Portable (PSP),clone Breakout,
dbpedia_15,Syberia,2004-01-01 00:00:00,MC2-Microïds,Nintendo Switch,Graphic adventure game,
dbpedia_16,Mega Man 8,,Fw0com,PlayStation,Platform game,
dbpedia_17,List of Fire Pro Wrestling games,1994-01-01 00:00:00,Spike Chunsoft,,Fighting game,Firc Pro Wresthng
dbpedia_18,Task Force Harrier,1991-01-01 00:00:00,NMK (company),Sega Genesis / Mega Drive,Zxdolling shooter,
dbpedia_19,James Bond 007: Nightfire,,,Windows PC,First-person shooter,James Bond in video games
dbpedia_20,Krypton Egg,2009-01-01 00:00:00,,,Breakout clone,
dbpedia_21,Ivy the Kiwi?,2010-01-01 00:00:00,Prope,Wii,Platformer,
dbpedia_22,Heavy Fire,,Teyon,Wii,Shooter,
dbpedia_23,Hamtaro (video game series),2005-01-01 00:00:00,ImaginEngine,Game Boy Advance,Quiz,
dbpedia_24,Ultimate Marvel vs. Capcom 3,,Eighting,Windows PC,Fighter,
dbpedia_25,,,Interplay Entertainment,Linux / SteamOS,Platform game,
