id,name,releaseYear,developer,publisher,platform,genres,criticScore,userScore,ESRB,Attribute_11
sales_1,Wii Sports,2006-01-01 00:00:00,Nintendo,Nintcndo,Wii,Sports,76.0,8.0,E,82 000
sales_2,Mario Kart Wii,2008-01-01 00:00:00,Ninten,Nintendo,Wii,Racing,82.0,8.3,E,35000
sales_5,Wii Play,2006-01-01 00:00:00,Nintendo,Nintendo,Wii,Misc,,6.6,E,28
sales_7,Mario Kart DS,2005-01-01 00:00:00,Nintcndo,Nintendo,Nintendo DS,RAcing,,B.G,E,23
sales_8,Wii Fit,2007-01-01 00:00:00,Nintendo,Nintendo,Wii,Sporting Goods,80.0,,E,22
sales_9,Kinect Adventures!,2010-01-01 00:00:00,Good Science Studio,Microsoft Game Studios,Xbox 360,Misc,61.0,,E,21
sales_10,Wii Fit Plus,2009-01-01 00:00:00,Nintcndo,Nintendo,Wii,Sports,80.0,7.4,E,21
sales_12,Grand Theft Auto: San Andreas,2004-01-01 00:00:00,North Rockstar,,PlayStation 2,Action,95.0,9.0,M,"20,000,000"
sales_13,Brain Age: Train Your Brain in Minutes a Day,2005-01-01 00:00:00,Nintendo,Minrehdo,Nintendo DS,Misc,77.0,7.9,E,20000
sales_17,Gran Turismo 3: A-Spec,2001-01-01 00:00:00,Polyphony Digital,Sony Computer,PlayStation 2,Racing,95.0,8.4,E,14000000
sales_18,Call of Duty: Modern Warfare 3,2011-01-01 00:00:00,Developed by Infinity Ward and Sledgehammer Games,Activisi,Xbox 360,Shooter,88.0,3.4,M,14
sales_19,Call of Duty: Black Ops,2010-01-01 00:00:00,,ActivisIon,Xbox 360,Shooter,87.0,6.3,M,14000000
sales_20,Ops of Duty: Black Call II,2012-01-01 00:00:00,Treyarc,Activision,,Shooter,83.0,5.3,M,13 000 000
sales_21,Call of Duty: Black Ops II,2012-01-01 00:00:00,Treyarch,ATVI,Xbox 360,Shooter,83.0,e.i,,13
sales_22,Call of Duty: Modern Warfare 2,2009-01-01 00:00:00,,Activision,Xbox 360,,94.0,6.3,M,13
sales_23,Call of Duty: Modern Warfare 3,2011-01-01 00:00:00,Developed by Infinity Ward and Sledgehammer Games,Activision,PlayStation 3,Shooter,88.0,3.2,M,
sales_24,Grand Theft Auto III,2001-01-01 00:00:00,DMA Design,Interactive Take-Two,PlayStation 2,Action,97.0,,M,13
sales_25,Super Smash Bros. Brawl,,,Nintendo,Wii,Fighting,93.0,8.9,,12
sales_26,Mario Kart 7,2011-01-01 00:00:00,,Nintendo,Nintendo 3DS,Racing,85.0,8.2,,12
sales_27,Call of Duty: Black Ops,2010-01-01 00:00:00,Treyarch,,,Shooter,88.0,6.4,M,12 000 000
sales_28,Grand Theft Auto V,2014-01-01 00:00:00,Rockstar North,Take-Two Interactive,PlayStation 4,Action,97.0,8.3,M,12 000 000
sales_29,Animal Crossing: Wild World,2005-01-01 00:00:00,Nintendo,Nintendo,Nintendo DS,,uy,8.7,E,
sales_30,Halo 3,2007-01-01 00:00:00,Bungie Bungie,Microsoft Game Studios,,Shooter,94.0,7.8,M,12 000
sales_31,Gran 4,2004-01-01 00:00:00,Polyphony Digital,Sony Computer Entertainment,PlayStation 2,Racing,8 9,8.5,E,11
sales_33,Grand Theft Auto IV,2008-01-01 00:00:00,Rockstar North Studio,Take-Two Interactive,Xbox,Action,98.0,7.9,M,11 000 000
sales_35,Super Mario 3D Land,2011-01-01 00:00:00,Nintendo,Nintendo,Nintendo 3DS,Plztfidm,90.0,8.4,,10000000
sales_36,Gran Turismo 5,2010-01-01 00:00:00,Polyphony Digital,Sony Computer Entertainment,PlayStation 3,Racing,84.0,7.5,E,"10,000,000"
sales_37,Call of Duty: Modern Warfare 2,2009-01-01 00:00:00,InfinityWard,Activision,PlayStation 3,Shooter,94.0,6.3,M,10
