source,attribute,baseline_alignment_rate,n_cells,n_aligned
dbpedia,series,0.0,0,0
dbpedia,genres,0.0,0,0
dbpedia,releaseYear,0.0,76,0
dbpedia,developer,0.947368,76,72
dbpedia,platform,0.973684,76,74
dbpedia,name,0.921053,76,70
metacritic,ESRB,1.0,91,91
metacritic,platform,1.0,91,91
metacritic,name,1.0,91,91
metacritic,genres,0.0,0,0
metacritic,developer,0.944444,90,85
metacritic,userScore,0.101124,89,9
metacritic,criticScore,0.131868,91,12
metacritic,releaseYear,0.010989,91,1
sales,ESRB,0.0,0,0
sales,userScore,0.0,0,0
sales,publisher,0.0,0,0
sales,genres,0.0,0,0
sales,platform,0.0,0,0
sales,releaseYear,0.0,0,0
sales,criticScore,0.0,0,0
sales,name,0.0,0,0
sales,developer,0.0,0,0
sales,globalSales,0.0,0,0
