column,type,metric,value,silver_value,pipe_value
ESRB,categorical,column_drift,0.0001469326359613397,,
ESRB,categorical,js_divergence,0.0001469326359613397,,
ESRB,categorical,nan_rate_delta,0.6060893800321746,0.03886976477337923,0.6449591448055538
ESRB,categorical,cardinality_delta,0.0,7.0,7.0
criticScore,numerical,column_drift,0.00202169111973563,,
criticScore,numerical,wasserstein_1,0.7541036642128649,,
criticScore,numerical,ks_statistic,0.034128073898954225,,
criticScore,numerical,nan_rate_delta,0.609725141449076,0.0004302925989672978,0.6101554340480433
criticScore,numerical,cardinality_delta,4.0,82.0,86.0
developer,text,column_drift,0.28208569076180423,,
developer,text,length_wasserstein_1,0.2157331873757753,,
developer,text,token_js_divergence,0.1381975955744801,,
developer,text,nan_rate_delta,0.0166953369785587,0.0,0.0166953369785587
developer,text,cardinality_delta,4975.0,1761.0,6736.0
name,text,column_drift,0.5133746081511811,,
name,text,length_wasserstein_1,0.7116756373302124,,
name,text,token_js_divergence,0.13721746341849658,,
name,text,nan_rate_delta,0.0,0.0,0.0
name,text,cardinality_delta,15252.0,4554.0,19806.0
platform,categorical,column_drift,0.25626929903866663,,
platform,categorical,js_divergence,0.25626929903866663,,
platform,categorical,nan_rate_delta,0.004346624070774713,0.0,0.004346624070774713
platform,categorical,cardinality_delta,551.0,23.0,574.0
series,categorical,column_drift,0.23772323533648398,,
series,categorical,js_divergence,0.23772323533648398,,
series,categorical,nan_rate_delta,0.1680367015239712,0.45740103270223753,0.6254377342262087
series,categorical,cardinality_delta,558.0,741.0,1299.0
userScore,numerical,column_drift,0.004344782045884359,,
userScore,numerical,wasserstein_1,0.1394061001217341,,
userScore,numerical,ks_statistic,0.04251326969008462,,
userScore,numerical,nan_rate_delta,0.5962188832035855,0.047619047619047616,0.6438379308226332
userScore,numerical,cardinality_delta,-151.0,243.0,92.0
publisher,text,column_drift,0.026031406581299828,,
publisher,text,length_wasserstein_1,0.2814424203768676,,
publisher,text,token_js_divergence,0.01789381240963359,,
publisher,text,nan_rate_delta,0.3011488021967367,0.5778829604130808,0.8790317626098175
publisher,text,cardinality_delta,120.0,171.0,291.0
