silver_cluster_id,pipe_cluster_id,name,releaseYear,developer,publisher,platform,criticScore,userScore,ESRB,n_attributes_correct,fully_correct
metacritic_12057,dbpedia_23874,True,True,False,False,True,True,,True,5,False
metacritic_14164,dbpedia_64698,True,True,True,True,True,True,True,True,8,True
metacritic_14340,dbpedia_38151,True,True,True,True,True,True,False,True,7,False
metacritic_17161,dbpedia_36582,True,True,True,True,True,True,False,True,7,False
metacritic_17606,dbpedia_53216,True,True,True,True,True,True,False,False,6,False
metacritic_19234,dbpedia_57362,True,True,True,True,True,True,False,True,7,False
metacritic_19481,dbpedia_22016,True,True,False,True,True,True,False,False,5,False
metacritic_3124,dbpedia_12258,False,True,False,True,True,True,False,True,5,False
metacritic_4212,dbpedia_42162,True,True,True,True,True,False,False,True,6,False
metacritic_5286,dbpedia_3613,False,True,True,True,True,True,False,True,6,False
metacritic_5860,dbpedia_1471,True,True,True,False,True,True,False,True,6,False
metacritic_8567,dbpedia_56397,True,True,True,True,True,True,True,True,8,True
metacritic_8878,metacritic_8878,True,True,True,False,True,True,False,True,6,False
metacritic_9221,dbpedia_40208,True,True,True,True,True,True,True,True,8,True
metacritic_9865,dbpedia_11644,True,True,True,True,True,True,True,True,8,True
