id1,id2,source_1,source_2,score,in_gold,in_human,in_ditto,decision_path
discogs_100,lastFM_54,discogs,lastfm,0.9739654660224915,False,False,True,plm_check_confident_pos
discogs_10032,lastFM_4937,discogs,lastfm,0.9556887745857239,False,True,True,agreement
discogs_100710,lastFM_45684,discogs,lastfm,0.9732123613357544,False,False,True,plm_check_confident_pos
discogs_100710,lastFM_48615,discogs,lastfm,0.9741210341453552,False,True,True,agreement
discogs_101,lastFM_55,discogs,lastfm,0.9751235842704773,False,True,True,agreement
discogs_10116,lastFM_4976,discogs,lastfm,0.9750096797943115,False,True,True,agreement
discogs_101416,lastFM_15895,discogs,lastfm,0.7251248359680176,False,True,True,agreement
discogs_10148,lastFM_28771,discogs,lastfm,0.7099815607070923,False,False,True,plm_check_confident_pos
discogs_101500,lastFM_46027,discogs,lastfm,0.9749944806098938,False,True,True,agreement
discogs_101523,lastFM_5913,discogs,lastfm,0.9524611234664917,False,False,True,plm_check_confident_pos
discogs_10155,lastFM_4990,discogs,lastfm,0.9535041451454163,False,True,True,agreement
discogs_101845,lastFM_46175,discogs,lastfm,0.9738603234291077,False,True,True,agreement
discogs_101935,lastFM_17340,discogs,lastfm,0.9050232768058777,False,True,True,agreement
discogs_101939,lastFM_23489,discogs,lastfm,0.962312638759613,False,True,True,agreement
discogs_10230,lastFM_5014,discogs,lastfm,0.9738690257072449,False,True,True,agreement
discogs_1024,lastFM_582,discogs,lastfm,0.9736696481704712,False,True,True,agreement
discogs_102508,lastFM_46450,discogs,lastfm,0.9747757315635681,False,False,True,plm_check_confident_pos
discogs_102511,lastFM_15895,discogs,lastfm,0.7327882647514343,False,False,True,plm_check_confident_pos
discogs_10272,lastFM_5033,discogs,lastfm,0.9671630859375,False,False,True,plm_check_confident_pos
discogs_102844,lastFM_46597,discogs,lastfm,0.9741532206535339,False,True,True,agreement
discogs_102885,lastFM_17957,discogs,lastfm,0.9409318566322327,False,False,True,plm_check_confident_pos
discogs_102885,lastFM_46620,discogs,lastfm,0.9521362781524658,False,False,True,plm_check_confident_pos
discogs_102896,lastFM_46623,discogs,lastfm,0.9747621417045593,False,True,True,agreement
discogs_10302,lastFM_5048,discogs,lastfm,0.9585959315299988,False,False,True,plm_check_confident_pos
discogs_10303,lastFM_5049,discogs,lastfm,0.9093511700630188,False,True,True,agreement
discogs_10320,lastFM_5056,discogs,lastfm,0.9618934988975525,False,False,True,plm_check_confident_pos
discogs_103256,lastFM_46774,discogs,lastfm,0.9524447917938232,False,True,True,agreement
discogs_103437,lastFM_15191,discogs,lastfm,0.7386208176612854,False,False,True,plm_check_confident_pos
discogs_103437,lastFM_43813,discogs,lastfm,0.7931776642799377,False,False,True,plm_check_confident_pos
discogs_103623,lastFM_5973,discogs,lastfm,0.8260096311569214,False,False,True,plm_check_confident_pos
discogs_10374,lastFM_5080,discogs,lastfm,0.8808094263076782,False,True,True,agreement
discogs_10378,lastFM_3877,discogs,lastfm,0.9362833499908447,False,True,True,agreement
discogs_103951,lastFM_47070,discogs,lastfm,0.9740955829620361,False,False,True,plm_check_confident_pos
discogs_103985,lastFM_47081,discogs,lastfm,0.9599063396453857,False,False,True,plm_check_confident_pos
discogs_10399,lastFM_5093,discogs,lastfm,0.975482165813446,False,True,True,agreement
discogs_10409,lastFM_5096,discogs,lastfm,0.9721643924713135,False,False,True,plm_check_confident_pos
discogs_104248,lastFM_23458,discogs,lastfm,0.6598523855209351,False,False,True,plm_check_llm_yes
discogs_10429,lastFM_5105,discogs,lastfm,0.9737449288368225,False,True,True,agreement
discogs_104349,lastFM_47212,discogs,lastfm,0.9735695123672485,False,True,True,agreement
discogs_104360,lastFM_47216,discogs,lastfm,0.9230697751045227,False,False,True,plm_check_confident_pos
discogs_104396,lastFM_37496,discogs,lastfm,0.9419025778770447,False,False,True,plm_check_confident_pos
discogs_104396,lastFM_38732,discogs,lastfm,0.9414926171302795,False,False,True,plm_check_confident_pos
discogs_104396,lastFM_38926,discogs,lastfm,0.9746415019035339,False,False,True,plm_check_confident_pos
discogs_104396,lastFM_64418,discogs,lastfm,0.936684787273407,False,False,True,plm_check_confident_pos
discogs_104500,lastFM_47274,discogs,lastfm,0.9734988212585449,False,True,True,agreement
discogs_10480,lastFM_5124,discogs,lastfm,0.9725015759468079,False,True,True,agreement
discogs_104874,lastFM_69002,discogs,lastfm,0.9736942648887634,False,False,True,plm_check_confident_pos
