source_dataset,source_column,target_dataset,target_column,score
products_1,id,products,id,1.0
products_1,manufacturer,products,brand,1.0
products_1,product_name,products,title,1.0
products_1,product_description,products,description,1.0
products_1,list_price,products,price,1.0
products_1,currency_code,products,priceCurrency,1.0
products_1,cluster_id,products,cluster_id,1.0
products_1,product_url,products,url,1.0
products_1,name_and_description,products,title_description,1.0
products_1,model_name,products,model,1.0
products_1,manufacturer_part_number,products,model_number,1.0
products_1,category,products,product_type,1.0
products_1,gpu_chipset,products,chipset_name,1.0
products_1,video_memory_gb,products,vram_gb,1.0
products_1,capacity_gb,products,storage_gb,1.0
products_1,sequential_read_mb_s,products,read_speed_mb_s,1.0
products_1,sequential_write_mb_s,products,write_speed_mb_s,1.0
products_1,bus_standard,products,bus_type,1.0
products_1,interface,products,interface_type,1.0
products_1,width_millimeters,products,width_mm,1.0
products_1,length_millimeters,products,length_mm,1.0
products_1,height_millimeters,products,height_mm,1.0
products_1,weight_grams,products,weight_g,1.0
products_1,connector,products,storage_connection_type,1.0
products_1,memory_technology,products,memory_type,1.0
products_1,colour,products,color,1.0
products_1,form_factor,products,form_factor,1.0
products_2,id,products,id,1.0
products_2,brandName,products,brand,1.0
products_2,name,products,title,1.0
products_2,descriptionText,products,description,1.0
products_2,priceAmount,products,price,1.0
products_2,currency,products,priceCurrency,1.0
products_2,cluster_id,products,cluster_id,1.0
products_2,productUrl,products,url,1.0
products_2,titleAndDescription,products,title_description,1.0
products_2,modelName,products,model,1.0
products_2,mpn,products,model_number,1.0
products_2,productCategory,products,product_type,1.0
products_2,chipset,products,chipset_name,1.0
products_2,vramGb,products,vram_gb,1.0
products_2,capacityGb,products,storage_gb,1.0
products_2,readSpeedMbps,products,read_speed_mb_s,1.0
products_2,writeSpeedMbps,products,write_speed_mb_s,1.0
products_2,busType,products,bus_type,1.0
products_2,interfaceType,products,interface_type,1.0
products_2,widthMm,products,width_mm,1.0
products_2,depthMm,products,length_mm,1.0
products_2,heightMm,products,height_mm,1.0
products_2,weightG,products,weight_g,1.0
products_2,connectionType,products,storage_connection_type,1.0
products_2,memoryType,products,memory_type,1.0
products_2,color,products,color,1.0
products_2,formFactor,products,form_factor,1.0
products_3,id,products,id,1.0
products_3,Brand,products,brand,1.0
products_3,ProductTitle,products,title,1.0
products_3,Details,products,description,1.0
products_3,Price,products,price,1.0
products_3,Currency,products,priceCurrency,1.0
products_3,cluster_id,products,cluster_id,1.0
products_3,Link,products,url,1.0
products_3,TitleDetails,products,title_description,1.0
products_3,Model,products,model,1.0
products_3,PartNo,products,model_number,1.0
products_3,Type,products,product_type,1.0
products_3,Chipset,products,chipset_name,1.0
products_3,MemorySizeGB,products,vram_gb,1.0
products_3,CapacityGB,products,storage_gb,1.0
products_3,ReadMBs,products,read_speed_mb_s,1.0
products_3,WriteMBs,products,write_speed_mb_s,1.0
products_3,Bus,products,bus_type,1.0
products_3,Interface,products,interface_type,1.0
products_3,WidthMM,products,width_mm,1.0
products_3,LengthMM,products,length_mm,1.0
products_3,HeightMM,products,height_mm,1.0
products_3,WeightG,products,weight_g,1.0
products_3,Connector,products,storage_connection_type,1.0
products_3,MemoryType,products,memory_type,1.0
products_3,Colour,products,color,1.0
products_3,FormFactor,products,form_factor,1.0
products_4,id,products,id,1.0
products_4,mfr,products,brand,1.0
products_4,name,products,title,1.0
products_4,desc,products,description,1.0
products_4,amt,products,price,1.0
products_4,cur,products,priceCurrency,1.0
products_4,cluster_id,products,cluster_id,1.0
products_4,link,products,url,1.0
products_4,name_desc,products,title_description,1.0
products_4,mdl,products,model,1.0
products_4,pn,products,model_number,1.0
products_4,cat,products,product_type,1.0
products_4,chip,products,chipset_name,1.0
products_4,vram,products,vram_gb,1.0
products_4,cap_gb,products,storage_gb,1.0
products_4,rd_mbs,products,read_speed_mb_s,1.0
products_4,wr_mbs,products,write_speed_mb_s,1.0
products_4,bus,products,bus_type,1.0
products_4,iface,products,interface_type,1.0
products_4,w_mm,products,width_mm,1.0
products_4,l_mm,products,length_mm,1.0
products_4,h_mm,products,height_mm,1.0
products_4,wt_g,products,weight_g,1.0
products_4,conn,products,storage_connection_type,1.0
products_4,mem,products,memory_type,1.0
products_4,clr,products,color,1.0
products_4,ff,products,form_factor,1.0
