column,type,metric,value,silver_value,pipe_value
artist,text,column_drift,0.7174070697396293,,
artist,text,length_wasserstein_1,1.2208312021644983,,
artist,text,token_js_divergence,0.36577066821118054,,
artist,text,nan_rate_delta,0.0,0.0,0.0
artist,text,cardinality_delta,17327.0,3407.0,20734.0
duration,numerical,column_drift,0.002884946940578059,,
duration,numerical,wasserstein_1,372.8623138484825,,
duration,numerical,ks_statistic,0.09262253267787574,,
duration,numerical,nan_rate_delta,0.4473203703110485,0.0,0.4473203703110485
duration,numerical,cardinality_delta,2392.0,2475.0,4867.0
genre,categorical,column_drift,0.05628457080681647,,
genre,categorical,js_divergence,0.05628457080681647,,
genre,categorical,nan_rate_delta,-0.009045755408218836,0.28421633554083886,0.27517058013262
genre,categorical,cardinality_delta,254.0,103.0,357.0
label,categorical,column_drift,0.5191312109146727,,
label,categorical,js_divergence,0.5191312109146727,,
label,categorical,nan_rate_delta,-0.009045755408218836,0.28421633554083886,0.27517058013262
label,categorical,cardinality_delta,10001.0,1989.0,11990.0
name,text,column_drift,0.6880356380576456,,
name,text,length_wasserstein_1,4.256560499631546,,
name,text,token_js_divergence,0.17939481077376077,,
name,text,nan_rate_delta,0.0,0.0,0.0
name,text,cardinality_delta,18841.0,3266.0,22107.0
release-country,categorical,column_drift,0.5951869954468247,,
release-country,categorical,js_divergence,0.5951869954468247,,
release-country,categorical,nan_rate_delta,0.16892293007552842,0.08167770419426049,0.2506006342697889
release-country,categorical,cardinality_delta,66.0,62.0,128.0
