Blocking Key Value,Frequency
van der,14152
yang liu,13923
da silva,12642
wei wang,10379
wei zhang,5475
lei wang,4556
yang li,4355
jun wang,4352
jinde cao,4275
de la,3900
wei chen,3876
wei liu,3658
wei li,3364
wang wei,3159
mohammad reza,3000
yu zhang,2915
min zhang,2912
arun kumar,2862
jing li,2856
li wei,2709
de souza,2508
de oliveira,2499
lei zhang,2484
yan wang,2448
zhang wei,2280
yu wang,2256
rui wang,2244
zeshui xu,2236
hao zhang,2208
xin wang,2160
yong li,2150
hao wang,2112
dos santos,2100
fan zhang,2025
yang zhang,1974
van de,1892
kumar singh,1880
rajkumar buyya,1845
kimkwang raymond,1763
raymond choo,1763
jie zhang,1722
tao li,1722
yan li,1720
li zhang,1715
meng wang,1702
qi wang,1681
jian wang,1677
xin liu,1634
jun li,1620
fan yang,1599
van den,1599
huan liu,1591
kai wang,1560
jing zhang,1554
jun zhang,1548
rajendra acharya,1530
yu liu,1521
tao zhang,1482
xiang li,1462
zhen wang,1452
yang wang,1443
jian li,1443
zheng wang,1443
bo li,1404
jing wang,1369
kumar sangaiah,1369
dinggang shen,1360
fei wang,1332
xin li,1330
yi zhang,1302
qian zhang,1296
jie yang,1260
wang jun,1254
chen wang,1254
jie li,1224
ur rehman,1224
yang chen,1200
peng li,1188
hamido fujita,1188
wei lu,1184
peng wang,1156
jian zhang,1147
liu yang,1134
xiangnan he,1122
yue zhang,1122
hao chen,1110
fuad alsaadi,1110
chao zhang,1088
liu wei,1080
li yu,1080
maarten de,1054
wei wu,1054
liu jun,1044
yan zhang,1026
li yang,1025
yi yang,1008
rui zhang,992
yu li,990
muhammad imran,986
jun liu,986
bin liu,961
de rijke,957
zhang yu,945
liqiang nie,930
lei zhu,900
shuai li,900
chao wang,899
li wang,896
li chen,896
yiqun liu,891
bo liu,870
jie chen,868
hong zhang,868
qi liu,864
tingwen huang,850
dong wang,840
xin zhao,840
yong wang,837
hui xiong,837
hui li,837
jin wang,837
yu zheng,832
feng li,812
xu chen,812
qi zhang,812
yong liu,810
neeraj kumar,810
min yang,806
yu zhou,806
wang yang,805
muhammad ali,800
ying wang,783
hongzhi yin,783
zhang yi,783
cheng wang,775
wang jian,759
francisco herrera,756
xing xie,754
xi chen,754
lei chen,750
ali khan,748
hamid reza,736
juan manuel,736
licheng jiao,735
philip yu,729
li liu,729
hao wu,729
ju park,729
chen li,728
peng zhang,720
yang yu,720
fei wu,702
rui yan,702
florian alt,702
cheng zhang,702
bin wang,702
di wu,702
ying liu,700
chen wei,680
tao wang,676
wei xu,675
jing chen,675
yu chen,675
xin chen,675
xin xia,672
rui li,672
jun hu,672
wei zhao,667
peng shi,667
juan pablo,660
shouming zhong,660
li yan,651
li yong,651
jun ma,650
chao li,650
liang zhao,650
david lo,650
qi li,650
niels henze,648
erik cambria,648
chang xu,648
ying zhang,648
wei sun,648
xuelong li,630
jian yang,625
zidong wang,624
yang gao,616
yi wang,616
chen zhang,609
jie wang,609
chen yang,600
pan hui,600
jun zhou,600
lu liu,600
kai zhang,600
yi li,600
wang yi,600
mark billinghurst,600
ping li,600
jianwei xia,600
juan carlos,594
jing liu,594
bo yang,594
josé luis,594
peide liu,594
jun yang,588
jin li,576
wang lei,576
feng wang,576
josé manuel,576
fabio palomba,575
lin zhang,575
huchang liao,575
jian liu,572
bo chen,572
florentin smarandache,572
wang jing,570
guanghong yang,567
onur mutlu,552
lina yao,552
ming liu,552
jie zhou,552
qing li,552
ming li,552
josé carlos,552
witold pedrycz,552
li jun,550
gang wang,550
lu wang,550
feng qian,546
gang li,546
mohammad hossein,546
khan muhammad,546
wang bo,544
peng liu,540
chao huang,529
pattie maes,529
da costa,529
enhong chen,528
pushpak bhattacharyya,528
zhengjun zha,528
bin li,528
syed ali,528
li jian,528
li yi,527
francisco javier,527
xin zhang,525
qian wang,525
wang yan,513
tong zhang,506
fang liu,506
albrecht schmidt,506
yan liu,506
ping wang,506
zhang lei,504
xiao wang,504
yong he,504
hui liu,494
chen jun,493
zhang yong,493
zhang hao,486
ting liu,484
ali asghar,484
qiang liu,484
min wu,484
jun xu,483
chang liu,483
jun zhao,483
yong zhang,483
lu zhang,483
feng liu,483
jie xiong,483
shaoping ma,480
lin li,480
wang bin,480
wang xin,468
yang xu,468
liang wang,462
victor chang,462
kumar sharma,462
tian wang,460
jing yang,460
lei shi,460
jun cheng,460
hao li,460
zhang jing,459
xinwang liu,456
xiang zhang,456
victor hugo,456
lei guo,456
ye yuan,441
yiran chen,440
