source_dataset,source_column,target_dataset,target_column,score
crossref,id,papers,id,1.0
crossref,doi,papers,doi,1.0
crossref,typ,papers,type,1.0
crossref,ttl,papers,title,1.0
crossref,auth_list,papers,authors,1.0
crossref,pub_year,papers,publication_year,1.0
crossref,venue,papers,journal,1.0
crossref,publ,papers,publisher,1.0
crossref,kw_list,papers,keywords,1.0
crossref,vol,papers,volume,1.0
crossref,iss_no,papers,issue,1.0
crossref,pg_first,papers,first_page,1.0
crossref,pg_last,papers,last_page,1.0
crossref,ref_count,papers,referenced_works_count,1.0
crossref,cited_count,papers,cited_by_count,1.0
dblp,id,papers,id,1.0
dblp,doi,papers,doi,1.0
dblp,ty,papers,type,1.0
dblp,t,papers,title,1.0
dblp,au,papers,authors,1.0
dblp,py,papers,publication_year,1.0
dblp,j,papers,journal,1.0
dblp,pb,papers,publisher,1.0
dblp,kw,papers,keywords,1.0
dblp,v,papers,volume,1.0
dblp,i,papers,issue,1.0
dblp,fp,papers,first_page,1.0
dblp,lp,papers,last_page,1.0
dblp,rc,papers,referenced_works_count,1.0
dblp,cc,papers,cited_by_count,1.0
open_alex,id,papers,id,1.0
open_alex,doi,papers,doi,1.0
open_alex,Attribute_3,papers,type,1.0
open_alex,Attribute_4,papers,title,1.0
open_alex,Attribute_5,papers,authors,1.0
open_alex,Attribute_6,papers,publication_year,1.0
open_alex,Attribute_7,papers,journal,1.0
open_alex,Attribute_8,papers,publisher,1.0
open_alex,Attribute_9,papers,keywords,1.0
open_alex,Attribute_10,papers,volume,1.0
open_alex,Attribute_11,papers,issue,1.0
open_alex,Attribute_12,papers,first_page,1.0
open_alex,Attribute_13,papers,last_page,1.0
open_alex,Attribute_14,papers,referenced_works_count,1.0
open_alex,Attribute_15,papers,cited_by_count,1.0
