entity_id,source,attribute,original_value,attempted_format,reason,knob,level
k02_noncorner_products_00040__products_1,products_1,capacity_gb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00087__products_1,products_1,capacity_gb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00343__products_1,products_1,capacity_gb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00040__products_1,products_1,video_memory_gb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00087__products_1,products_1,video_memory_gb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00343__products_1,products_1,video_memory_gb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00040__products_2,products_2,capacityGb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00087__products_2,products_2,capacityGb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00343__products_2,products_2,capacityGb,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00040__products_2,products_2,vramGb,N/A,locale:plain,roundtrip_parse_fail,5,easy
k02_noncorner_products_00087__products_2,products_2,vramGb,N/A,locale:plain,roundtrip_parse_fail,5,easy
k02_noncorner_products_00343__products_2,products_2,vramGb,N/A,locale:plain,roundtrip_parse_fail,5,easy
k02_noncorner_products_00040__products_3,products_3,CapacityGB,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00087__products_3,products_3,CapacityGB,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00343__products_3,products_3,CapacityGB,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_6671717,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_73060691,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_46330427,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_18374077,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_7648155,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_65837616,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_10070749,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_4547853,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_98496862,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_21446102,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_2679211,products_3,CapacityGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00040__products_3,products_3,MemorySizeGB,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00087__products_3,products_3,MemorySizeGB,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k02_noncorner_products_00343__products_3,products_3,MemorySizeGB,N/A,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_6671717,products_3,MemorySizeGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_73060691,products_3,MemorySizeGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_46330427,products_3,MemorySizeGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_18374077,products_3,MemorySizeGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_7648155,products_3,MemorySizeGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_65837616,products_3,MemorySizeGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_10070749,products_3,MemorySizeGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
k04__fab__products_3__products_1_4547853,products_3,MemorySizeGB,<NA>,locale:en_US,roundtrip_parse_fail,5,easy
