source_dataset,source_column,target_dataset,target_column,score
discogs,id,music,id,1.0
discogs,name,music,name,1.0
discogs,artist,music,artist,1.0
discogs,release-date,music,release-date,1.0
discogs,release-country,music,release-country,1.0
discogs,duration,music,duration,1.0
discogs,label,music,label,1.0
discogs,genre,music,genre,1.0
discogs,tracks,music,tracks,1.0
lastfm,id,music,id,1.0
lastfm,t_nm,music,name,1.0
lastfm,ar_nm,music,artist,1.0
lastfm,rd,music,release-date,1.0
lastfm,cc,music,release-country,1.0
lastfm,dur_s,music,duration,1.0
lastfm,lb_nm,music,label,1.0
lastfm,gn,music,genre,1.0
lastfm,tnms,music,tracks,1.0
musicbrainz,id,music,id,1.0
musicbrainz,rel_nm,music,name,1.0
musicbrainz,art,music,artist,1.0
musicbrainz,rel_dt,music,release-date,1.0
musicbrainz,rel_ctry,music,release-country,1.0
musicbrainz,dur,music,duration,1.0
musicbrainz,lbl,music,label,1.0
musicbrainz,gnr,music,genre,1.0
musicbrainz,trks,music,tracks,1.0
