id,nm,ly,stu,sys,g,fran
dbpedia_1,San Francisco Rush 2049,2006-01-0,Hamdbeld Gqmes,Game Boy Color,Racing video game,
dbpedia_2,RoboCop (1988 video game),"January 01, 1989",Ocean Software,Arcade video game,Beat 'em up,
dbpedia_3,,"January 01, 2016",Key (company),PS Vita,,
dbpedia_4,Fallout 2,01.01.1998,Black Isle Studios,Mac OS X,Role-playing video game,Fallout (series)
dbpedia_5,SpongeBob SquarePants: Creature from the Krusty Krab,"January 01, 2006",Blitz Games Studio,Wii,Platform game,5ponge8ob SquarePants video games
dbpedia_6,Transformers: Fall of Cybertron,,High Moon Studios,PS4,Third-person shooter,
dbpedia_7,List of Monster Jam video games,01.01.2003,Ubi Soft Barcelona,,Racing game,
dbpedia_8,Onimusha: Warlords,2002-01-01,,Xbox One,Hack and slash,
dbpedia_9,Nicktoons: Battle for Volcano Island,,,PS2,Action Adventure,
dbpedia_10,Grid Autosport,"January 01, 2019",,Xbox 360,Racing video game,Gtud (sefies)
dbpedia_11,Mario Kart Arcade GP,"January 01, 2005",Namco,Arcade game,Racing video game,
dbpedia_12,,"January 01, 2006",Exient Entertainment,Mac OS X,,
dbpedia_13,Delta Force: Black Hawk Down,2003-01-01,NovaLogic,,FPS,
dbpedia_14,Wizorb,01.01.2011,Tribute Games,PlayStation Portable,clone Breakout,
dbpedia_15,Syberia,01.01.2004,MC2-Microïds,Switch,Graphic adventure game,
dbpedia_16,Mega Man 8,299t-01-p1,Fw0com,Playstation,Platform game,
dbpedia_17,List of Fire Pro Wrestling games,01.01.1994,Spike Chunsoft,,Fighting game,Firc Pro Wresthng
dbpedia_18,Task Force Harrier,"January 01, 1991",NMK (company),Mega Drive/Genesis,Zxdolling shooter,
dbpedia_19,James Bond 007: Nightfire,,,Microsoft Windows,First-person shooter,James Bond in video games
dbpedia_20,Krypton Egg,"January 01, 2009",,Palm OS,Breakout clone,
dbpedia_21,Ivy the Kiwi?,2010-01-01,Prope,Wii,Platformer,
dbpedia_22,Heavy Fire,2913-02-91,Teyon,Wii,Shooter,
dbpedia_23,Hamtaro (video game series),2005-01-01,ImaginEngine,Game Boy Advance,Quiz,
dbpedia_24,Ultimate Marvel vs. Capcom 3,,Eighting,Microsoft Windows,Fighter,
dbpedia_25,,,Interplay Entertainment,Linux,Platform game,
dbpedia_26,Bomberman Touch 2,"January 01, 2009","Hudson Soft Co., Ltd.",IOS,List of maze video games,
