Blocking Key Value,Frequency
yang liu,16779
van der,13456
da silva,12900
wei wang,9021
jinde cao,6375
wei zhang,6000
jun wang,5576
lei wang,5372
yang li,4615
de la,3965
wei liu,3481
wei chen,3477
wei li,3306
mohammad reza,3300
min zhang,3136
yu zhang,3080
zeshui xu,2860
yan wang,2856
yu wang,2832
wang wei,2808
jing li,2805
hao zhang,2784
de oliveira,2703
dos santos,2700
arun kumar,2650
rui wang,2601
de souza,2565
li wei,2451
zhang wei,2400
lei zhang,2300
kumar singh,2256
xin wang,2256
yang zhang,2162
xiang li,2064
zhen wang,2024
fan zhang,1980
huan liu,1935
kimkwang raymond,1935
raymond choo,1935
li zhang,1925
van de,1892
xin liu,1849
qi wang,1845
jie zhang,1806
yong li,1763
van den,1722
tao zhang,1716
jun li,1710
jing zhang,1702
rajendra acharya,1700
jian li,1677
hao wang,1672
tao li,1640
rajkumar buyya,1640
fan yang,1638
bo li,1638
yan li,1520
dinggang shen,1520
tingwen huang,1496
wang jun,1485
kai wang,1482
yu liu,1482
jing wang,1480
zheng wang,1443
fuad alsaadi,1443
jun zhang,1440
xin li,1406
jian zhang,1406
jie yang,1400
ur rehman,1368
licheng jiao,1365
jian wang,1365
meng wang,1332
lei zhu,1296
jie li,1296
hao chen,1295
kumar sangaiah,1295
chen wang,1254
yang wang,1248
josé manuel,1248
qian zhang,1224
peng wang,1224
jun liu,1224
wei lu,1221
fei wang,1221
yan zhang,1216
peng li,1188
yi zhang,1178
liu wei,1152
yiqun liu,1122
yue zhang,1122
chao zhang,1122
yi yang,1116
rui zhang,1116
li yu,1107
liu jun,1102
hamid reza,1056
xiangnan he,1054
shouming zhong,1050
shuai li,1020
zhang yu,999
chao wang,992
juan carlos,990
hamido fujita,990
muhammad imran,986
wei zhao,986
ali khan,986
li chen,980
maarten de,961
liqiang nie,961
bin liu,961
min yang,961
jie chen,952
yang chen,930
xuelong li,930
zhang yi,928
yong wang,899
hui li,899
muhammad ali,896
li liu,891
yu li,891
jian yang,875
li yang,875
wang yang,874
xin zhao,870
wei wu,868
li wang,868
liu yang,864
xin chen,864
guanghong yang,864
de rijke,841
xing xie,841
peng shi,841
dong wang,840
xu chen,840
yong liu,840
yi wang,840
ying liu,840
hong zhang,840
jianwei xia,840
qi liu,837
bin wang,837
hongzhi yin,812
yang gao,812
jie wang,812
francisco herrera,812
bo yang,810
josé luis,792
ying wang,783
cheng zhang,783
xi chen,783
di wu,780
jin wang,756
yu zheng,754
bo liu,754
lei chen,750
juan pablo,750
philip yu,729
florian alt,729
hui xiong,729
wei xu,729
ju park,729
chao li,728
chen li,728
li jun,726
yu chen,725
lu wang,725
harish garg,725
xiao wang,720
wei sun,720
wang yan,703
fei wu,702
xinbo gao,702
wang lei,702
yu zhou,702
bo chen,702
tao wang,702
neeraj kumar,702
liang zhao,700
rui li,700
jun hu,700
qi zhang,696
wang jian,690
chen yang,680
jun ma,676
peng liu,675
erik cambria,675
david lo,675
kai zhang,672
peng zhang,672
li yong,672
yang yu,672
witold pedrycz,672
chen wei,660
li yan,651
francisco javier,651
xin zhang,650
mohammad hossein,650
qian wang,650
qi li,650
shaoping ma,648
niels henze,648
jun zhou,648
lin li,648
chen jun,646
tong zhang,644
cheng wang,625
jing chen,625
fabio palomba,625
gang wang,625
wang bo,624
xin xia,624
jun xu,621
jungong han,621
ming li,621
wang yi,620
feng li,609
yong he,609
haijun jiang,609
wang jing,608
mark billinghurst,600
huchang liao,600
jian liu,598
gang li,598
jun cheng,598
zidong wang,598
hao wu,594
wang xin,594
ying zhang,594
hui wang,594
jin li,576
jie zhou,576
feng wang,576
lei guo,576
juan manuel,576
qing li,575
yun zhang,575
mohammad ali,575
yang xu,572
victor chang,572
xiang chen,570
liang wang,567
jing liu,567
onur mutlu,552
chao huang,552
pan hui,552
lu liu,552
feiping nie,552
syed ali,552
josé carlos,552
yiran chen,550
ali asghar,550
yong xu,550
zhi liu,550
feng qian,546
wang yu,544
chang xu,540
zhang hao,540
ming liu,529
pattie maes,529
jie xiong,529
enrique herreraviedma,529
enhong chen,528
yi li,528
ping li,528
min wu,528
zhang peng,527
ming zhou,525
yi liu,525
rui yan,520
muhammad akram,520
joni salminen,506
bernard jansen,506
zhengjun zha,506
jie tang,506
ping wang,506
wei gao,504
xinwang liu,504
chen zhang,504
lu zhang,504
xin luo,500
qiang zhang,500
zhang jun,496
li jian,496
hua wang,494
zhang lei,486
ying shen,484
bin li,484
albrecht schmidt,484
lina yao,483
zhe wang,483
fang liu,483
yong zhang,483
fei liu,483
lei shi,483
kumar sharma,483
khan muhammad,483
zhigang zeng,483
jiaxin mao,480
jing yang,480
zhang yong,476
li yi,476
hui liu,475
liang gao,475
cheng hu,475
jiawei han,468
xu yang,468
jun yang,462
zheng zhang,462
zenglin xu,462
pushpak bhattacharyya,462
ting liu,462
jun zhao,462
ye yuan,462
margot brereton,462
feng liu,462
joel rodrigues,462
xiao zhang,460
min li,460
yan liu,460
hao li,460
li cheng,459
zhang jing,459
chen peng,459
zhang bin,456
qiang yang,441
zi huang,440
yang lu,440
xiaoyu zhang,440
qiang liu,440
peng chen,440
yang zhao,440
tianrui li,440
philip chen,440
sun wei,437
kai zheng,437
wei yang,437
lin zhang,437
juan antonio,437
huaguang zhang,437
kumar das,432
xiaodi li,432
amir masoud,432
zhang yan,425
li xu,420
zhou zhao,420
de almeida,420
li xin,420
rajesh kumar,420
fei gao,420
lin liu,420
tien bui,420
amit kumar,418
josé antonio,418
wang qiang,418
fan li,418
ying li,418
wang bin,416
zhe chen,414
da costa,414
ling shao,414
li bin,405
soongyo jung,400
shuai wang,400
andreas riener,400
saleem abdullah,400
tahir mahmood,400
lutz bornmann,400
jian huang,399
yuan xie,399
chang liu,399
wei zhou,399
jingjing li,399
chi zhang,399
hui zhang,399
hongfei lin,399
xu wang,396
enrico rukzio,396
shui yu,396
xue li,396
lei li,391
wang rui,391
wang ying,380
ahmed hassan,380
tian wang,380
lin wang,380
wei feng,380
chao chen,380
hao shen,380
junyu dong,380
hao zhou,380
ming zhang,380
wen zhang,380
william odom,380
qing wang,380
xiang zhang,380
victor hugo,380
ning li,380
jie xu,378
wang liang,378
qi tian,378
long chen,378
francisco josé,378
jun chen,378
xin gao,378
bin jiang,378
ashish kumar,378
syed muhammad,378
seyedali mirjalili,378
quanxin zhu,378
chinchen chang,378
wang hao,375
bo zhang,374
bin guo,374
zheng yan,374
liu bo,364
li lei,364
wei hu,361
nitesh chawla,361
neha kumar,361
dieu tien,361
hui huang,361
shengyuan xu,361
chengqing zong,360
di jin,360
wang qi,360
ana paula,360
kai li,360
sherali zeadally,360
aboul ella,360
tong li,357
yan xu,357
yang zhou,352
li peng,352
li bo,350
wang jie,348
jirong wen,342
tatseng chua,342
quoc viet,342
wenjie li,342
dan li,342
luo si,342
xiao liu,342
lin xiao,342
iryna gurevych,342
xin jin,342
min chen,342
katherine isbister,342
dong yue,342
hossam faris,342
vijay kumar,342
guangdeng zong,342
yu qiao,340
feng zhou,340
zhang fei,340
zhao kang,340
chun yu,340
muhammad usman,340
zhang jie,338
xiang wang,336
huang wei,336
wang peng,330
shyiming chen,330
wu wei,325
jian sun,324
jan van,324
philipp wintersberger,324
brett becker,324
wang li,324
fei li,324
mohsen guizani,324
chingnung yang,324
huaxiang zhang,323
