cluster_size,frequency,percentage
2,774,19.912528942629276
3,864,22.22793928479547
4,341,8.772832518651917
5,295,7.5894005659891945
6,220,5.659891947517366
7,184,4.733727810650888
8,158,4.064831489580654
9,119,3.0614870079753023
10,84,2.161049652688449
11,74,1.9037818368922048
12,51,1.312065860560844
13,52,1.3377926421404682
14,46,1.183431952662722
15,37,0.9518909184461024
16,34,0.8747105737072292
17,33,0.8489837921276049
18,29,0.7460766658091073
19,35,0.9004373552868536
20,30,0.7718034473887316
21,35,0.9004373552868536
22,31,0.797530228968356
23,20,0.5145356315924877
24,23,0.591715976331361
25,18,0.463082068433239
26,17,0.4373552868536146
27,18,0.463082068433239
28,21,0.5402624131721122
29,17,0.4373552868536146
30,6,0.15436068947774634
31,9,0.2315410342166195
32,14,0.36017494211474144
33,9,0.2315410342166195
34,12,0.3087213789554927
35,11,0.2829945973758683
36,9,0.2315410342166195
37,3,0.07718034473887317
38,6,0.15436068947774634
39,8,0.20581425263699513
40,4,0.10290712631849756
41,9,0.2315410342166195
42,8,0.20581425263699513
43,4,0.10290712631849756
44,3,0.07718034473887317
45,4,0.10290712631849756
46,4,0.10290712631849756
47,6,0.15436068947774634
48,3,0.07718034473887317
49,3,0.07718034473887317
51,2,0.05145356315924878
53,5,0.12863390789812193
54,2,0.05145356315924878
55,2,0.05145356315924878
56,4,0.10290712631849756
57,3,0.07718034473887317
58,2,0.05145356315924878
59,2,0.05145356315924878
60,1,0.02572678157962439
61,1,0.02572678157962439
62,4,0.10290712631849756
63,2,0.05145356315924878
64,2,0.05145356315924878
65,4,0.10290712631849756
66,1,0.02572678157962439
67,3,0.07718034473887317
69,1,0.02572678157962439
70,2,0.05145356315924878
71,2,0.05145356315924878
72,1,0.02572678157962439
73,2,0.05145356315924878
75,2,0.05145356315924878
76,2,0.05145356315924878
77,2,0.05145356315924878
78,1,0.02572678157962439
80,2,0.05145356315924878
82,3,0.07718034473887317
86,1,0.02572678157962439
90,1,0.02572678157962439
94,3,0.07718034473887317
100,1,0.02572678157962439
101,1,0.02572678157962439
107,1,0.02572678157962439
108,1,0.02572678157962439
109,1,0.02572678157962439
112,1,0.02572678157962439
113,1,0.02572678157962439
120,1,0.02572678157962439
132,1,0.02572678157962439
137,1,0.02572678157962439
139,1,0.02572678157962439
143,1,0.02572678157962439
150,1,0.02572678157962439
159,1,0.02572678157962439
166,1,0.02572678157962439
171,1,0.02572678157962439
182,1,0.02572678157962439
201,1,0.02572678157962439
205,1,0.02572678157962439
207,1,0.02572678157962439
228,1,0.02572678157962439
235,1,0.02572678157962439
259,1,0.02572678157962439
262,1,0.02572678157962439
277,1,0.02572678157962439
283,1,0.02572678157962439
1366,1,0.02572678157962439
