Target Column,Crossref,Dblp,Open_Alex
id,id,id,id
type,type,type,type
title,title,title,title
authors,authors,authors,authors
publication_year,publication_year,publication_year,publication_year
journal,journal,journal,journal
volume,volume,volume,volume
issue,issue,issue,issue
first_page,first_page,first_page,first_page
last_page,last_page,last_page,last_page
referenced_works_count,referenced_works_count,referenced_works_count,referenced_works_count
cited_by_count,cited_by_count,cited_by_count,cited_by_count
Mapped,12/12,12/12,12/12
