source,entity_id,compromised,knob,level
dbpedia,metacritic_10433,True,10,medium
dbpedia,metacritic_12629,True,10,medium
dbpedia,metacritic_13227,True,10,medium
dbpedia,metacritic_16635,True,10,medium
dbpedia,metacritic_17161,True,10,medium
dbpedia,metacritic_17545,True,10,medium
dbpedia,metacritic_18845,True,10,medium
dbpedia,metacritic_19659,True,10,medium
dbpedia,metacritic_2081,True,10,medium
dbpedia,metacritic_5020,True,10,medium
metacritic,metacritic_13593,True,10,medium
metacritic,metacritic_15253,True,10,medium
metacritic,metacritic_15553,True,10,medium
metacritic,metacritic_16320,True,10,medium
metacritic,metacritic_16635,True,10,medium
metacritic,metacritic_18845,True,10,medium
metacritic,metacritic_4551,True,10,medium
metacritic,metacritic_470,True,10,medium
metacritic,metacritic_8948,True,10,medium
metacritic,metacritic_9080,True,10,medium
sales,metacritic_13588,True,10,medium
sales,metacritic_14340,True,10,medium
sales,metacritic_15553,True,10,medium
sales,metacritic_18314,True,10,medium
sales,metacritic_423,True,10,medium
sales,metacritic_4748,True,10,medium
sales,metacritic_658,True,10,medium
sales,metacritic_6785,True,10,medium
sales,metacritic_8739,True,10,medium
sales,metacritic_8878,True,10,medium
