Target Column,Products_1,Products_2,Products_3,Products_4
id,id,id,id,id
brand,brand,brnd,br,brnd
title,title,prd_ttl,t,prd_ttl
description,description,desc,dsc,desc
price,price,prc,amt,prc
priceCurrency,priceCurrency,cur,ccy,cur
url,product_url,productUrl,Link,link
title_description,title_description,t_desc,tdsc,t_desc
model,model,mdl,m,mdl
model_number,model_number,mdl_no,mno,mdl_no
product_type,product_type,prd_typ,ptyp,prd_typ
chipset_name,chipset_name,chip,cn,chip
vram_gb,vram_gb,vram,vrm,vram
storage_gb,storage_gb,stor,stg,stor
read_speed_mb_s,read_speed_mb_s,rd_speed_mbs,rs,rd_speed_mbs
write_speed_mb_s,write_speed_mb_s,wr_speed_mbs,ws,wr_speed_mbs
bus_type,bus_type,bus_t,bt,bus_t
interface_type,interface_type,iface_t,it,iface_t
width_mm,width_mm,w_mm,wd,w_mm
length_mm,length_mm,l_mm,ln,l_mm
height_mm,height_mm,h_mm,ht,h_mm
weight_g,weight_g,wt_g,wt,wt_g
storage_connection_type,storage_connection_type,stor_conn,sc,stor_conn
memory_type,memory_type,mem_t,mt,mem_t
color,color,clr,col,clr
form_factor,form_factor,form_f,ff,form_f
Mapped,26/26,26/26,26/26,26/26
