source,attribute,baseline_alignment_rate,n_cells,n_aligned
dbpedia,revenue,0.0,131,0
dbpedia,founded,0.740458,131,97
dbpedia,city,0.457364,129,59
dbpedia,country,0.671756,131,88
dbpedia,name,0.603053,131,79
dbpedia,industry,0.0,0,0
dbpedia,assets,0.007634,131,1
forbes,assets,0.0,193,0
forbes,industry,0.0,0,0
forbes,name,0.958549,193,185
forbes,country,0.790576,191,151
forbes,revenue,0.0,193,0
fullcontact,name,0.307692,156,48
fullcontact,country,0.421769,147,62
fullcontact,city,0.41844,141,59
fullcontact,industry,0.0,0,0
fullcontact,founded,0.648855,131,85
