source,attribute,null_rate
crossref,authors,0.0006584470526263807
crossref,cited_by_count,0.0
crossref,first_page,0.0
crossref,issue,0.5124199575301651
crossref,journal,0.23118076017712225
crossref,keywords,1.0
crossref,last_page,0.0
crossref,publication_year,0.0
crossref,publisher,0.0
crossref,referenced_works_count,0.0
crossref,title,0.0
crossref,type,0.0
crossref,volume,0.23360055309552422
dblp,authors,0.005561882127708736
dblp,cited_by_count,1.0
dblp,first_page,0.904606294664224
dblp,issue,0.5413675298311631
dblp,journal,0.25578056146952516
dblp,keywords,1.0
dblp,last_page,0.904606294664224
dblp,publication_year,0.0
dblp,publisher,1.0
dblp,referenced_works_count,1.0
dblp,title,0.0
dblp,type,0.0
dblp,volume,0.255764057368256
open_alex,authors,9.881585665113061e-05
open_alex,cited_by_count,0.0
open_alex,first_page,0.13977502923302426
open_alex,issue,0.5156046706961577
open_alex,journal,0.19975625422026055
open_alex,keywords,0.0
open_alex,last_page,0.13977502923302426
open_alex,publication_year,0.0
open_alex,publisher,1.0
open_alex,referenced_works_count,0.0
open_alex,title,0.00036232480772081224
open_alex,type,0.0
open_alex,volume,0.22683179894267033
