cluster_size,frequency,percentage
2,22969,83.42352812988051
3,3387,12.30160171430647
4,536,1.9467548033269166
5,258,0.9370573493625831
6,118,0.4285766171503287
7,66,0.23971234518577705
8,45,0.1634402353539389
9,31,0.11259216213271347
10,17,0.06174408891148804
11,17,0.06174408891148804
12,12,0.043584062761050375
13,10,0.03632005230087531
14,10,0.03632005230087531
15,5,0.018160026150437655
16,8,0.02905604184070025
17,3,0.010896015690262594
18,5,0.018160026150437655
19,1,0.0036320052300875313
20,1,0.0036320052300875313
22,3,0.010896015690262594
23,3,0.010896015690262594
24,1,0.0036320052300875313
25,2,0.0072640104601750626
27,1,0.0036320052300875313
28,1,0.0036320052300875313
29,4,0.014528020920350125
30,1,0.0036320052300875313
32,1,0.0036320052300875313
33,1,0.0036320052300875313
36,2,0.0072640104601750626
37,2,0.0072640104601750626
40,1,0.0036320052300875313
48,1,0.0036320052300875313
49,1,0.0036320052300875313
52,1,0.0036320052300875313
58,1,0.0036320052300875313
71,1,0.0036320052300875313
86,1,0.0036320052300875313
133,1,0.0036320052300875313
328,1,0.0036320052300875313
490,1,0.0036320052300875313
525,1,0.0036320052300875313
1091,1,0.0036320052300875313
