id,name,releaseYear,developer,publisher,platform,genres,criticScore,userScore,ESRB,globalSales
sales_1,Wii Sports,"January 01, 2006",Nintendo,Nintendo,Wii,Sports,76,8.0,E,82
sales_2,Mario Kart Wii,"January 01, 2008",Nintendo,Nintendo,Wii,Racing,82,8.3,E,35
sales_3,Wii Sports Resort,"January 01, 2009",Nintendo,Nintendo,Wii,Sports,80,8.0,E,32
sales_4,New Super Mario Bros.,"January 01, 2006",Nintendo,Nintendo,DS,Platform,89,8.5,E,29
sales_5,Wii Play,"January 01, 2006",Nintendo,Nintendo,Wii,Misc,58,6.6,E,28
sales_6,New Super Mario Bros. Wii,"January 01, 2009",Nintendo,Nintendo,Wii,Platform,87,8.4,E,28
sales_7,Mario Kart DS,"January 01, 2005",Nintendo,Nintendo,DS,Racing,91,8.6,E,23
sales_8,Wii Fit,"January 01, 2007",Nintendo,Nintendo,Wii,Sports,80,7.7,E,22
sales_9,Kinect Adventures!,"January 01, 2010",Good Science Studio,Microsoft Game Studios,Xbox 360,Misc,61,,E,21
sales_10,Wii Fit Plus,"January 01, 2009",Nintendo,Nintendo,Wii,Sports,80,7.4,E,21
sales_11,Grand Theft Auto V,"January 01, 2013",Rockstar North,Take-Two Interactive,PS3,Action,97,8.2,M,21
sales_12,Grand Theft Auto: San Andreas,"January 01, 2004",Rockstar North,Take-Two Interactive,PS2,Action,95,9.0,M,20
sales_13,Brain Age: Train Your Brain in Minutes a Day,"January 01, 2005",Nintendo,Nintendo,DS,Misc,77,7.9,E,20
sales_14,Grand Theft Auto V,"January 01, 2013",Rockstar North,Take-Two Interactive,Xbox 360,,97,8.1,M,1 6
sales_15,Grand Theft Auto: Vice City,"January 01, 2002",Rockstar North,Take-Two Interactive,PS2,Action,95,8.7,M,16
sales_16,Brain Age 2: More Training in Minutes a Day,"January 01, 2005",Nintendo,Nintendo,DS,Puzzle,77,7.1,E,15
sales_17,Gran Turismo 3: A-Spec,"January 01, 2001",Polyphony Digital,Sony Computer Entertainment,PS2,Racing,95,8.4,E,14
sales_18,Call of Duty: Modern Warfare 3,"January 01, 2011","Infinity Ward, Sledgehammer Games",Activision,Xbox 360,Shooter,88,3.4,M,14
sales_19,Call of Duty: Black Ops,"January 01, 2010",,Activision,Xbox 360,Shooter,87,6.3,M,14
sales_20,Call of Duty: Black Ops II,"January 01, 2012",TReyarch,Activision,PS3,Shooter,83,5.3,M,13
sales_21,Call of Duty: Black Ops II,"January 01, 2012",Treyarch,Activision,Xbox 360,Shooter,83,4.8,M,13
sales_22,Call of Duty: Modern Warfare 2,"January 01, 2009",Infinity Ward,Activision,Xbox 360,Shooter,94,6.3,M,13
sales_23,Call of Duty: Modern Warfare 3,"January 01, 2011","Infinity Ward, Sledgehammer Games",Activision,PS3,Shooter,88,3.2,M,13
sales_24,Grand Theft Auto III,"January 01, 2001",DMA Design,Take-Two Interactive,PS2,Action,97,,M,13
sales_25,Super Smash Bros. Brawl,,,Nintendo,Wii,Fighting,93,8.9,T,12
sales_26,Mario Kart 7,"January 01, 2011",,Nintendo,3DS,Racing,85,8.2,E,12
sales_27,Call of Duty: Black Ops,"January 01, 2010",Treyarch,Activision,PS3,Shooter,88,6.4,M,12
sales_28,Grand Theft Auto V,"January 01, 2014",Rockstar North,Take-Two Interactive,PS4,Action,97,8.3,M,12
sales_29,Animal Crossing: Wild World,"January 01, 2005",Nintendo,Nintendo,DS,Simulation,86,8.7,E,
sales_30,Halo 3,"January 01, 2007","Bungie Software, Bungie",Microsoft Game Studios,Xbox 360,Shooter,94,7.8,M,12
sales_31,Gran Turismo 4,"January 01, 2004",Polyphony Digital,Sony Computer Entertainment,PS2,Racing,89,8.5,E,11
sales_32,Super Mario Galaxy,"January 01, 2007",,Nintendo,Wii,Platform,97,,E,11
sales_33,Grand Theft Auto IV,"January 01, 2008",Rockstar North,Take-Two Interactive,Xbox 360,Action,98,7.9,M,11
