id,name,releaseYear,developer,platform,genres,series
dbpedia_1,San Francisco Rush 2049,"January 01, 2006",Handheld Games,Game Boy Color,Racing video game,
dbpedia_2,RoboCop,"January 01, 1989",Ocean Software,Arcade video game,Beat 'em up,
dbpedia_3,Air,"January 01, 2016",Key (company),PlayStation Vita,,
dbpedia_4,Fallout 2,"January 01, 1998",Black Isle Studios,Mac OS X,Role-playing video game,Fallout (series)
dbpedia_5,SpongeBob SquarePants: Creature from the Krusty Krab,"January 01, 2006",Blitz Games,Wii,Platform game,SpongeBob squarePants video games
dbpedia_6,Transformers: Fall of Cybertron,,High Moon Studios,PS4,Third-person shooter,
dbpedia_7,List of Monster Jam video games,"January 01, 2003",Ubi Soft Barcelona,,Racing game,
dbpedia_8,Onimusha: Warlords,"January 01, 2002",Capcom,Xbox One,Hack and slash,
dbpedia_9,Nicktoons: Battle for Volcano Island,"January 01, 2006",Halfbrick,PS2,Action-adventure game,
dbpedia_11,Mario Kart Arcade GP,"January 01, 2005",Namco,Arcade game,Racing video game,
dbpedia_12,Need for Speed: Carbon,"January 01, 2006",Exient Entertainment,Mac OS X,,
dbpedia_13,Delta Force: Black Hawk Down,"January 01, 2003",NovaLogic,Microsoft Windows,First-person shooter,
dbpedia_14,Wizorb,"January 01, 2011",Tribute Games,PlayStation Portable,Breakout clone,
dbpedia_15,Syberia II,"January 01, 2004",MC2-Microïds,Switch,Graphic adventure game,
dbpedia_16,Mega Man 8,"January 01, 1996",Capcom,Playstation,Platform game,
dbpedia_17,List of Fire Pro Wrestling games,"January 01, 1994",Spike Chunsoft,PlayStation Network,Fighting game,Fire Pro Wrestling
dbpedia_18,Task Force Harrier,"January 01, 1991",NMK (company),Mega Drive/Genesis,Scrolling shoOter,
dbpedia_19,James Bond 007: Nightfire,"January 01, 2003",,Microsoft Windows,First-person shooter,James Bond in video games
dbpedia_20,Krypton Egg,"January 01, 2009",C2V,Palm OS,Breakout clone,
dbpedia_21,Ivy the Kiwi?,"January 01, 2010",Prope,Wii,Platform game,
dbpedia_22,Heavy Fire,"January 01, 2013",Teyon,Wii,Shooter game,
dbpedia_23,Hamtaro (video game series),"January 01, 2005",ImaginEngine,Game Boy Advance,Quiz,
dbpedia_24,Ultimate Marvel vs. Capcom 3,,Eighting,Microsoft Windows,Fighting game,
dbpedia_25,Another World,"January 01, 2018",Interplay Entertainment,Linux,Platform game,
dbpedia_26,Bomberman Touch,"January 01, 2009",Hudson Soft,IOS,List of maze video games,
dbpedia_27,Fatal Fury 3: Road to the Final Victory,"January 01, 1995","SIMS Co., Ltd.",Neo Geo CD,Fighting game,
dbpedia_28,List of Monster Jam video games,"January 01, 2015",Rainbow Studios,PlayStation Portable,Racing game,Monster Jam
dbpedia_29,Raiden III,"January 01, 2005",Seibu Kaihatsu,Microsoft Windows,Shoot 'em up,
dbpedia_30,List of Monster Jam video games,"January 01, 2017",Ubi Soft Barcelona,Game Boy Advance,Racing,
dbpedia_31,Tecmo Stackers,"January 01, 1995",Tecmo,PlayStation Network,Puzzle game,
dbpedia_32,Game of Thrones,"January 01, 2015",Telltale Games,PS3,Interactive movie,
dbpedia_33,Star Wars: Galaxy of Heroes,"January 01, 2015",EA Mobile,Android (operating system),Role-playing video game,
dbpedia_34,Ecco Jr.,"January 01, 2010",Appaloosa Interactive,Sega Genesis,Action-adventure game,Ecco the Dolphin (series)
dbpedia_35,Xanadu Next,"January 01, 2005",,Windows,Action role-playing,
dbpedia_36,Pet Pals: Animal Doctor,"January 01, 2008",Legacy Interactive,DS,Simulation game,
dbpedia_37,Looney Tunes Collector: Martian Alert!,"January 01, 2000",Infogrames,Game Boy Color,,
dbpedia_38,Disney Infinity,"January 01, 2013",Heavy Iron Studios,Wii U,Toys-to-life,Disney Infinity
dbpedia_39,1942,"January 01, 1984",,PlayStation,Scrolling shooter,
dbpedia_40,SpyHunter,"January 01, 2003",Sidhe (game developer),Game Boy Advance,Vehicular combat game,
dbpedia_41,Mobile Suit Gundam: Journey to Jaburo,"January 01, 2000",Bandai,PS2,Action game,
dbpedia_42,Bomberman,"January 01, 1985",Hudson Soft,Game Boy,List of maze video games,
