id1,id2,label
k02_noncorner_products_00038__products_1,k02_noncorner_products_00238__products_2,FALSE
k02_noncorner_products_00038__products_1,products_2_81606120,FALSE
k02_noncorner_products_00038__products_1,products_2_22018751,FALSE
k02_noncorner_products_00219__products_1,k02_noncorner_products_00124__products_2,FALSE
k02_noncorner_products_00219__products_1,k02_noncorner_products_00161__products_2,FALSE
k02_noncorner_products_00219__products_1,k02_noncorner_products_00365__products_2,FALSE
k02_noncorner_products_00139__products_1,k02_noncorner_products_00112__products_2,FALSE
k02_noncorner_products_00139__products_1,k02_noncorner_products_00089__products_2,FALSE
k02_noncorner_products_00139__products_1,products_2_8846424,FALSE
k02_noncorner_products_00099__products_1,k02_noncorner_products_00102__products_2,FALSE
k02_noncorner_products_00099__products_1,k02_noncorner_products_00015__products_2,FALSE
k02_noncorner_products_00099__products_1,products_2_47088973,FALSE
k02_noncorner_products_00183__products_1,k02_noncorner_products_00045__products_2,FALSE
k02_noncorner_products_00183__products_1,k02_noncorner_products_00304__products_2,FALSE
k02_noncorner_products_00183__products_1,k02_noncorner_products_00378__products_2,FALSE
k02_noncorner_products_00068__products_1,k02_noncorner_products_00296__products_2,FALSE
k02_noncorner_products_00068__products_1,k02_noncorner_products_00081__products_2,FALSE
k02_noncorner_products_00068__products_1,products_2_10634045,FALSE
k02_noncorner_products_00016__products_1,k02_noncorner_products_00272__products_2,FALSE
k02_noncorner_products_00016__products_1,k02_noncorner_products_00102__products_2,FALSE
k02_noncorner_products_00016__products_1,products_2_9615620,FALSE
k02_noncorner_products_00278__products_1,k02_noncorner_products_00164__products_2,FALSE
k02_noncorner_products_00278__products_1,k02_noncorner_products_00002__products_2,FALSE
k02_noncorner_products_00278__products_1,products_2_13794201,FALSE
products_1_35966001,products_2_57731827,FALSE
products_1_35966001,products_2_98639536,FALSE
products_1_35966001,k02_noncorner_products_00198__products_2,FALSE
products_1_20847143,products_2_91194891,FALSE
products_1_20847143,products_2_52312288,FALSE
products_1_20847143,k02_noncorner_products_00018__products_2,FALSE
products_1_52315318,products_2_77339323,FALSE
products_1_52315318,products_2_45329323,FALSE
products_1_52315318,k02_noncorner_products_00020__products_2,FALSE
k02_noncorner_products_00116__products_1,k02_noncorner_products_00170__products_2,FALSE
k02_noncorner_products_00116__products_1,k02_noncorner_products_00049__products_2,FALSE
k02_noncorner_products_00116__products_1,products_2_78333976,FALSE
k02_noncorner_products_00213__products_1,k02_noncorner_products_00030__products_2,FALSE
k02_noncorner_products_00213__products_1,k02_noncorner_products_00135__products_2,FALSE
k02_noncorner_products_00213__products_1,k02_noncorner_products_00344__products_2,FALSE
k02_noncorner_products_00394__products_1,k02_noncorner_products_00284__products_2,FALSE
k02_noncorner_products_00394__products_1,k02_noncorner_products_00277__products_2,FALSE
k02_noncorner_products_00394__products_1,products_2_67083681,FALSE
k02_noncorner_products_00014__products_1,k02_noncorner_products_00010__products_2,FALSE
k02_noncorner_products_00014__products_1,k02_noncorner_products_00361__products_2,FALSE
k02_noncorner_products_00014__products_1,products_2_95560516,FALSE
products_1_20598122,products_2_31331520,FALSE
products_1_20598122,products_2_68106001,FALSE
products_1_20598122,products_2_46775597,FALSE
