silver_cluster_id,pipe_cluster_id,name,artist,release-date,release-country,label,genre,duration,n_attributes_correct,fully_correct
mbrainz_2807,lastFM_5959,False,True,False,True,False,,False,2,False
mbrainz_3388,discogs_14628,True,True,False,True,True,,True,5,False
mbrainz_5463,discogs_23650,True,True,False,True,True,,True,5,False
mbrainz_6891,discogs_30446,False,True,False,True,True,,True,4,False
mbrainz_159,discogs_375,True,True,False,True,True,,True,5,False
mbrainz_10613,discogs_48169,True,True,False,True,True,,True,5,False
mbrainz_6947,discogs_55629,True,True,False,True,True,,True,5,False
mbrainz_12766,discogs_58657,False,False,False,True,True,,False,2,False
mbrainz_9448,discogs_67427,False,True,False,True,True,,True,4,False
mbrainz_15029,discogs_70907,True,False,False,True,True,,True,4,False
mbrainz_15127,lastFM_33278,True,True,False,True,False,,True,4,False
mbrainz_15458,discogs_71795,True,True,False,True,True,,True,5,False
mbrainz_1834,discogs_8457,True,True,False,True,True,,True,5,False
mbrainz_2222,discogs_9336,True,True,False,False,True,,False,3,False
mbrainz_9858,discogs_96815,True,True,False,True,True,,False,4,False
mbrainz_18462,discogs_98622,True,True,False,True,True,,False,4,False
mbrainz_5095,lastFM_10595,True,True,False,True,,,False,3,False
mbrainz_8963,lastFM_19085,True,True,False,True,,,False,3,False
mbrainz_13699,lastFM_29687,True,True,False,True,,,True,4,False
mbrainz_20856,lastFM_52562,True,True,False,True,,,True,4,False
mbrainz_29595,lastFM_73829,False,True,False,True,,,False,2,False
mbrainz_3787,lastFM_7870,False,True,False,True,,,True,3,False
mbrainz_25432,discogs_146795,False,False,False,True,,,True,2,False
