metric_name,value
coverage.entity.RF.n_rows_output,31217
coverage.entity.RF.n_rows_largest_input,22627
coverage.entity.RF.row_gain_vs_largest_input,0.3796349493967384
coverage.entity.GR.n_reference,23
coverage.entity.GR.row_count_abs_diff,31194
coverage.entity.GR.row_count_rel_diff,1356.2608695652175
coverage.entity.GR.n_recovered,20
coverage.entity.GR.n_partial,3
coverage.entity.GR.n_lost,0
coverage.entity.GR.n_fabricated,31194
coverage.entity.GR.recovery_rate,0.8695652173913043
coverage.fact.RF.density_output,0.807120319056924
coverage.fact.RF.density_largest_input,0.5698059840014142
coverage.fact.RF.density_gain,0.2373143350555098
coverage.fact.GR.per_column_drift_normalized.artist,0.9010551060202812
coverage.fact.GR.per_column_drift_normalized.duration,0.08695553180650689
coverage.fact.GR.per_column_drift_normalized.genre,1.0
coverage.fact.GR.per_column_drift_normalized.label,0.9508778773893167
coverage.fact.GR.per_column_drift_normalized.name,0.6510314623512155
coverage.fact.GR.per_column_drift_normalized.release-country,0.33093209799512446
coverage.fact.GR.overall_drift,0.6534753459270742
coverage.fact.GR.density_delta_per_attribute.name.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.name.pipe_density,1.0
coverage.fact.GR.density_delta_per_attribute.name.delta,0.0
coverage.fact.GR.density_delta_per_attribute.artist.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.artist.pipe_density,1.0
coverage.fact.GR.density_delta_per_attribute.artist.delta,0.0
coverage.fact.GR.density_delta_per_attribute.release-date.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.release-date.pipe_density,0.7052247173014703
coverage.fact.GR.density_delta_per_attribute.release-date.delta,-0.2947752826985297
coverage.fact.GR.density_delta_per_attribute.release-country.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.release-country.pipe_density,0.7493993657302112
coverage.fact.GR.density_delta_per_attribute.release-country.delta,-0.25060063426978885
coverage.fact.GR.density_delta_per_attribute.label.reference_density,0.6956521739130435
coverage.fact.GR.density_delta_per_attribute.label.pipe_density,0.7248294198673799
coverage.fact.GR.density_delta_per_attribute.label.delta,0.02917724595433646
coverage.fact.GR.density_delta_per_attribute.genre.reference_density,0.0
coverage.fact.GR.density_delta_per_attribute.genre.pipe_density,0.7248294198673799
coverage.fact.GR.density_delta_per_attribute.genre.delta,0.7248294198673799
coverage.fact.GR.density_delta_per_attribute.tracks.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.tracks.pipe_density,1.0
coverage.fact.GR.density_delta_per_attribute.tracks.delta,0.0
coverage.fact.GR.density_delta_per_attribute.duration.reference_density,1.0
coverage.fact.GR.density_delta_per_attribute.duration.pipe_density,0.5526796296889516
coverage.fact.GR.density_delta_per_attribute.duration.delta,-0.44732037031104843
coverage.source_based.RF.winning_source_distribution_per_attribute.artist.lastfm,0.29490030390630917
