column,consistency_score,n_evaluated,n_consistent,n_inconsistent,excluded_from_dataset_score,failure_counts,diagnostics,skipped,skip_reason
id,,0,0,0,True,{},{},True,identifier_column
brand,1.0,865,865,0,False,{},{},False,
title,1.0,997,997,0,False,{},{},False,
description,1.0,998,998,0,False,{},{},False,
price,0.9600420609884333,951,913,38,False,"{""type"": 38}",{},False,
priceCurrency,0.9065817409766455,942,854,88,False,"{""currency_code"": 83, ""pattern"": 61}",{},False,
url,0.4332313965341488,981,425,556,False,"{""pattern"": 556}",{},False,
title_description,1.0,998,998,0,False,{},{},False,
model,1.0,933,933,0,False,{},{},False,
model_number,0.9935275080906149,309,307,2,False,"{""pattern"": 2}",{},False,
product_type,0.9049723756906077,905,819,86,False,"{""enum"": 86}",{},False,
chipset_name,0.8627450980392157,204,176,28,False,"{""field_applicability"": 28}",{},False,
vram_gb,0.7021276595744681,141,99,42,False,"{""field_applicability"": 9, ""maximum"": 22, ""type"": 16}",{},False,
storage_gb,0.6351606805293005,529,336,193,False,"{""field_applicability"": 36, ""maximum"": 56, ""minimum"": 1, ""type"": 113}",{},False,
read_speed_mb_s,0.6016949152542372,118,71,47,False,"{""field_applicability"": 9, ""maximum"": 12, ""minimum"": 11, ""type"": 16}",{},False,
write_speed_mb_s,0.6509433962264151,106,69,37,False,"{""field_applicability"": 7, ""maximum"": 15, ""minimum"": 6, ""type"": 13}",{},False,
bus_type,1.0,744,744,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9233870967741935, ""membership_enforced"": false, ""n_expected_family_matches"": 687, ""n_outside_expected_families"": 57, ""n_values_checked"": 744}}",False,
interface_type,1.0,477,477,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9308176100628931, ""membership_enforced"": false, ""n_expected_family_matches"": 444, ""n_outside_expected_families"": 33, ""n_values_checked"": 477}}",False,
width_mm,1.0,35,35,0,False,{},{},False,
length_mm,1.0,39,39,0,False,{},{},False,
height_mm,1.0,42,42,0,False,{},{},False,
weight_g,0.96875,32,31,1,False,"{""type"": 1}",{},False,
storage_connection_type,0.9400428265524625,467,439,28,False,"{""field_applicability"": 28}",{},False,
memory_type,0.9417989417989417,189,178,11,False,"{""field_applicability"": 11}","{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9470899470899471, ""membership_enforced"": false, ""n_expected_family_matches"": 179, ""n_outside_expected_families"": 10, ""n_values_checked"": 189}}",False,
color,1.0,145,145,0,False,{},{},False,
form_factor,1.0,436,436,0,False,{},"{""open_taxonomy"": {""exhaustive"": false, ""expected_family_match_rate"": 0.9174311926605505, ""membership_enforced"": false, ""n_expected_family_matches"": 400, ""n_outside_expected_families"": 36, ""n_values_checked"": 436}}",False,
