_id,_fusion_sources,id,label,release-country,duration,artist,tracks,name,release-date,genre
discogs_14054,"['discogs_14054', 'mbrainz_3238']",discogs_14054,Polydor,Netherlands,2288.0,Golden Earring,"[' ""Fightin\' Windmills""', ' ""Mad Love\'s Comin\'""', ' ""Time\'s Up""]', "" 'Con Man'"", "" 'Faded Jeans'"", "" 'Sueleen'"", ""['Bombay'""]",Contraband,1991-01-08 00:00:00,Rock
lastFM_56670,"['lastFM_56670', 'mbrainz_22327', 'discogs_127723']",lastFM_56670,K,United States of America,0.0,The Microphones,"["" 'I. The Sun'"", "" 'III. Universe'"", "" 'IV. Mount Eerie'"", "" 'Mt. Eerie'"", "" 'Solar System'"", "" 'Universe'"", "" 'Universe']"", "" 'V. Universe'"", ""['The Sun'""]",Mount Eerie,2003-01-21 00:00:00,Rock
mbrainz_14105,"['mbrainz_14105', 'discogs_65720']",mbrainz_14105,Receiver Records Limited,United Kingdom of Great Britain and Northern Ireland,1230.0,Splodgenessabounds,"[' ""Lemmy\'s Mole (Wart?)""', ' ""They\'re Coming To Take Me Away""]', ' ""They\'re Coming to Take Me Away""]', "" 'Answers On A Postcard'"", "" 'Answers on a Postcard'"", "" 'Dangerous'"", "" 'Double Entendres (Song For Finbarr)'"", "" 'Double Entendres (Song for Finbarr)'"", "" 'Go The Whole Hog'"", "" 'Go the Whole Hog'"", "" 'Haemorrhoids'"", "" 'Lager In The House'"", "" 'Lager in the House'"", "" 'Not Many People Know That'"", "" 'Rude Boy'"", ""['Touch Of The Rods (A Day In The Life Of A Quireboy)'"", ""['Touch of the Rods (A Day in the Life of a Quireboy)'""]",A Nightmare on Rude Street,1991-01-01 00:00:00,Rock
mbrainz_4339,"['mbrainz_4339', 'discogs_59760']",mbrainz_4339,New World Records (12)|Triple X Records,United States of America,288.0,Social Distortion,"[' ""Mommy\'s Little Monster""', "" 'All the Answers'"", "" 'Another State of Mind'"", "" 'Anti-Fashion'"", "" 'Hour of Darkness'"", "" 'It Wasnâ€™t a Pretty Picture'"", "" 'Moral Threat'"", "" 'Playpen']"", "" 'Telling Them'"", "" 'Under My Thumb'"", ""['The Creeps'""]",Mommyâ€™s Little Monster,1989-01-01 00:00:00,Rock
lastFM_81836,"['lastFM_81836', 'mbrainz_33018']",lastFM_81836,,United Kingdom of Great Britain and Northern Ireland,,Man,"[' ""C\'Mon""', ' ""It\'s a Hard Way to Live""', "" '7171 551'"", "" 'Bananas'"", "" 'Chinese Cut'"", "" 'Day & Night'"", "" 'Even Visionaries Go Blind'"", "" 'Hard Way to Die'"", "" 'Kerosene'"", "" 'Life on the Road'"", "" 'Many Are Called but Few Get Up'"", "" 'Romain'"", "" 'The Ride & The View']"", "" 'The Welsh Connection'"", ""['Spunk Rock'""]",Man Alive,2003-01-01 00:00:00,
mbrainz_22937,"['mbrainz_22937', 'lastFM_58210']",mbrainz_22937,,Sweden,1638.0,Electric Boys,"[' ""Ain\'t No Gettin\' Over You""', ' ""Gangin\' Up""', "" '59 High Mountain St.']"", "" 'BASF'"", "" 'BASF']"", "" 'Desire'"", "" 'If Only She Was Lonely'"", "" 'Junk In The Trunk'"", "" 'Junk in the Trunk'"", "" 'Life Is So Electric'"", "" 'Lucy Fur'"", "" 'Starflight United'"", "" 'Tramp'"", ""['Desire'"", ""['Spaced Out'""]",Starflight United,2014-04-23 00:00:00,
discogs_14145,"['discogs_14145', 'mbrainz_3264']",discogs_14145,Alice In...|Nightbreed Recordings,United Kingdom of Great Britain and Northern Ireland,2617.0,Every New Dead Ghost,"["" 'Headless'"", "" 'Insanity'"", "" 'Not In A Lifetime'"", "" 'Not in a Lifetime'"", "" 'Obvious'"", "" 'Relics'"", "" 'Signs For The Sacred']"", "" 'Signs for the Sacred']"", "" 'Small Talk'"", "" 'Sweat'"", "" 'Understanding'"", ""['Decadence'""]",An Endless Nightmare Of Stations,1992-01-01 00:00:00,Rock
discogs_74742,"['discogs_74742', 'mbrainz_15472']",discogs_74742,United Beats Records|Nutek Records,France,4393.0,Mekkanikka,"["" 'Always Ticking'"", "" 'Brown Sugar'"", "" 'California Dream'"", "" 'Chemicals'"", "" 'In Spiral'"", "" 'Nuts (Album Version)'"", "" 'Silver Haze']"", "" 'Turn To Dust (Field Remix)'"", ""['Delta 9'""]",California Dreaming,2011-11-18 00:00:00,Electronic / Dance
lastFM_63669,"['lastFM_63669', 'discogs_145662', 'mbrainz_25236']",lastFM_63669,DDS,United Kingdom of Great Britain and Northern Ireland,0.0,Shinichi Atobe,"["" 'Bonus Break'"", "" 'Butterfly Effect'"", "" 'Free Access Zone 2'"", "" 'Free Access Zone 3'"", "" 'Free Access Zone 4'"", "" 'Free Access Zone 5'"", "" 'Free Access Zone 6'"", "" 'Free Access Zone 7'"", "" 'Free Access Zone 8']"", "" 'Waste Land 1'"", "" 'Waste Land 2'"", ""['Free Access Zone 1'""]",Butterfly,2014-10-27,Electronic / Dance
discogs_5652,"['discogs_5652', 'lastFM_2762', 'mbrainz_1196']",discogs_5652,,United Kingdom of Great Britain and Northern Ireland,0.0,Dave Gahan,"["" 'A Little Piece'"", "" 'Bitter Apple'"", "" 'Black and Blue Again'"", "" 'Bottle Living'"", "" 'Bottle Living']"", "" 'Dirty Sticky Floors'"", "" 'Goodbye']"", "" 'Hold On'"", "" 'I Need You'"", "" 'Stay'"", ""['Hidden Houses'""]",Soundtrack To Live Monsters,2004-03-07 00:00:00,Electronic / Dance
