id2,id1,label
k02_interp_papers_00240__crossref,k02_interp_papers_00111__dblp,FALSE
k02_interp_papers_00240__crossref,k02_interp_papers_00255__dblp,FALSE
k02_interp_papers_00240__crossref,dblp-24734,FALSE
k02_interp_papers_00236__crossref,dblp-07779,FALSE
k02_interp_papers_00236__crossref,dblp-02645,FALSE
k02_interp_papers_00236__crossref,dblp-43678,FALSE
k02_interp_papers_00059__crossref,dblp-43039,FALSE
k02_interp_papers_00059__crossref,dblp-20077,FALSE
k02_interp_papers_00059__crossref,dblp-12974,FALSE
crossref-06662,dblp-13030,FALSE
crossref-06662,dblp-25767,FALSE
crossref-06662,dblp-37758,FALSE
crossref-37993,dblp-41004,FALSE
crossref-37993,dblp-40987,FALSE
crossref-37993,dblp-31485,FALSE
k02_interp_papers_00175__crossref,dblp-37588,FALSE
k02_interp_papers_00175__crossref,dblp-37214,FALSE
k02_interp_papers_00175__crossref,dblp-34135,FALSE
crossref-23993,dblp-48535,FALSE
crossref-23993,dblp-23684,FALSE
crossref-23993,dblp-13609,FALSE
crossref-33957,dblp-31307,FALSE
crossref-33957,dblp-52023,FALSE
crossref-33957,dblp-38602,FALSE
crossref-45365,dblp-52098,FALSE
crossref-45365,dblp-52702,FALSE
crossref-45365,dblp-48346,FALSE
crossref-37041,dblp-13126,FALSE
crossref-37041,dblp-11516,FALSE
crossref-37041,dblp-24916,FALSE
crossref-17804,dblp-49780,FALSE
crossref-17804,dblp-56824,FALSE
crossref-17804,dblp-10261,FALSE
crossref-41581,dblp-60299,FALSE
crossref-41581,dblp-55367,FALSE
crossref-41581,dblp-01947,FALSE
