source,attribute,baseline_alignment_rate,n_cells,n_aligned
products_1,bus_type,0.642857,196,126
products_1,storage_gb,0.0,149,0
products_1,product_type,1.0,200,200
products_1,color,0.0,0,0
products_1,storage_connection_type,0.657407,108,71
products_1,priceCurrency,0.955,200,191
products_1,form_factor,0.88785,107,95
products_1,chipset_name,0.36,50,18
products_1,height_mm,0.0,0,0
products_1,interface_type,0.357143,126,45
products_1,length_mm,0.0,0,0
products_1,price,0.515,200,103
products_1,brand,0.97,200,194
products_1,model_number,0.872832,173,151
products_1,memory_type,0.98,50,49
products_1,model,0.431472,197,85
products_1,title_description,0.326633,199,65
products_1,description,0.29,200,58
products_1,title,0.265,200,53
products_1,read_speed_mb_s,0.0,84,0
products_1,write_speed_mb_s,0.0,68,0
products_1,vram_gb,0.0,50,0
products_1,weight_g,0.0,0,0
products_1,width_mm,0.0,0,0
products_2,brand,0.952632,190,181
products_2,bus_type,0.644068,177,114
products_2,storage_gb,0.0,119,0
products_2,chipset_name,0.384615,26,10
products_2,color,0.0,0,0
products_2,storage_connection_type,0.641975,81,52
products_2,priceCurrency,0.324873,197,64
products_2,length_mm,0.0,0,0
products_2,description,0.185,200,37
products_2,form_factor,0.886364,88,78
products_2,height_mm,0.0,0,0
products_2,interface_type,0.336634,101,34
products_2,memory_type,0.948718,39,37
products_2,model,0.350785,191,67
products_2,model_number,0.854545,165,141
products_2,title,0.285,200,57
products_2,price,0.33,200,66
products_2,product_type,1.0,197,197
products_2,read_speed_mb_s,0.0,79,0
products_2,title_description,0.20603,199,41
products_2,vram_gb,0.0,27,0
products_2,weight_g,0.0,0,0
products_2,width_mm,0.0,0,0
products_2,write_speed_mb_s,0.0,63,0
products_3,brand,0.93956,182,171
products_3,bus_type,0.668639,169,113
products_3,storage_gb,0.0,104,0
products_3,chipset_name,0.333333,24,8
products_3,color,0.0,0,0
products_3,storage_connection_type,0.727273,88,64
products_3,priceCurrency,0.26455,189,50
products_3,description,0.125654,191,24
products_3,form_factor,0.883117,77,68
products_3,height_mm,0.0,0,0
products_3,interface_type,0.339806,103,35
products_3,length_mm,0.0,0,0
products_3,vram_gb,0.0,22,0
products_3,memory_type,0.882353,34,30
products_3,model,0.301075,186,56
products_3,model_number,0.823529,153,126
products_3,price,0.188482,191,36
products_3,title,0.188482,191,36
products_3,read_speed_mb_s,0.0,71,0
products_3,title_description,0.105263,190,20
products_3,product_type,1.0,190,190
products_3,weight_g,0.0,0,0
products_3,width_mm,0.0,0,0
products_3,write_speed_mb_s,0.0,60,0
products_4,price,0.150327,153,23
products_4,bus_type,0.650794,126,82
products_4,storage_gb,0.0,81,0
products_4,product_type,1.0,152,152
products_4,chipset_name,0.210526,19,4
products_4,color,0.0,0,0
products_4,storage_connection_type,0.775862,58,45
products_4,priceCurrency,0.222973,148,33
products_4,description,0.084967,153,13
products_4,form_factor,0.862069,58,50
products_4,height_mm,0.0,0,0
products_4,interface_type,0.3125,80,25
products_4,length_mm,0.0,0,0
products_4,model,0.268966,145,39
products_4,memory_type,0.95,20,19
products_4,brand,0.934307,137,128
products_4,title,0.189542,153,29
products_4,title_description,0.085526,152,13
products_4,model_number,0.85124,121,103
products_4,read_speed_mb_s,0.0,60,0
products_4,vram_gb,0.0,14,0
products_4,width_mm,0.0,0,0
products_4,write_speed_mb_s,0.0,52,0
products_4,weight_g,0.0,0,0
