cluster_size,frequency,percentage
2,54,12.5
3,25,5.787037037037037
4,306,70.83333333333334
5,8,1.8518518518518516
6,1,0.23148148148148145
7,3,0.6944444444444444
8,9,2.083333333333333
9,1,0.23148148148148145
10,1,0.23148148148148145
11,1,0.23148148148148145
12,6,1.3888888888888888
13,1,0.23148148148148145
14,1,0.23148148148148145
16,2,0.4629629629629629
20,1,0.23148148148148145
24,1,0.23148148148148145
25,1,0.23148148148148145
28,2,0.4629629629629629
32,2,0.4629629629629629
40,1,0.23148148148148145
42,1,0.23148148148148145
46,1,0.23148148148148145
53,1,0.23148148148148145
64,1,0.23148148148148145
214,1,0.23148148148148145
